Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Unnamed: 21_level_0 Matches
Bart Verbruggen,nl NED,GK,22-268,34.0,5,0.15,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Jan Paul van Hecke,nl NED,DF,24-339,30.9,48,1.55,42,2,0,3,1,0,3,0.1,3,0,0,0,0,0,Matches
Carlos Baleba,cm CMR,MF,21-130,27.6,61,2.21,51,0,2,4,1,3,4,0.15,2,0,0,0,1,1,Matches
Kaoru Mitoma,jp JPN,"FW,MF",27-358,28.1,83,2.95,69,0,6,3,4,1,8,0.28,7,0,0,0,1,0,Matches
Pervis Estupiñán,ec ECU,DF,27-112,25.7,52,2.03,34,13,0,2,3,0,4,0.16,3,0,0,0,1,0,Matches
Lewis Dunk,eng ENG,DF,33-173,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0,Matches
Danny Welbeck,eng ENG,FW,34-168,22.6,46,2.04,35,1,3,1,6,0,6,0.27,6,0,0,0,0,0,Matches
João Pedro,br BRA,"FW,MF",23-229,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0,Matches
Jack Hinshelwood,eng ENG,"DF,MF",20-032,19.4,33,1.7,27,4,0,1,1,0,3,0.15,3,0,0,0,0,0,Matches
Yasin Ayari,se SWE,MF,21-219,20.5,58,2.82,35,11,3,3,4,2,6,0.29,4,2,0,0,0,0,Matches
Joël Veltman,nl NED,DF,33-118,18.5,22,1.19,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0,Matches
Georginio Rutter,fr FRA,"MF,FW",23-023,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0,Matches
Yankuba Minteh,gm GAM,"FW,MF",20-295,18.5,56,3.03,33,8,11,2,1,1,11,0.59,5,0,5,1,0,0,Matches
Matt O'Riley,dk DEN,MF,24-173,10.1,38,3.78,22,10,1,2,1,2,4,0.4,3,0,0,0,1,0,Matches
Simon Adingra,ci CIV,"FW,MF",23-132,11.0,39,3.56,27,0,6,6,0,0,7,0.64,5,0,1,1,0,0,Matches
Tariq Lamptey,gh GHA,DF,24-225,9.6,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1,Matches
Igor,br BRA,DF,27-095,10.0,11,1.1,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Adam Webster,eng ENG,DF,30-129,7.9,10,1.27,8,2,0,0,0,0,3,0.38,2,1,0,0,0,0,Matches
Mats Wieffer,nl NED,"MF,DF",25-178,9.3,28,3.01,25,0,0,2,1,0,6,0.65,5,0,0,0,1,0,Matches
Brajan Gruda,de GER,"MF,FW",20-347,6.0,27,4.49,21,3,2,0,1,0,4,0.67,3,1,0,0,0,0,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",25-218,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0,Matches
Diego Gómez,py PAR,MF,22-047,5.0,14,2.78,12,1,0,1,0,0,3,0.6,2,1,0,0,0,0,Matches
James Milner,eng ENG,MF,39-129,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Julio Enciso,py PAR,"MF,FW",21-110,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Evan Ferguson,ie IRL,FW,20-206,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jason Steele,eng ENG,GK,34-268,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Solly March,eng ENG,"FW,MF",30-297,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0,Matches
Billy Gilmour,sct SCO,MF,23-336,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eiran Cashin,ie IRL,DF,23-185,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jakub Moder,pl POL,MF,26-036,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeremy Sarmiento,ec ECU,MF,22-331,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,36.0,855,23.75,633,62,52,43,51,14,101,2.81,71,6,9,4,9,2,
Opponent Total,,,27.0,36.0,707,19.64,511,68,43,43,33,9,91,2.53,61,5,6,9,9,1,
