Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Pickford,ENG,GK,31-068,36.0,12,0.33,11,1,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
Tarkowski,ENG,DF,32-176,32.5,38,1.17,32,2,0,4,0,0,4,0.12,4,0,0,0,0,0,Matches
Mykolenko,UKR,DF,25-350,32.2,38,1.18,36,0,1,1,0,0,3,0.09,2,0,0,1,0,0,Matches
Idrissa Gana Gueye,SEN,MF,35-230,32.0,56,1.75,48,0,1,2,3,2,3,0.09,3,0,0,0,0,0,Matches
Doucouré,MLI,MF,32-133,27.6,56,2.03,50,0,3,2,0,1,3,0.11,2,0,0,0,0,1,Matches
Branthwaite,ENG,DF,22-321,27.1,13,0.48,11,1,0,0,1,0,2,0.07,1,1,0,0,0,0,Matches
Ndiaye,SEN,FW,25-069,25.4,61,2.41,47,0,7,1,6,0,6,0.24,4,0,1,0,1,0,Matches
Harrison,ENG,FW,28-175,21.8,56,2.57,38,8,4,2,4,0,4,0.18,1,0,0,1,2,0,Matches
Calvert-Lewin,ENG,FW,28-059,17.7,25,1.42,14,0,4,2,3,2,4,0.23,1,0,2,0,1,0,Matches
Young,ENG,"DF,FW",39-309,19.0,42,2.21,31,7,0,1,2,1,6,0.32,4,0,0,1,0,1,Matches
Garner,ENG,"MF,DF",24-062,15.7,33,2.1,24,9,0,0,0,0,5,0.32,4,1,0,0,0,0,Matches
O'Brien,IRL,DF,23-364,15.5,16,1.04,14,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lindstrøm,DEN,FW,25-074,13.8,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0,Matches
McNeil,ENG,"MF,FW",25-173,14.4,64,4.46,35,20,4,2,2,1,8,0.56,4,2,1,0,0,1,Matches
Mangala,BEL,MF,27-057,14.0,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0,Matches
Beto,GNB,FW,27-103,15.1,20,1.33,13,0,3,2,2,0,1,0.07,1,0,0,0,0,0,Matches
Keane,ENG,DF,32-123,10.5,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alcaraz,ARG,"FW,MF",22-165,7.4,29,3.94,23,1,3,1,1,0,6,0.81,5,0,0,1,0,0,Matches
Iroegbunam,ENG,MF,21-318,6.4,10,1.57,6,0,1,0,1,2,1,0.16,1,0,0,0,0,0,Matches
Broja,ALB,FW,23-246,3.7,7,1.89,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patterson,SCO,DF,23-210,3.9,11,2.85,8,1,2,0,0,0,1,0.26,1,0,0,0,0,0,Matches
Coleman,IRL,DF,36-215,2.2,2,0.91,1,0,1,0,0,0,1,0.45,1,0,0,0,0,0,Matches
Dixon,ENG,DF,20-139,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Armstrong,ENG,MF,18-115,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Chermiti,POR,"FW,MF",20-355,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Holgate,ENG,"FW,DF",28-204,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Total,,,28.8,36.0,666,18.5,503,58,40,26,29,10,62,1.72,42,4,4,4,5,3,
Total,,,27.0,36.0,805,22.36,602,68,43,51,28,13,74,2.06,58,2,5,5,1,3,
