Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Gvardiol,CRO,DF,23,34.4,72,2.09,66,1,2,3,0,0,7,0.2,6,0,1,0,0,0
Haaland,NOR,FW,24,28.6,65,2.28,46,0,8,10,1,0,9,0.32,6,0,2,1,0,0
Silva,POR,"MF,FW",30,27.7,86,3.11,76,2,4,1,3,0,8,0.29,8,0,0,0,0,0
Ederson,BRA,GK,31,23.8,6,0.25,6,0,0,0,0,0,4,0.17,4,0,0,0,0,0
Kovačić,CRO,MF,31,23.7,69,2.91,55,0,4,5,4,1,6,0.25,4,0,1,1,0,0
Dias,POR,DF,28,23.2,25,1.08,16,0,0,7,0,2,1,0.04,1,0,0,0,0,0
Gündoğan,GER,MF,34,22.8,74,3.25,58,8,4,4,0,0,11,0.48,9,1,0,1,0,0
Lewis,ENG,"DF,MF",20,21.0,31,1.47,30,0,0,0,1,0,3,0.14,3,0,0,0,0,0
Akanji,SUI,DF,29,20.4,36,1.77,36,0,0,0,0,0,2,0.1,2,0,0,0,0,0
Sávio,BRA,"FW,MF",21,19.4,111,5.71,80,2,15,4,7,3,15,0.77,10,0,2,1,1,1
Foden,ENG,"MF,FW",24,19.6,88,4.48,58,18,3,6,3,0,9,0.46,5,1,0,3,0,0
Kevin De Bruyne,BEL,"MF,FW",33,18.1,111,6.13,71,26,3,6,3,2,11,0.61,9,1,0,1,0,0
Nunes,POR,"DF,MF",26,16.6,39,2.35,32,1,2,2,2,0,6,0.36,4,0,1,1,0,0
Doku,BEL,"FW,MF",22,16.0,74,4.62,56,1,13,1,2,1,13,0.81,10,0,3,0,0,0
Ortega,GER,GK,32,12.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marmoush,EGY,"FW,MF",26,11.2,33,2.96,18,3,1,4,7,0,1,0.09,0,0,0,0,1,0
Walker,ENG,DF,34,10.8,17,1.58,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Aké,NED,DF,30,7.5,8,1.06,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
González,ESP,MF,23,7.2,15,2.08,13,0,0,1,1,0,3,0.42,2,0,0,0,1,0
Grealish,ENG,"FW,MF",29,8.0,47,5.87,41,1,3,0,1,1,2,0.25,1,0,0,0,0,1
Stones,ENG,"DF,MF",30,6.1,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0
O’Reilly,ENG,DF,20,5.9,12,2.05,9,1,1,0,1,0,2,0.34,2,0,0,0,0,0
Khusanov,UZB,DF,21,5.6,5,0.89,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mcatee,ENG,"MF,FW",22,3.9,4,1.03,3,0,1,0,0,0,1,0.26,0,0,1,0,0,0
Simpson-Pusey,ENG,DF,19,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rodri,ESP,MF,28,0.7,2,2.77,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mubama,ENG,FW,20,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bobb,NOR,FW,21,0.2,2,12.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Reis,BRA,DF,19,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
