Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Walker-Peters,ENG,DF,28,32.4,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0
Fernandes,POR,MF,20,30.3,72,2.37,41,13,5,6,6,1,6,0.2,4,1,0,0,0,1
Harwood-Bellis,ENG,DF,23,30.5,37,1.21,32,0,0,3,1,1,2,0.07,1,0,0,1,0,0
Bednarek,POL,DF,29,28.1,16,0.57,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ramsdale,ENG,GK,27,28.0,3,0.11,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Downes,ENG,MF,26,21.9,31,1.42,27,2,0,1,0,1,2,0.09,1,1,0,0,0,0
Aribo,NGA,"MF,DF",28,21.7,37,1.71,32,0,2,1,2,0,1,0.05,1,0,0,0,0,0
Dibling,ENG,"FW,MF",19,20.1,56,2.79,34,1,11,5,5,0,4,0.2,2,0,1,1,0,0
Manning,IRL,"DF,MF",28,16.2,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0
Ugochukwu,FRA,MF,21,17.4,23,1.32,19,0,1,1,2,0,1,0.06,0,0,0,1,0,0
Stephens,ENG,DF,31,14.4,13,0.9,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sugawara,JPN,"DF,MF",24,16.3,39,2.39,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0
Sulemana,GHA,"FW,MF",23,14.1,28,1.99,15,1,9,2,1,0,3,0.21,1,0,1,1,0,0
Armstrong,ENG,"FW,MF",28,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0
Archer,ENG,FW,23,15.5,18,1.16,9,0,4,4,1,0,0,0.0,0,0,0,0,0,0
Bree,ENG,DF,27,10.9,15,1.37,12,2,0,1,0,0,1,0.09,1,0,0,0,0,0
Onuachu,NGA,FW,30,11.4,9,0.79,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0
Wood-Gordon,ENG,DF,22,6.9,3,0.43,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Smallbone,IRL,MF,25,7.2,15,2.09,11,3,0,1,0,0,0,0.0,0,0,0,0,0,0
McCarthy,ENG,GK,35,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lallana,ENG,MF,37,4.0,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0
Brereton,CHI,FW,26,5.0,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Fraser,SCO,"FW,DF",31,3.4,5,1.47,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Welington,BRA,"DF,MF",24,3.4,7,2.09,6,1,0,0,0,0,1,0.3,1,0,0,0,0,0
Stewart,SCO,FW,28,3.2,2,0.62,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Lumley,ENG,GK,30,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Armel Bella Kotchap,GER,DF,23,3.7,2,0.54,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Taylor,ENG,DF,31,3.0,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Grønbaek,DEN,"FW,MF",23,1.6,2,1.26,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Cornet,CIV,FW,28,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Edozie,ENG,"DF,FW",22,0.7,4,5.54,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Robinson,ENG,"MF,FW",18,0.4,3,7.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Amo-Ameyaw,ENG,"FW,DF",18,0.3,2,6.43,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Edwards,ENG,DF,22,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Alcaraz,ARG,MF,22,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
