player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Matz Sels,BEL,GK,32,38.0,1102,833,1082,20,0,0,1102,0,0,,0,,528,3230,1697,1,1,1,0,0,426,0
Nikola Milenković,SRB,DF,26,37.0,1412,257,775,552,89,64,1412,1,1,100.0,0,0.0,547,2345,1116,3,3,2,4,2,727,6
Murillo,BRA,DF,22,35.4,1918,421,989,840,105,24,1918,37,27,73.0,10,27.0,821,4254,2531,22,25,1,19,10,989,5
Ola Aina,NGA,DF,27,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,822,67
Chris Wood,NZL,FW,32,32.9,770,40,89,361,322,105,767,13,4,30.8,8,61.5,376,1279,506,14,11,5,75,28,563,94
Morgan Gibbs-White,ENG,MF,24,31.1,1627,35,185,830,637,92,1627,77,31,40.3,35,45.5,923,5093,2566,69,52,13,70,44,1227,137
Elliot Anderson,ENG,MF,21,30.3,1831,102,424,890,547,72,1831,75,36,48.0,30,40.0,932,5071,2366,52,32,21,60,49,1088,94
Anthony Elanga,SWE,"FW,MF",22,27.8,1115,29,136,319,679,110,1115,83,25,30.1,39,47.0,600,4509,2544,102,45,48,79,43,764,229
Neco Williams,WAL,DF,23,28.8,1565,155,558,574,453,45,1565,46,18,39.1,19,41.3,650,3952,2169,68,28,16,36,21,744,103
Callum Hudson-Odoi,ENG,"FW,MF",23,24.4,1035,16,117,338,605,74,1035,63,37,58.7,18,28.6,641,5345,3401,130,61,47,45,23,784,189
Nicolás Domínguez,ARG,"MF,FW",26,21.8,1218,78,303,630,295,33,1218,9,3,33.3,4,44.4,471,1863,924,16,14,2,23,12,676,33
Ryan Yates,ENG,MF,26,21.3,1041,80,276,510,266,41,1041,18,9,50.0,5,27.8,425,2079,934,18,19,1,24,18,545,16
Álex Moreno,ESP,"DF,MF",31,10.6,559,60,210,202,158,8,559,21,8,38.1,8,38.1,229,1470,864,26,16,4,13,6,258,34
Ibrahim Sangaré,CIV,MF,26,6.6,407,26,110,247,52,7,407,1,0,0.0,1,100.0,171,759,283,1,2,0,5,4,236,4
Morato,BRA,DF,23,10.1,457,90,270,170,19,2,457,2,2,100.0,0,0.0,164,789,417,1,2,0,6,3,206,1
Jota Silva,POR,"FW,MF",24,9.5,357,19,83,104,181,46,357,34,10,29.4,15,44.1,175,1153,632,21,13,9,24,12,202,59
James Ward-Prowse,ENG,MF,29,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3
Danilo,BRA,"MF,FW",23,3.1,150,8,54,85,13,0,150,6,3,50.0,3,50.0,54,237,61,2,0,0,6,0,87,1
Taiwo Awoniyi,NGA,FW,26,4.6,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20
Ramón Sosa,PAR,"FW,MF",24,3.3,154,6,36,48,77,15,154,13,8,61.5,5,38.5,75,601,333,12,7,5,6,5,81,17
Willy Boly,CIV,DF,33,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0
Harry Toffolo,ENG,DF,28,1.5,88,9,32,22,34,2,88,0,0,,0,,17,57,23,0,0,0,0,0,30,4
Eric da Silva Moreira,GER,"MF,DF",18,0.3,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1
Squad Total,,,26,38.0,18996,2463,6477,7688,5064,785,18993,581,259,44.6,233,40.1,8769,49847,26563,633,385,187,563,324,10732,1117
Opponent Total,,,26,38.0,24861,2141,6918,11115,7047,1068,24858,755,327,43.3,343,45.4,14317,84457,48375,966,599,245,588,355,16672,1868
