player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Rayan Aït-Nouri,ALG,DF,23,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176
João Gomes,BRA,MF,23,33.0,1998,62,431,1105,491,45,1998,65,30,46.2,28,43.1,1059,6216,2843,59,51,6,43,51,1335,76
Nélson Semedo,POR,DF,30,32.1,1717,123,483,788,467,27,1717,71,32,45.1,31,43.7,901,5223,2688,67,41,10,42,21,995,119
André,BRA,MF,23,27.5,1623,89,439,1046,155,3,1623,32,16,50.0,12,37.5,912,3764,1688,10,17,0,30,21,1093,11
Toti Gomes,POR,DF,25,29.0,2027,217,942,1000,108,17,2027,32,20,62.5,10,31.3,1205,5793,3203,27,20,0,20,15,1387,18
Jørgen Strand Larsen,NOR,FW,24,28.7,736,36,85,348,304,108,736,20,8,40.0,11,55.0,345,1194,464,17,14,9,90,34,534,112
José Sá,POR,GK,31,29.0,985,785,976,10,0,0,985,8,8,100.0,0,0.0,630,3790,2483,0,0,0,1,0,485,0
Matheus Cunha,BRA,"MF,FW",25,28.9,1561,23,181,695,733,133,1560,137,61,44.5,61,44.5,904,6724,3336,112,95,41,80,55,1056,161
Matt Doherty,IRL,DF,32,23.4,1534,126,614,748,190,26,1534,21,11,52.4,7,33.3,825,3666,2176,29,20,4,11,5,982,41
Jean-Ricner Bellegarde,FRA,"MF,FW",26,18.6,843,24,148,394,318,48,843,61,14,23.0,31,50.8,528,3269,1573,52,38,11,42,29,592,89
Santiago Bueno,URU,DF,25,18.7,1025,170,522,485,21,6,1025,4,0,0.0,4,100.0,555,2727,1430,1,2,0,2,2,660,1
Emmanuel Agbadou,CIV,DF,27,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2
Mario Lemina,GAB,"MF,DF",30,15.2,809,92,324,378,119,18,809,16,10,62.5,4,25.0,382,2068,1038,8,12,2,21,11,482,21
Marshall Munetsi,ZIM,"MF,FW",28,12.0,364,21,58,182,128,36,364,11,3,27.3,7,63.6,148,580,215,9,4,4,32,12,182,35
Gonçalo Guedes,POR,"MF,FW",27,11.1,484,6,49,199,250,40,484,28,9,32.1,15,53.6,304,2074,1056,41,27,8,38,18,337,79
Craig Dawson,ENG,DF,34,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5
Pablo Sarabia,ESP,"MF,FW",32,9.0,552,4,58,271,226,24,552,15,6,40.0,7,46.7,325,1497,731,15,15,0,22,14,387,62
Rodrigo Gomes,POR,"DF,FW",21,9.0,417,24,101,141,182,29,417,15,5,33.3,7,46.7,217,1388,805,23,18,7,21,9,246,81
Sam Johnstone,ENG,GK,31,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0
Hwang Hee-chan,KOR,"MF,FW",28,7.3,271,10,42,105,126,24,271,14,2,14.3,12,85.7,159,989,448,15,5,7,14,10,181,42
Yerson Mosquera,COL,DF,23,4.9,294,43,170,115,12,7,294,0,0,,0,,168,683,322,0,1,0,4,1,182,0
Tommy Doyle,ENG,MF,22,5.4,463,22,128,258,80,4,463,9,5,55.6,1,11.1,260,1417,578,6,3,0,9,4,303,4
Daniel Bentley,ENG,GK,31,2.0,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0
Carlos Forbs,POR,"MF,FW",20,2.7,121,3,23,39,60,13,121,12,7,58.3,5,41.7,75,468,321,10,3,8,7,4,85,28
Pedro Lima,BRA,DF,18,0.8,48,0,9,12,28,3,48,3,1,33.3,2,66.7,22,120,83,4,3,1,1,0,30,11
Nasser Djiga,BFA,DF,21,0.7,58,2,17,39,2,0,58,0,0,,0,,32,108,37,0,1,0,1,2,35,2
Daniel Podence,POR,"MF,FW",28,0.5,20,0,2,11,7,0,20,2,2,100.0,0,0.0,13,77,43,1,1,0,0,0,17,3
Chiquinho,POR,MF,24,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0
Mateus Mane,,MF,na,0.0,6,0,0,6,0,0,6,0,0,,0,,2,22,7,0,0,0,0,0,4,0
Tom King,WAL,GK,29,0.0,1,1,1,0,0,0,1,0,0,,0,,1,8,5,0,0,0,0,0,0,0
Alfie Pond,ENG,DF,20,0.0,1,0,0,1,0,0,1,0,0,,0,,1,2,2,0,0,0,0,0,1,0
Boubacar Traoré,MLI,MF,22,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Squad Total,,,26,38.0,22329,2578,7797,10051,4750,729,22328,731,324,44.3,315,43.1,12486,66974,34365,607,458,146,591,369,14358,1179
Opponent Total,,,26,38.0,23658,2351,7218,10397,6274,982,23649,778,296,38.0,373,47.9,13159,70747,36766,767,520,234,557,428,15750,1522
