player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Joško Gvardiol,CRO,DF,23,34.4,2985,142,733,1491,785,95,2985,41,24,58.5,14,34.1,1942,10243,5848,87,99,14,25,16,2196,112
Erling Haaland,NOR,FW,24,28.6,595,22,39,204,358,181,592,32,11,34.4,19,59.4,281,1364,507,20,15,20,41,25,440,110
Bernardo Silva,POR,"MF,FW",30,27.7,1894,49,323,760,829,136,1894,61,28,45.9,26,42.6,1191,7561,3861,98,62,32,21,32,1406,191
Ederson,BRA,GK,31,23.8,886,621,873,13,0,0,886,0,0,,0,,596,2746,1754,0,0,0,1,0,564,0
Mateo Kovačić,CRO,MF,31,23.7,2032,51,290,1150,613,17,2032,40,21,52.5,11,27.5,1382,8005,3709,54,77,3,19,29,1649,15
Rúben Dias,POR,DF,28,23.2,2343,198,774,1278,297,25,2343,3,2,66.7,1,33.3,1671,9406,5607,38,63,1,7,1,1902,8
İlkay Gündoğan,GER,MF,34,22.8,1748,43,256,848,664,60,1748,35,16,45.7,13,37.1,1035,5787,2813,57,52,9,27,24,1366,86
Rico Lewis,ENG,"DF,MF",20,21.0,1477,53,289,727,477,46,1477,21,9,42.9,11,52.4,865,4215,2155,39,41,8,20,19,1061,78
Manuel Akanji,SUI,DF,29,20.4,1744,113,507,841,399,16,1744,2,2,100.0,0,0.0,1149,6160,3678,41,63,0,4,5,1374,6
Sávio,BRA,"FW,MF",21,19.4,1090,14,55,283,772,153,1090,113,52,46.0,40,35.4,778,6421,3539,135,44,74,42,38,846,244
Phil Foden,ENG,"MF,FW",24,19.6,1131,13,82,381,677,82,1131,43,14,32.6,23,53.5,715,3691,1776,50,30,17,35,30,887,128
Kevin De Bruyne,BEL,"MF,FW",33,18.1,1307,10,74,429,816,76,1307,34,13,38.2,17,50.0,768,3813,1998,50,49,19,25,26,971,143
Matheus Nunes,POR,"DF,MF",26,16.6,1267,39,221,494,560,54,1267,36,16,44.4,13,36.1,779,4099,2131,59,31,22,29,13,916,156
Jeremy Doku,BEL,"FW,MF",22,16.0,981,4,42,222,740,149,981,194,107,55.2,56,28.9,760,7224,4605,201,89,101,55,56,818,274
Stefan Ortega,GER,GK,32,12.2,492,383,489,3,0,0,492,0,0,,0,,323,1489,864,0,0,0,0,0,309,0
Omar Marmoush,EGY,"FW,MF",26,11.2,421,3,30,122,276,61,421,42,18,42.9,19,45.2,264,1677,824,22,16,12,37,15,297,68
Kyle Walker,ENG,DF,34,10.8,892,26,197,473,228,5,892,6,3,50.0,2,33.3,499,2284,1106,12,13,0,9,2,630,11
Nathan Aké,NED,DF,30,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2
Nicolás González,ESP,MF,23,7.2,637,14,99,398,143,7,637,6,1,16.7,3,50.0,386,1606,615,5,9,1,7,10,484,10
Jack Grealish,ENG,"FW,MF",29,8.0,519,14,40,162,324,71,519,29,13,44.8,9,31.0,375,2879,1714,69,23,46,10,16,422,118
John Stones,ENG,"DF,MF",30,6.1,442,40,142,234,68,4,442,2,2,100.0,0,0.0,292,2146,1183,10,14,0,2,0,333,2
Nico O’Reilly,ENG,DF,20,5.9,419,14,71,223,130,18,419,15,9,60.0,6,40.0,249,1171,575,16,15,0,14,15,298,26
Abdukodir Khusanov,UZB,DF,21,5.6,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2
James Mcatee,ENG,"MF,FW",22,3.9,168,2,17,62,90,21,168,7,2,28.6,5,71.4,96,486,211,7,6,1,5,1,122,32
Jahmai Simpson-Pusey,ENG,DF,19,1.1,123,9,61,59,3,1,123,1,0,0.0,0,0.0,79,376,190,1,0,0,1,0,101,0
Rodri,ESP,MF,28,0.7,65,1,12,30,24,0,65,1,0,0.0,0,0.0,34,125,42,0,2,0,0,0,49,1
Divin Mubama,ENG,FW,20,0.3,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0
Oscar Bobb,NOR,FW,21,0.2,11,0,1,3,7,0,11,2,2,100.0,0,0.0,9,57,32,1,0,0,0,0,11,1
Vitor Reis,BRA,DF,19,0.0,3,1,2,1,0,0,3,1,1,100.0,0,0.0,2,3,0,0,0,0,0,0,2,0
Squad Total,,,27,36.0,26718,1975,6129,11435,9375,1285,26715,770,367,47.7,290,37.7,17199,98447,53273,1085,826,381,442,378,20238,1824
Opponent Total,,,27,36.0,18314,2990,8033,6909,3542,653,18310,502,224,44.6,206,41.0,10191,52480,25831,520,323,158,461,269,11769,843
