player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Bruno Guimarães,BRA,MF,26,36.3,2213,83,445,1131,662,85,2213,78,34,43.6,27,34.6,1400,7763,3483,64,46,15,56,76,1652,96
Dan Burn,ENG,DF,32,37.0,2386,366,1305,959,130,52,2386,4,3,75.0,1,25.0,1346,6322,2798,12,8,1,24,3,1615,14
Alexander Isak,SWE,FW,24,30.6,1025,20,57,386,596,189,1021,91,42,46.2,47,51.6,615,3723,1861,83,42,43,66,55,740,217
Fabian Schär,SUI,DF,32,32.6,2319,266,1178,991,162,42,2319,13,8,61.5,3,23.1,1438,6526,3744,18,27,2,12,6,1609,22
Valentino Livramento,ENG,DF,21,31.6,1964,119,619,894,482,41,1964,56,25,44.6,23,41.1,1023,6333,3316,83,42,13,32,39,1144,119
Jacob Murphy,ENG,FW,29,26.2,1271,27,188,474,622,92,1271,69,35,50.7,31,44.9,733,4416,2339,79,40,27,32,37,911,231
Joelinton,BRA,"MF,FW",27,26.6,1360,67,256,670,448,83,1360,46,15,32.6,28,60.9,729,3598,1786,40,26,9,39,53,934,110
Sandro Tonali,ITA,MF,24,29.2,1818,64,406,991,450,45,1818,37,20,54.1,14,37.8,979,5567,2334,37,40,6,30,23,1257,53
Nick Pope,ENG,GK,32,28.0,872,688,857,15,0,0,872,0,0,,0,,439,2510,1708,0,0,0,0,1,305,0
Anthony Gordon,ENG,"FW,MF",23,27.0,1267,16,125,475,687,128,1265,103,38,36.9,47,45.6,818,6099,3295,121,62,56,36,38,924,214
Lewis Hall,ENG,DF,19,24.3,1820,95,623,804,414,47,1820,21,11,52.4,7,33.3,950,4398,2358,41,22,13,33,20,1094,80
Harvey Barnes,ENG,FW,26,19.5,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192
Kieran Trippier,ENG,DF,33,14.5,1388,50,375,616,406,13,1388,8,4,50.0,4,50.0,609,2258,1224,26,14,4,11,8,847,58
Joe Willock,ENG,"MF,FW",24,12.1,533,12,74,231,239,55,533,35,12,34.3,17,48.6,325,2217,1034,38,28,16,37,23,372,86
Martin Dúbravka,SVK,GK,35,10.0,350,262,337,14,0,0,350,0,0,,0,,202,1043,643,0,0,0,0,0,175,0
Sean Longstaff,ENG,MF,26,8.9,434,24,123,193,121,21,434,7,2,28.6,4,57.1,248,1176,429,4,10,2,9,7,308,22
Sven Botman,NED,DF,24,4.6,304,40,132,160,16,11,304,3,1,33.3,1,33.3,145,670,337,0,1,0,5,1,197,0
Lloyd Kelly,ENG,DF,25,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5
Callum Wilson,ENG,FW,32,4.1,95,1,5,55,38,19,95,7,1,14.3,4,57.1,47,243,105,5,4,5,16,12,60,17
Emil Krafth,SWE,DF,29,3.8,199,34,100,73,28,4,199,1,0,0.0,1,100.0,82,397,175,5,6,0,2,2,98,3
Lewis Miley,ENG,MF,18,3.5,235,5,44,124,68,6,235,3,1,33.3,1,33.3,112,544,202,2,2,0,8,1,163,8
Miguel Almirón,PAR,FW,30,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18
William Osula,DEN,FW,20,1.5,56,1,4,21,32,8,56,6,3,50.0,3,50.0,37,252,126,5,1,2,7,6,42,17
Matt Targett,ENG,DF,28,0.2,17,0,3,8,6,0,17,0,0,,0,,4,12,6,0,0,0,0,0,12,1
Squad Total,,,27,38.0,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583
Opponent Total,,,26,38.0,22228,2680,7157,9564,5732,888,22226,687,298,43.4,306,44.5,12457,65304,33229,667,474,223,543,297,14188,1260
