player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
David Raya,ESP,GK,28,38.0,1480,880,1388,92,0,0,1480,1,1,100.0,0,0.0,921,4542,2729,0,0,0,1,0,841,0
William Saliba,FRA,DF,23,33.8,2824,190,1127,1571,142,18,2824,19,12,63.2,6,31.6,1756,7626,4154,16,17,1,19,8,2137,6
Declan Rice,ENG,MF,25,31.4,1948,82,325,909,733,81,1948,29,14,48.3,14,48.3,1031,6464,3394,90,58,16,36,32,1266,94
Thomas Partey,GHA,"MF,DF",31,31.1,2193,74,457,1214,534,33,2193,35,24,68.6,9,25.7,1256,6822,3691,36,42,3,24,17,1561,48
Leandro Trossard,BEL,FW,29,28.3,1278,17,135,399,762,158,1278,86,38,44.2,37,43.0,828,5024,2218,80,55,30,66,52,956,226
Gabriel Magalhães,BRA,DF,26,26.3,1873,189,672,985,225,40,1873,5,4,80.0,1,20.0,1116,4470,2669,10,22,0,9,2,1366,11
Jurriën Timber,NED,DF,23,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104
Martin Ødegaard,NOR,MF,25,25.8,1694,9,126,708,875,115,1693,59,25,42.4,32,54.2,1174,7444,3772,92,85,26,38,40,1336,154
Gabriel Martinelli,BRA,"FW,MF",23,25.4,994,17,102,247,660,182,994,109,33,30.3,60,55.0,670,4985,2620,124,33,64,50,38,752,289
Kai Havertz,GER,"FW,MF",25,20.8,785,31,92,287,411,107,785,38,9,23.7,24,63.2,418,2012,954,35,23,18,44,23,584,113
Bukayo Saka,ENG,"FW,MF",22,19.2,979,6,57,216,715,162,978,90,41,45.6,37,41.1,628,4253,2460,96,32,51,34,40,711,255
Mikel Merino,ESP,"MF,FW",28,17.6,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,11,13,4,24,27,504,94
Myles Lewis-Skelly,ENG,DF,17,15.2,905,28,178,476,265,17,905,28,12,42.9,9,32.1,526,2692,1663,37,26,7,13,9,616,37
Ben White,ENG,DF,26,13.3,813,55,214,367,238,28,813,6,0,0.0,5,83.3,394,1617,953,23,16,4,10,6,494,42
Riccardo Calafiori,ITA,DF,22,10.9,653,30,164,264,229,30,653,13,9,69.2,3,23.1,308,1655,889,22,15,3,12,5,394,29
Ethan Nwaneri,ENG,"FW,MF",17,9.9,544,3,44,167,339,44,544,62,37,59.7,19,30.6,365,2852,1329,46,25,17,23,17,398,113
Jakub Kiwior,POL,DF,24,12.5,846,100,281,494,72,5,846,5,3,60.0,2,40.0,492,1988,1037,5,7,1,3,2,615,1
Jorginho,ITA,MF,32,7.8,522,9,93,304,131,3,522,4,1,25.0,2,50.0,302,1498,874,12,13,0,12,9,389,6
Raheem Sterling,ENG,"FW,MF",29,5.5,274,2,10,58,209,38,274,30,10,33.3,10,33.3,201,1407,750,27,11,15,13,14,211,79
Gabriel Jesus,BRA,FW,27,6.8,299,9,28,108,165,48,299,22,9,40.9,10,45.5,179,953,432,15,6,11,13,13,217,57
Oleksandr Zinchenko,UKR,"DF,MF",27,5.9,499,16,86,233,181,20,499,5,3,60.0,1,20.0,281,1348,573,10,8,3,3,4,348,14
Kieran Tierney,SCO,"DF,FW",27,2.9,199,8,36,72,91,6,199,4,2,50.0,1,25.0,108,447,253,8,6,1,3,0,143,29
Nathan Butler-Oyedeji,ENG,FW,21,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,JPN,DF,25,0.1,7,1,4,1,2,1,7,0,0,,0,,1,7,5,0,0,0,0,0,2,0
Reiss Nelson,ENG,FW,24,0.0,2,0,1,1,0,0,2,0,0,,0,,1,4,4,0,0,0,0,0,1,0
Squad Total,,,25,38.0,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,852,540,286,483,382,16894,1801
Opponent Total,,,26,38.0,19306,2948,7642,7501,4397,632,19303,595,255,42.9,260,43.7,10350,57925,30357,618,413,162,451,338,12077,927
