Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Collins,IRL,DF,24-014,36.0,5,0,0,25,28,6,8,33,22,2,0,0,154,116,63,64.8
Mbeumo,CMR,FW,25-280,35.9,3,0,0,24,44,11,192,14,29,0,0,0,145,34,71,32.4
Flekken,NED,GK,31-335,34.4,1,0,0,0,3,0,0,0,4,0,0,0,37,4,0,100.0
Lewis-Potter,ENG,"DF,FW",24-081,32.5,6,0,0,17,29,4,74,19,26,1,0,0,140,27,34,44.3
Damsgaard,DEN,"MF,FW",24-315,30.5,2,0,0,18,27,6,135,26,43,0,0,0,162,12,26,31.6
Wissa,COD,FW,28-253,30.4,3,0,0,29,49,14,20,8,12,1,0,0,70,30,36,45.5
Nørgaard,DEN,MF,31-065,29.3,7,1,0,43,28,1,16,46,46,0,0,0,184,44,29,60.3
Sepp van den Berg,NED,DF,23-145,26.7,2,0,0,20,5,1,7,20,22,1,0,0,92,85,66,56.3
Janelt,GER,MF,27-004,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3
Schade,GER,FW,23-168,23.8,3,0,0,21,33,13,36,5,23,0,0,0,78,82,69,54.3
Pinnock,JAM,DF,31-350,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4
Ajer,NOR,DF,27-027,15.6,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1
Yarmoliuk,UKR,MF,21-074,14.3,6,0,0,16,12,2,16,12,25,0,0,0,96,8,8,50.0
Roerslev,DEN,DF,25-324,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
Jensen,DEN,MF,29-133,9.3,2,0,0,7,10,0,31,8,10,0,0,0,45,8,5,61.5
Kayode,ITA,DF,20-308,4.2,2,0,0,7,2,0,9,5,10,0,0,0,29,6,2,75.0
Carvalho,POR,"FW,MF",22-257,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
Mee,ENG,DF,35-235,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0
Thiago,BRA,FW,23-322,1.6,0,0,0,3,3,1,1,2,3,0,0,0,10,6,5,54.5
Hákon Rafn Valdimarsson,ISL,GK,23-213,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Maghoma,ENG,"MF,FW",24-006,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0
Henry,ENG,DF,27-310,0.9,0,0,0,1,1,0,0,1,0,0,0,0,4,1,1,50.0
Yunus Emre Konak,TUR,"FW,MF",19-124,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
Jisoo,KOR,DF,20-141,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Onyeka,NGA,MF,27-133,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
Nunes,BRA,"FW,MF",19-175,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Meghoma,ENG,DF,18-320,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Trevitt,ENG,MF,22-063,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
