player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Aït-Nouri,ALG,DF,23,32.8,7,1,1,30,42,5,88,25,55,0,0,0,140,21,28,42.9
Gomes,BRA,MF,24,31.5,10,1,1,68,43,1,28,25,62,0,0,0,182,9,24,27.3
Semedo,POR,DF,31,30.6,7,0,0,45,29,4,62,23,34,0,1,0,129,27,41,39.7
Jørgen Strand Larsen,NOR,FW,25,27.7,4,0,0,46,18,14,6,6,6,0,0,0,42,66,96,40.7
André,BRA,MF,23,26.0,7,0,0,35,33,0,0,35,53,0,1,0,187,2,6,25.0
Sá,POR,GK,32,28.0,2,0,0,4,8,0,0,0,2,0,4,0,35,10,1,90.9
Cunha,BRA,"MF,FW",25,27.6,4,0,0,42,70,8,132,17,21,0,1,0,123,10,28,26.3
Gomes,POR,DF,26,27.0,6,0,0,23,14,4,13,24,41,0,1,0,104,49,25,66.2
Doherty,IRL,DF,33,22.5,6,0,0,18,11,2,20,22,20,0,0,1,101,50,20,71.4
Bellegarde,FRA,"MF,FW",26,17.6,3,0,0,29,43,1,41,10,22,0,0,0,58,10,18,35.7
Bueno,URU,DF,26,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0
Lemina,GAB,"MF,DF",31,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0
Agbadou,CIV,DF,27,13.7,2,0,0,5,4,1,2,11,18,0,0,0,71,24,17,58.5
Munetsi,ZIM,"MF,FW",28,10.8,0,0,0,17,10,3,6,6,10,0,0,0,31,26,19,57.8
Dawson,ENG,DF,35,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
Guedes,POR,"MF,FW",28,9.3,1,0,0,15,16,3,20,5,4,0,0,0,35,3,11,21.4
Johnstone,ENG,GK,32,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0
Sarabia,ESP,"MF,FW",33,8.3,3,0,0,15,15,5,40,4,8,0,0,0,31,4,12,25.0
Gomes,POR,"DF,FW",21,7.8,0,0,0,3,5,0,21,5,13,0,0,0,25,6,17,26.1
Hee-chan,KOR,"MF,FW",29,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0
Mosquera,COL,DF,24,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7
Doyle,ENG,MF,23,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
Forbs,POR,"MF,FW",21,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0
Bentley,ENG,GK,31,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
Lima,BRA,DF,18,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0
Podence,POR,"MF,FW",29,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0
Djiga,BFA,"DF,FW",22,0.2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0
Chiquinho,POR,MF,25,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Mane,,MF,na,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pond,ENG,DF,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Traoré,MLI,MF,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
