Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Sels,BEL,GK,33,36.0,4,0,0,1,10,0,0,0,1,0,1,0,12,14,2,87.5
Milenković,SRB,DF,27,35.0,4,0,0,18,4,1,0,25,27,0,0,0,76,97,37,72.4
Murillo,BRA,DF,22,33.4,5,0,0,25,4,0,12,32,36,0,1,0,134,43,21,67.2
Aina,NGA,DF,28,31.4,4,0,0,21,35,2,50,31,41,0,1,0,180,13,19,40.6
Wood,NZL,FW,33,30.9,1,0,0,25,22,26,1,5,4,0,0,0,46,92,134,40.7
Gibbs-White,ENG,MF,25,29.2,11,1,1,36,37,7,40,21,21,1,0,0,120,39,50,43.8
Anderson,ENG,MF,22,28.4,8,0,0,45,57,4,78,30,52,0,0,0,200,54,27,66.7
Elanga,SWE,"FW,MF",23,25.8,1,0,0,8,40,16,170,6,13,0,0,0,86,24,35,40.7
Williams,WAL,DF,24,26.8,7,0,0,24,40,1,52,25,48,0,0,0,101,37,29,56.1
Hudson-Odoi,ENG,"FW,MF",24,23.9,2,0,0,12,22,8,75,13,14,1,0,0,91,3,10,23.1
Domínguez,ARG,"MF,FW",26,20.1,9,0,0,33,17,1,6,29,40,0,0,0,105,22,22,50.0
Yates,ENG,MF,27,21.0,10,0,0,52,49,6,5,26,21,0,0,0,97,45,30,60.0
Moreno,ESP,"DF,MF",31,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4
Morato,BRA,DF,23,10.0,4,0,0,11,2,0,0,10,13,0,0,0,34,6,14,30.0
Silva,POR,"FW,MF",25,9.4,5,0,0,24,23,8,21,12,13,1,0,0,42,21,28,42.9
Sangaré,CIV,MF,27,5.0,3,0,0,13,6,0,2,4,13,0,0,0,35,7,9,43.8
Ward-Prowse,ENG,MF,30,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5
Danilo,BRA,"MF,FW",24,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0
Awoniyi,NGA,FW,27,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5
Sosa,PAR,"FW,MF",25,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4
Boly,CIV,DF,34,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0
Toffolo,ENG,DF,29,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0
Eric da Silva Moreira,GER,"MF,DF",19,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,
