Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Walker-Peters,ENG,DF,28-031,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4
Fernandes,POR,MF,20-308,30.3,8,0,0,44,55,4,105,26,46,0,0,0,169,14,9,60.9
Harwood-Bellis,ENG,DF,23-104,30.5,9,0,0,35,14,0,10,30,19,0,0,0,121,60,45,57.1
Bednarek,POL,DF,29-032,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7
Ramsdale,ENG,GK,27-000,28.0,2,0,0,1,4,0,0,2,0,0,0,0,20,6,0,100.0
Downes,ENG,MF,26-114,21.9,11,0,0,47,36,0,3,31,24,0,0,0,76,16,13,55.2
Aribo,NGA,"MF,DF",28-297,21.7,1,0,0,20,28,1,10,20,33,0,1,0,111,25,21,54.3
Dibling,ENG,"FW,MF",19-063,20.1,6,0,0,29,50,2,28,8,20,2,0,0,79,10,21,32.3
Manning,IRL,"DF,MF",28-334,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,6,71.4
Ugochukwu,FRA,MF,21-049,17.4,7,0,0,31,15,0,6,14,24,0,1,0,63,20,17,54.1
Stephens,ENG,DF,31-107,14.4,2,2,0,12,4,1,1,11,19,0,1,0,43,6,10,37.5
Sugawara,JPN,"DF,MF",24-320,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7
Sulemana,GHA,"FW,MF",23-088,14.1,2,0,0,20,11,3,25,6,15,0,0,0,54,10,25,28.6
Armstrong,ENG,"FW,MF",28-093,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7
Archer,ENG,FW,23-297,15.5,0,0,0,16,12,8,3,2,7,0,0,0,34,8,30,21.1
Bree,ENG,DF,27-215,10.9,0,0,0,2,5,0,27,8,13,0,0,0,62,12,7,63.2
Onuachu,NGA,FW,30-351,11.4,4,0,0,28,16,9,0,1,2,0,0,0,17,90,56,61.6
Wood-Gordon,ENG,DF,22-348,6.9,2,0,0,8,4,0,3,4,7,0,0,0,20,11,7,61.1
Smallbone,IRL,MF,25-082,7.2,1,0,0,11,3,0,34,2,11,0,1,0,23,4,2,66.7
McCarthy,ENG,GK,35-162,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
Lallana,ENG,MF,37-004,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0
Brereton,CHI,FW,26-026,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3
Fraser,SCO,"FW,DF",31-079,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0
Welington,BRA,"DF,MF",24-084,3.4,1,0,0,3,5,0,11,6,5,0,1,0,17,2,3,40.0
Stewart,SCO,FW,28-307,3.2,1,0,0,7,5,1,0,0,2,0,0,0,2,10,16,38.5
Lumley,ENG,GK,30-088,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Armel Bella Kotchap,GER,DF,23-154,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5
Taylor,ENG,DF,31-238,3.0,1,0,0,2,2,0,9,3,5,0,0,0,7,4,2,66.7
Grønbaek,DEN,"FW,MF",23-356,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0
Cornet,CIV,FW,28-229,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
Edozie,ENG,"DF,FW",22-106,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,
Robinson,ENG,"MF,FW",18-060,0.4,0,0,0,1,1,0,0,0,1,0,0,0,5,0,1,0.0
Amo-Ameyaw,ENG,"FW,DF",18-300,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0
Edwards,ENG,DF,22-047,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alcaraz,ARG,MF,22-165,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
