Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,3,0.14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adrien Truffert,fr FRA,DF,24-055,20.5,34,1.66,27,0,1,0,4,2,2,0.1,2,0,0,0,0,0,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20.0,66,3.3,45,5,9,5,1,1,8,0.4,5,0,3,0,0,0,Matches
Marcos Senesi,ar ARG,DF,28-249,19.5,42,2.15,38,0,0,1,0,3,6,0.31,6,0,0,0,0,0,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,18.8,69,3.67,54,6,5,2,2,0,7,0.37,6,0,0,0,1,0,Matches
Alex Scott,eng ENG,MF,22-146,15.7,40,2.55,19,4,2,5,6,4,3,0.19,3,0,0,0,0,0,Matches
Evanilson,br BRA,FW,26-100,15.6,38,2.43,27,0,0,6,5,0,2,0.13,0,0,0,1,1,0,Matches
Bafodé Diakité,fr FRA,DF,25-008,14.0,10,0.71,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyler Adams,us USA,MF,26-334,13.3,13,0.98,12,0,0,0,0,1,3,0.23,2,0,0,0,0,1,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,12.8,20,1.56,16,1,1,2,0,0,4,0.31,3,0,0,1,0,0,Matches
David Brooks,wls WAL,"FW,MF",28-190,10.4,45,4.32,29,4,5,6,1,0,4,0.38,2,1,0,1,0,0,Matches
Justin Kluivert,nl NED,MF,26-254,10.2,39,3.82,30,5,2,1,0,1,4,0.39,3,1,0,0,0,0,Matches
Adam Smith,eng ENG,DF,34-260,5.8,7,1.2,5,0,0,0,2,0,1,0.17,1,0,0,0,0,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,6.4,9,1.41,8,0,0,0,0,1,1,0.16,1,0,0,0,0,0,Matches
James Hill,eng ENG,DF,24-004,6.4,6,0.94,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,"MF,DF",28-345,5.6,20,3.59,15,4,0,0,0,1,2,0.36,2,0,0,0,0,0,Matches
Veljko Milosavljević,rs SRB,DF,18-200,4.1,3,0.74,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Amine Adli,ma MAR,"FW,MF",25-249,4.9,17,3.47,13,0,1,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Ryan Christie,sct SCO,MF,30-326,3.3,13,3.95,9,0,0,3,1,0,2,0.61,1,0,0,0,1,0,Matches
Enes Ünal,tr TUR,"FW,MF",28-249,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Gannon-Doak,sct SCO,FW,20-064,0.6,3,4.74,2,0,0,0,1,0,2,3.16,2,0,0,0,0,0,Matches
Julio Soler,ar ARG,"DF,FW",20-332,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,25-332,0.2,1,5.29,1,0,0,0,0,0,1,5.29,1,0,0,0,0,0,Matches
Ben Winterburn,eng ENG,MF,21-132,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,498,23.71,371,30,26,32,24,15,52,2.48,40,2,3,3,3,1,
Opponent Total,,,26.7,21.0,457,21.76,334,38,29,30,16,10,68,3.24,42,6,5,9,6,0,
