Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
David Raya,es ESP,GK,30-121,21.0,8,0.38,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martín Zubimendi,es ESP,MF,26-346,19.7,43,2.19,38,0,1,3,1,0,4,0.2,4,0,0,0,0,0,Matches
Declan Rice,eng ENG,MF,27-000,18.8,62,3.29,39,17,0,4,0,2,7,0.37,5,2,0,0,0,0,Matches
Jurriën Timber,nl NED,DF,24-211,18.2,45,2.47,33,1,1,6,3,1,5,0.27,3,0,0,1,1,0,Matches
Bukayo Saka,eng ENG,FW,24-131,15.8,79,5.0,54,6,6,7,4,2,7,0.44,6,0,0,0,1,0,Matches
William Saliba,fr FRA,DF,24-296,15.0,14,0.93,14,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Viktor Gyökeres,se SWE,FW,27-224,14.3,28,1.95,18,0,2,6,2,0,3,0.21,2,0,1,0,0,0,Matches
Riccardo Calafiori,it ITA,DF,23-240,13.9,28,2.01,16,1,3,5,2,1,5,0.36,3,0,0,1,0,1,Matches
Gabriel Magalhães,br BRA,DF,28-026,14.1,17,1.21,10,0,0,4,3,0,2,0.14,1,0,0,1,0,0,Matches
Leandro Trossard,be BEL,FW,31-041,12.6,44,3.5,35,1,3,4,1,0,4,0.32,4,0,0,0,0,0,Matches
Eberechi Eze,eng ENG,"MF,FW",27-199,10.3,25,2.44,19,0,3,3,0,0,5,0.49,3,0,1,1,0,0,Matches
Martin Ødegaard,no NOR,MF,27-028,9.7,54,5.56,41,2,4,4,1,2,10,1.03,7,1,1,0,0,1,Matches
Mikel Merino,es ESP,"MF,FW",29-206,10.4,23,2.2,22,0,0,1,0,0,4,0.38,4,0,0,0,0,0,Matches
Piero Hincapié,ec ECU,DF,24-005,9.9,11,1.11,10,0,0,0,1,0,1,0.1,1,0,0,0,0,0,Matches
Noni Madueke,eng ENG,FW,23-310,5.7,24,4.23,16,3,5,0,0,0,3,0.53,2,0,1,0,0,0,Matches
Gabriel Martinelli,br BRA,FW,24-210,5.7,12,2.12,7,1,2,2,0,0,2,0.35,1,0,0,1,0,0,Matches
Cristhian Mosquera,es ESP,DF,21-201,4.8,2,0.42,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben White,eng ENG,DF,28-098,3.2,9,2.81,8,1,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-110,3.6,6,1.68,6,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
Ethan Nwaneri,eng ENG,MF,18-299,1.9,5,2.63,3,0,1,1,0,0,1,0.53,1,0,0,0,0,0,Matches
Gabriel Jesus,br BRA,FW,28-286,1.4,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Christian Nørgaard,dk DEN,MF,31-310,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kai Havertz,de GER,FW,26-217,0.3,3,8.71,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Max Dowman,eng ENG,FW,16-014,0.3,2,6.21,0,0,0,0,2,0,1,3.1,0,0,0,0,1,0,Matches
Squad Total,,,26.5,21.0,545,25.95,402,33,31,50,21,8,67,3.19,50,3,4,5,3,2,
Opponent Total,,,26.8,21.0,291,13.86,203,26,20,20,15,7,21,1.0,12,2,0,4,1,2,
