Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,4,0.19,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,13,0.65,11,0,0,1,0,1,1,0.05,0,0,0,1,0,0,Matches
Pedro Porro,es ESP,DF,26-123,18.8,56,2.99,37,14,0,1,2,2,4,0.21,3,1,0,0,0,0,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,49,2.87,30,10,5,2,2,0,8,0.47,5,1,1,1,0,0,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,20,1.28,19,0,1,0,0,0,2,0.13,2,0,0,0,0,0,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,17,1.05,11,0,1,3,1,1,3,0.19,2,0,0,1,0,0,Matches
Djed Spence,eng ENG,DF,25-158,15.0,20,1.34,17,1,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Palhinha,pt POR,MF,30-189,14.5,16,1.1,13,0,0,2,0,1,5,0.35,3,0,0,1,0,1,Matches
Richarlison,br BRA,FW,28-249,14.3,21,1.47,11,0,3,4,3,0,4,0.28,2,0,1,1,0,0,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,29,2.82,22,1,1,2,3,0,4,0.39,2,1,0,1,0,0,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,18,1.94,16,0,2,0,0,0,1,0.11,1,0,0,0,0,0,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,15,1.68,9,3,2,1,0,0,2,0.22,2,0,0,0,0,0,Matches
Archie Gray,eng ENG,MF,19-308,6.7,7,1.04,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,10,1.27,9,0,0,0,0,1,5,0.63,4,0,0,0,0,1,Matches
Kevin Danso,at AUT,DF,27-117,6.5,6,0.92,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,29,3.64,25,0,3,1,0,0,2,0.25,1,0,0,1,0,0,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,12,1.77,9,0,2,1,0,0,1,0.15,0,0,1,0,0,0,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,14,2.07,12,0,0,1,1,0,1,0.15,1,0,0,0,0,0,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,13,2.49,7,5,0,0,0,1,2,0.38,2,0,0,0,0,0,Matches
Ben Davies,wls WAL,DF,32-265,1.3,2,1.51,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,1,2.81,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,372,17.71,272,38,22,21,12,7,45,2.14,30,3,3,7,0,2,
Opponent Total,,,26.7,21.0,424,20.19,310,30,27,28,19,10,47,2.24,33,1,6,3,2,2,
