Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,10,0.48,7,3,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,56,2.69,41,15,0,0,0,0,7,0.34,6,1,0,0,0,0,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,30,1.55,25,2,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,36,1.89,23,9,0,1,1,2,2,0.11,2,0,0,0,0,0,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,52,2.97,38,10,0,3,1,0,8,0.46,5,1,0,1,1,0,Matches
Omar Alderete,py PAR,DF,29-019,16.3,13,0.8,11,0,1,0,1,0,1,0.06,1,0,0,0,0,0,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,23,1.47,16,0,2,2,3,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,12,0.88,10,0,0,0,0,2,0,0.0,0,0,0,0,0,0,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,7,0.62,4,0,0,0,3,0,3,0.26,1,0,0,0,2,0,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,10,0.92,2,0,5,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,13,1.2,12,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,16,1.63,12,1,0,3,0,0,2,0.2,1,0,0,1,0,0,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,14,1.93,13,0,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,18,2.66,13,0,4,1,0,0,2,0.3,1,0,0,1,0,0,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,11,1.4,8,0,0,1,2,0,2,0.25,2,0,0,0,0,0,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,5,1.19,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,9,1.63,5,0,2,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,6,1.45,3,0,1,1,1,0,1,0.24,0,0,0,0,1,0,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,4,2.86,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,3,1.52,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Guiu,es ESP,FW,20-010,0.2,2,12.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dan Neil,eng ENG,MF,24-032,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,351,16.71,254,40,18,20,14,5,33,1.57,23,3,0,3,4,0,
Opponent Total,,,26.8,21.0,553,26.33,430,39,27,39,11,7,35,1.67,27,1,4,3,0,0,
