Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Gabriel Gudmundsson,se SWE,DF,26-260,19.3,39,2.02,31,2,0,2,2,2,0,0.0,0,0,0,0,0,0,Matches
Joe Rodon,wls WAL,DF,28-084,18.3,11,0.6,8,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Pascal Struijk,nl NED,DF,26-156,18.1,21,1.16,18,0,0,3,0,0,2,0.11,2,0,0,0,0,0,Matches
Ethan Ampadu,wls WAL,MF,25-122,17.7,38,2.15,30,5,1,1,0,1,3,0.17,2,1,0,0,0,0,Matches
Jayden Bogle,eng ENG,DF,25-171,17.6,23,1.31,19,0,1,0,2,1,1,0.06,1,0,0,0,0,0,Matches
Anton Stach,de GER,MF,27-060,17.0,75,4.41,38,22,3,7,1,4,9,0.53,4,1,0,3,0,1,Matches
Lucas Perri,br BRA,GK,28-035,16.0,2,0.12,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-304,14.6,28,1.92,18,0,2,4,4,0,3,0.21,1,0,0,1,1,0,Matches
Brenden Aaronson,us USA,"FW,MF",25-084,13.8,38,2.75,24,0,4,5,3,2,6,0.43,4,0,0,2,0,0,Matches
Noah Okafor,ch SUI,"FW,MF",25-235,11.5,35,3.04,23,0,2,6,1,3,4,0.35,1,0,0,3,0,0,Matches
Jaka Bijol,si SVN,DF,26-343,10.9,6,0.55,5,1,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Sean Longstaff,eng ENG,MF,28-076,9.8,31,3.18,14,13,0,2,0,2,2,0.21,0,2,0,0,0,0,Matches
Ao Tanaka,jp JPN,MF,27-126,7.9,18,2.28,17,1,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Ilia Gruev,bg BUL,MF,25-253,7.2,11,1.52,6,3,1,0,1,0,5,0.69,3,1,0,0,1,0,Matches
Lukas Nmecha,de GER,FW,27-031,6.7,11,1.64,7,0,0,3,0,1,1,0.15,0,0,0,1,0,0,Matches
Karl Darlow,wls WAL,GK,35-098,5.0,2,0.4,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Justin,eng ENG,"DF,FW",27-325,4.9,3,0.62,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Daniel James,wls WAL,FW,28-065,3.9,15,3.81,9,1,0,3,2,0,0,0.0,0,0,0,0,0,0,Matches
Wilfried Gnonto,it ITA,"FW,MF",22-070,3.6,16,4.44,12,0,1,1,2,0,4,1.11,3,0,0,0,1,0,Matches
Joël Piroe,nl NED,"FW,MF",26-165,2.3,4,1.72,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,26-298,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jack Harrison,eng ENG,"FW,DF",29-055,3.0,5,1.67,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Sam Byram,eng ENG,DF,32-120,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,21.0,432,20.57,288,49,15,43,20,17,42,2.0,23,5,0,10,3,1,
Opponent Total,,,26.5,21.0,453,21.57,330,32,31,33,21,6,66,3.14,50,2,6,3,5,0,
