player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Rayan Aït-Nouri,ALG,DF,23,34.5,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3
João Gomes,BRA,MF,23,33.0,3,35,7,20.0,1.06,0.21,0.09,0.43,18.3,0,0,0,2.9,2.9,0.08,0.1,0.1
Nélson Semedo,POR,DF,30,32.1,0,18,7,38.9,0.56,0.22,0.0,0.0,23.9,0,0,0,0.9,0.9,0.05,-0.9,-0.9
André,BRA,MF,23,27.5,0,10,1,10.0,0.36,0.04,0.0,0.0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Toti Gomes,POR,DF,25,29.0,0,7,2,28.6,0.24,0.07,0.0,0.0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7
Jørgen Strand Larsen,NOR,FW,24,28.7,14,54,33,61.1,1.88,1.15,0.26,0.42,11.3,0,0,0,10.3,10.3,0.19,3.7,3.7
José Sá,POR,GK,31,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matheus Cunha,BRA,"MF,FW",25,28.9,15,110,44,40.0,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,6.4,6.4
Matt Doherty,IRL,DF,32,23.4,2,10,3,30.0,0.43,0.13,0.2,0.67,11.4,0,0,0,1.0,1.0,0.1,1.0,1.0
Jean-Ricner Bellegarde,FRA,"MF,FW",26,18.6,2,22,5,22.7,1.18,0.27,0.09,0.4,21.2,2,0,0,1.5,1.5,0.07,0.5,0.5
Santiago Bueno,URU,DF,25,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Emmanuel Agbadou,CIV,DF,27,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2
Mario Lemina,GAB,"MF,DF",30,15.2,1,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4
Marshall Munetsi,ZIM,"MF,FW",28,12.0,2,22,7,31.8,1.84,0.58,0.09,0.29,15.0,0,0,0,3.3,3.3,0.15,-1.3,-1.3
Gonçalo Guedes,POR,"MF,FW",27,11.1,2,27,8,29.6,2.44,0.72,0.07,0.25,18.9,0,0,0,3.2,3.2,0.12,-1.2,-1.2
Craig Dawson,ENG,DF,34,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5
Pablo Sarabia,ESP,"MF,FW",32,9.0,3,17,8,47.1,1.88,0.88,0.18,0.38,18.9,2,0,0,2.9,2.9,0.17,0.1,0.1
Rodrigo Gomes,POR,"DF,FW",21,9.0,2,7,3,42.9,0.78,0.33,0.29,0.67,16.8,0,0,0,0.7,0.7,0.1,1.3,1.3
Sam Johnstone,ENG,GK,31,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Hwang Hee-chan,KOR,"MF,FW",28,7.3,2,5,3,60.0,0.68,0.41,0.4,0.67,17.4,0,0,0,0.8,0.8,0.16,1.2,1.2
Yerson Mosquera,COL,DF,23,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Tommy Doyle,ENG,MF,22,5.4,0,9,2,22.2,1.66,0.37,0.0,0.0,24.5,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Daniel Bentley,ENG,GK,31,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Forbs,POR,"MF,FW",20,2.7,0,2,0,0.0,0.75,0.0,0.0,,19.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Pedro Lima,BRA,DF,18,0.8,0,1,1,100.0,1.29,1.29,0.0,0.0,22.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Nasser Djiga,BFA,DF,21,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Podence,POR,"MF,FW",28,0.5,0,1,0,0.0,1.87,0.0,0.0,,24.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Chiquinho,POR,MF,24,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Mateus Mane,,MF,na,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tom King,WAL,GK,29,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alfie Pond,ENG,DF,20,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Boubacar Traoré,MLI,MF,22,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,26,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3
Opponent Total,,,26,38.0,66,464,159,34.3,12.21,4.18,0.13,0.37,16.5,19,7,9,58.1,51.0,0.11,7.9,8.0
