player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Kyle Walker-Peters,ENG,DF,28,32.4,0,20,6,30.0,0.62,0.19,0.0,0.0,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8
Mateus Fernandes,POR,MF,20,30.3,2,40,14,35.0,1.32,0.46,0.05,0.14,18.4,3,0,0,3.8,3.8,0.1,-1.8,-1.8
Taylor Harwood-Bellis,ENG,DF,23,30.5,1,20,8,40.0,0.66,0.26,0.05,0.13,10.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8
Jan Bednarek,POL,DF,29,28.1,2,5,2,40.0,0.18,0.07,0.4,1.0,16.0,0,0,0,0.7,0.7,0.13,1.3,1.3
Aaron Ramsdale,ENG,GK,27,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Flynn Downes,ENG,MF,26,21.9,1,10,3,30.0,0.46,0.14,0.1,0.33,18.7,0,0,0,0.6,0.6,0.06,0.4,0.4
Joe Aribo,NGA,"MF,DF",28,21.7,3,17,7,41.2,0.78,0.32,0.18,0.43,14.0,0,0,0,2.7,2.7,0.16,0.3,0.3
Tyler Dibling,ENG,"FW,MF",19,20.1,2,28,9,32.1,1.39,0.45,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5
Ryan Manning,IRL,"DF,MF",28,16.2,0,8,1,12.5,0.49,0.06,0.0,0.0,22.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3
Lesley Ugochukwu,FRA,MF,21,17.4,1,10,1,10.0,0.57,0.06,0.1,1.0,17.0,0,0,0,0.9,0.9,0.09,0.1,0.1
Jack Stephens,ENG,DF,31,14.4,1,4,2,50.0,0.28,0.14,0.25,0.5,11.0,0,0,0,0.6,0.6,0.14,0.4,0.4
Yukinari Sugawara,JPN,"DF,MF",24,16.3,1,13,5,38.5,0.8,0.31,0.08,0.2,19.2,1,0,0,0.5,0.5,0.04,0.5,0.5
Kamaldeen Sulemana,GHA,"FW,MF",23,14.1,1,27,8,29.6,1.92,0.57,0.04,0.13,18.8,0,0,0,1.4,1.4,0.05,-0.4,-0.4
