player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Bruno Fernandes,POR,MF,29,33.5,8,93,26,28.0,2.77,0.78,0.05,0.19,22.6,12,3,3,9.9,7.6,0.08,-1.9,-2.6
André Onana,CMR,GK,28,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Noussair Mazraoui,MAR,DF,26,31.5,0,13,3,23.1,0.41,0.1,0.0,0.0,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Diogo Dalot,POR,DF,25,31.3,0,25,5,20.0,0.8,0.16,0.0,0.0,16.1,0,0,0,2.0,2.0,0.08,-2.0,-2.0
Matthijs de Ligt,NED,DF,24,23.6,2,18,9,50.0,0.76,0.38,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5
Alejandro Garnacho,ARG,"MF,FW",20,24.4,6,84,29,34.5,3.44,1.19,0.07,0.21,17.0,0,0,0,7.3,7.3,0.09,-1.3,-1.3
Rasmus Højlund,DEN,FW,21,22.3,4,32,13,40.6,1.44,0.58,0.13,0.31,12.9,0,0,0,5.3,5.3,0.16,-1.3,-1.3
Manuel Ugarte Ribeiro,URU,MF,23,19.8,1,19,4,21.1,0.96,0.2,0.05,0.25,21.7,0,0,0,1.0,1.0,0.05,0.0,0.0
Amad Diallo,CIV,"MF,FW",22,21.1,8,47,17,36.2,2.23,0.8,0.17,0.47,17.5,0,0,0,4.7,4.7,0.1,3.3,3.3
Lisandro Martínez,ARG,DF,26,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7
Harry Maguire,ENG,DF,31,19.5,1,15,6,40.0,0.77,0.31,0.07,0.17,8.2,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Kobbie Mainoo,ENG,MF,19,18.3,0,15,2,13.3,0.82,0.11,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Casemiro,BRA,MF,32,16.6,1,32,10,31.3,1.93,0.6,0.03,0.1,19.5,0,0,0,1.9,1.9,0.06,-0.9,-0.9
Joshua Zirkzee,NED,"FW,MF",23,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8
Leny Yoro,FRA,DF,18,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7
Marcus Rashford,ENG,"FW,MF",26,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3
Christian Eriksen,DEN,MF,32,11.8,1,14,1,7.1,1.19,0.08,0.0,0.0,25.8,3,1,1,1.4,0.6,0.04,-0.4,-0.6
Patrick Dorgu,DEN,DF,19,9.4,0,10,2,20.0,1.07,0.21,0.0,0.0,16.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Mason Mount,ENG,MF,25,6.9,1,20,9,45.0,2.89,1.3,0.05,0.11,15.0,0,0,0,3.2,3.2,0.17,-2.2,-2.2
Victor Lindelöf,SWE,DF,30,7.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Altay Bayındır,TUR,GK,26,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luke Shaw,ENG,DF,29,3.9,0,1,0,0.0,0.26,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Harry Amass,ENG,DF,17,3.8,0,3,0,0.0,0.78,0.0,0.0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Jonny Evans,NIR,DF,36,3.5,0,2,1,50.0,0.57,0.29,0.0,0.0,11.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ayden Heaven,ENG,DF,17,1.9,0,2,0,0.0,1.06,0.0,0.0,,15.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Tyler Fredricson,ENG,DF,19,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tyrell Malacia,NED,DF,24,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Chidozie Obi-Martin,DEN,FW,16,1.8,0,5,1,20.0,2.73,0.55,0.0,0.0,10.7,0,0,0,0.7,0.7,0.13,-0.7,-0.7
Toby Collyer,ENG,MF,20,2.0,0,1,0,0.0,0.5,0.0,0.0,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Antony,BRA,"DF,MF",24,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0
Scott McTominay,SCO,MF,27,0.2,0,1,0,0.0,4.74,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Squad Total,,,25,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.1,-10.6,-11.4
Opponent Total,,,26,38.0,52,411,145,35.3,10.82,3.82,0.12,0.34,16.5,14,3,4,53.8,50.8,0.13,-1.8,-1.8
