player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Bernd Leno,GER,GK,32,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonee Robinson,USA,DF,26,35.2,0,16,2,12.5,0.45,0.06,0.0,0.0,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7
Alex Iwobi,NGA,"FW,MF",28,33.1,9,68,29,42.6,2.05,0.88,0.13,0.31,18.3,0,0,0,4.7,4.7,0.07,4.3,4.3
Calvin Bassey,NGA,DF,24,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0
Raúl Jiménez,MEX,FW,33,27.7,12,93,30,32.3,3.36,1.08,0.1,0.3,14.5,1,3,3,12.0,9.6,0.1,0.0,-0.6
Joachim Andersen,DEN,DF,28,28.7,0,19,4,21.1,0.66,0.14,0.0,0.0,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0
Saša Lukić,SRB,MF,27,26.0,0,18,2,11.1,0.69,0.08,0.0,0.0,20.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Sander Berge,NOR,MF,26,24.7,0,3,1,33.3,0.12,0.04,0.0,0.0,8.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4
Emile Smith Rowe,ENG,MF,24,22.7,6,37,11,29.7,1.63,0.48,0.16,0.55,16.0,0,0,0,4.5,4.5,0.12,1.5,1.5
Andreas Pereira,BRA,MF,28,22.4,2,38,8,21.1,1.7,0.36,0.05,0.25,21.8,6,0,1,3.8,3.0,0.08,-1.8,-1.0
Kenny Tete,NED,DF,28,19.7,0,24,2,8.3,1.22,0.1,0.0,0.0,15.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4
Adama Traoré,ESP,"FW,MF",28,19.7,2,39,12,30.8,1.98,0.61,0.05,0.17,14.2,0,0,0,4.0,4.0,0.1,-2.0,-2.0
Timothy Castagne,BEL,DF,28,18.3,0,8,3,37.5,0.44,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Issa Diop,FRA,DF,27,14.9,0,5,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Harry Wilson,WAL,"FW,MF",27,12.9,6,43,17,39.5,3.33,1.32,0.14,0.35,18.0,1,0,0,4.2,4.2,0.1,1.8,1.8
Rodrigo Muniz,BRA,FW,23,10.7,8,39,19,48.7,3.64,1.77,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,2.2,2.2
Ryan Sessegnon,ENG,"FW,DF",24,6.4,4,14,8,57.1,2.17,1.24,0.29,0.5,12.8,0,0,0,1.6,1.6,0.12,2.4,2.4
Reiss Nelson,ENG,FW,24,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
Jorge Cuenca,ESP,DF,24,3.9,0,1,0,0.0,0.26,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Tom Cairney,SCO,MF,33,7.0,2,11,4,36.4,1.58,0.57,0.18,0.5,20.4,2,0,0,0.8,0.8,0.07,1.2,1.2
Willian,BRA,"FW,MF",35,2.9,0,7,0,0.0,2.45,0.0,0.0,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Joshua King,ENG,MF,17,1.4,0,3,0,0.0,2.08,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3
Harrison Reed,ENG,MF,29,1.2,0,3,2,66.7,2.5,1.67,0.0,0.0,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Martial Godo,ENG,"FW,DF",21,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Vinícius,BRA,"MF,FW",29,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Jay Stansfield,ENG,MF,21,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,28,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1
Opponent Total,,,26,38.0,52,429,155,36.1,11.29,4.08,0.11,0.32,16.2,17,3,4,47.2,44.1,0.11,4.8,4.9
