player,nation,position,age,90s_played,goals,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff
Guimarães,BRA,MF,27,34.3,5,42,11,26.2,1.22,0.32,0.12,0.45,16.3,0,0,0,4.0,4.0,0.09,1.0,1.0
Burn,ENG,DF,33,35.0,1,22,6,27.3,0.63,0.17,0.05,0.17,9.9,0,0,0,1.8,1.8,0.08,-0.8,-0.8
Isak,SWE,FW,25,29.6,23,92,39,42.4,3.11,1.32,0.21,0.49,14.5,3,4,4,20.2,17.1,0.19,2.8,1.9
Schär,SUI,DF,33,30.6,4,31,10,32.3,1.01,0.33,0.13,0.4,21.2,4,0,0,2.4,2.4,0.08,1.6,1.6
Livramento,ENG,DF,22,29.6,0,5,1,20.0,0.17,0.03,0.0,0.0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Joelinton,BRA,"MF,FW",28,26.6,4,45,13,28.9,1.69,0.49,0.09,0.31,14.0,0,0,0,3.9,3.9,0.09,0.1,0.1
Murphy,ENG,FW,30,24.8,8,43,15,34.9,1.74,0.61,0.19,0.53,18.2,0,0,0,5.7,5.7,0.13,2.3,2.3
Tonali,ITA,MF,25,27.2,4,33,11,33.3,1.21,0.4,0.12,0.36,19.1,3,0,0,4.3,4.3,0.13,-0.3,-0.3
Pope,ENG,GK,33,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Gordon,ENG,FW,24,25.5,6,56,16,28.6,2.19,0.63,0.09,0.31,16.8,1,1,2,8.0,6.4,0.11,-2.0,-1.4
Hall,ENG,DF,20,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Barnes,ENG,FW,27,17.7,9,59,19,32.2,3.33,1.07,0.15,0.47,14.8,0,0,0,6.9,6.9,0.12,2.1,2.1
Trippier,ENG,DF,34,14.2,0,3,0,0.0,0.21,0.0,0.0,,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Willock,ENG,"MF,FW",25,11.4,0,17,3,17.6,1.49,0.26,0.0,0.0,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6
Dúbravka,SVK,GK,36,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Longstaff,ENG,MF,27,8.9,0,6,1,16.7,0.68,0.11,0.0,0.0,13.5,0,0,0,0.6,0.6,0.1,-0.6,-0.6
Kelly,ENG,DF,26,3.4,0,3,0,0.0,0.89,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Botman,NED,DF,25,3.2,0,1,0,0.0,0.31,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.03,0.0,0.0
Krafth,SWE,DF,30,3.5,0,1,0,0.0,0.29,0.0,0.0,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Wilson,ENG,FW,33,3.2,0,6,1,16.7,1.89,0.31,0.0,0.0,15.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Miley,ENG,MF,19,3.2,1,3,2,66.7,0.95,0.63,0.33,0.5,14.6,0,0,0,0.5,0.5,0.18,0.5,0.5
Almirón,PAR,FW,31,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Osula,DEN,FW,21,1.2,1,3,1,33.3,2.6,0.87,0.33,1.0,14.5,0,0,0,0.1,0.1,0.04,0.9,0.9
Targett,ENG,DF,29,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
