Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Onana,CMR,GK,29-042,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fernandes,POR,MF,30-248,31.6,8,87,25,28.7,2.75,0.79,0.06,0.2,22.5,12,3,3,9.6,7.2,0.08,-1.6,-2.2
Mazraoui,MAR,DF,27-181,30.3,0,13,3,23.1,0.43,0.1,0.0,0.0,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Dalot,POR,DF,26-057,31.0,0,23,5,21.7,0.74,0.16,0.0,0.0,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0
Matthijs de Ligt,NED,DF,25-275,23.6,2,18,9,50.0,0.76,0.38,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5
Garnacho,ARG,"MF,FW",20-317,24.2,6,84,29,34.5,3.47,1.2,0.07,0.21,17.0,0,0,0,7.3,7.3,0.09,-1.3,-1.3
Manuel Ugarte Ribeiro,URU,MF,24-033,19.6,1,19,4,21.1,0.97,0.2,0.05,0.25,21.7,0,0,0,1.0,1.0,0.05,0.0,0.0
Højlund,DEN,FW,22-099,20.4,4,31,12,38.7,1.52,0.59,0.13,0.33,12.9,0,0,0,5.2,5.2,0.17,-1.2,-1.2
Martínez,ARG,DF,27-116,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7
Mainoo,ENG,MF,20-025,17.7,0,15,2,13.3,0.85,0.11,0.0,0.0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Diallo,CIV,"FW,MF",22-307,19.1,7,44,15,34.1,2.3,0.78,0.16,0.47,18.0,0,0,0,4.2,4.2,0.1,2.8,2.8
Maguire,ENG,DF,32-070,17.5,1,15,6,40.0,0.86,0.34,0.07,0.17,8.2,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Casemiro,BRA,MF,33-080,14.8,1,28,8,28.6,1.89,0.54,0.04,0.13,18.8,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Zirkzee,NED,"FW,MF",23-357,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8
Yoro,FRA,DF,19-182,12.9,0,5,1,20.0,0.39,0.08,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7
Rashford,ENG,"FW,MF",27-195,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3
Eriksen,DEN,MF,33-089,11.5,0,12,1,8.3,1.04,0.09,0.0,0.0,24.5,2,0,0,0.4,0.4,0.04,-0.4,-0.4
Dorgu,DEN,DF,20-200,7.4,0,9,2,22.2,1.22,0.27,0.0,0.0,16.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Mount,ENG,MF,26-124,5.4,1,14,6,42.9,2.58,1.11,0.07,0.17,15.4,0,0,0,2.3,2.3,0.17,-1.3,-1.3
Lindelöf,SWE,DF,30-301,5.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Amass,ENG,DF,18-059,3.8,0,3,0,0.0,0.78,0.0,0.0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Evans,NIR,DF,37-131,3.2,0,1,0,0.0,0.31,0.0,0.0,,8.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Bayındır,TUR,GK,27-030,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Shaw,ENG,DF,29-306,3.0,0,1,0,0.0,0.33,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Fredricson,ENG,DF,20-080,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Malacia,NED,DF,25-270,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Obi-Martin,DEN,FW,17-166,1.7,0,4,1,25.0,2.32,0.58,0.0,0.0,10.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6
Heaven,ENG,DF,18-234,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Collyer,ENG,MF,21-131,2.0,0,1,0,0.0,0.5,0.0,0.0,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Antony,BRA,"DF,MF",25-079,1.6,0,6,3,50.0,3.83,1.91,0.0,0.0,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0
McTominay,SCO,MF,28-157,0.2,0,1,0,0.0,4.74,0.0,0.0,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
