Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Moisés Caicedo,ec ECU,"MF,DF",23-192,35.2,1,19,3,15.8,0.54,0.09,0.05,0.33,25.3,0,0,0,0.8,0.8,0.04,0.2,0.2,Matches
Cole Palmer,eng ENG,MF,23-007,33.5,15,118,42,35.6,3.53,1.26,0.09,0.26,20.3,12,4,5,17.2,13.2,0.11,-2.2,-2.2,Matches
Levi Colwill,eng ENG,DF,22-076,33.0,1,16,3,18.8,0.49,0.09,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Marc Cucurella,es ESP,DF,26-295,31.2,4,23,10,43.5,0.74,0.32,0.17,0.4,16.4,0,0,0,2.6,2.6,0.11,1.4,1.4,Matches
Enzo Fernández,ar ARG,MF,24-116,30.7,6,52,20,38.5,1.69,0.65,0.12,0.3,18.1,2,0,0,6.1,6.1,0.12,-0.1,-0.1,Matches
Robert Sánchez,es ESP,GK,27-176,30.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nicolas Jackson,sn SEN,FW,23-327,24.7,10,76,34,44.7,3.08,1.38,0.13,0.29,12.9,0,0,0,12.3,12.3,0.16,-2.3,-2.3,Matches
Noni Madueke,eng ENG,FW,23-064,20.6,7,77,30,39.0,3.73,1.45,0.09,0.23,14.4,0,0,0,9.1,9.1,0.12,-2.1,-2.1,Matches
Pedro Neto,pt POR,FW,25-065,23.4,4,56,16,28.6,2.4,0.68,0.07,0.25,18.5,0,0,0,3.1,3.1,0.06,0.9,0.9,Matches
Malo Gusto,fr FRA,DF,21-359,20.5,0,22,4,18.2,1.07,0.19,0.0,0.0,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
Jadon Sancho,eng ENG,FW,25-049,18.9,3,24,8,33.3,1.27,0.42,0.13,0.38,15.1,0,0,0,2.2,2.2,0.09,0.8,0.8,Matches
Wesley Fofana,fr FRA,DF,24-147,13.0,0,3,0,0.0,0.23,0.0,0.0,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Tosin Adarabioyo,eng ENG,DF,27-231,13.7,1,12,2,16.7,0.88,0.15,0.08,0.5,12.5,0,0,0,0.9,0.9,0.08,0.1,0.1,Matches
Trevoh Chalobah,eng ENG,DF,25-312,10.1,0,7,2,28.6,0.69,0.2,0.0,0.0,11.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
Roméo Lavia,be BEL,MF,21-127,8.4,0,1,0,0.0,0.12,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
Reece James,eng ENG,"DF,MF",25-156,9.8,1,9,3,33.3,0.92,0.31,0.11,0.33,21.8,2,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Christopher Nkunku,fr FRA,FW,27-180,10.2,3,25,11,44.0,2.44,1.07,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
Filip Jørgensen,dk DEN,GK,23-027,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Axel Disasi,fr FRA,DF,27-063,4.0,1,2,1,50.0,0.49,0.25,0.5,1.0,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
