Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Unnamed: 22_level_0 Matches
Rayan Aït-Nouri,dz ALG,DF,23-341,32.8,4,35,9,25.7,1.07,0.27,0.11,0.44,15.0,0,0,0,2.6,2.6,0.08,1.4,1.4,Matches
João Gomes,br BRA,MF,24-090,31.5,3,33,7,21.2,1.05,0.22,0.09,0.43,18.1,0,0,0,2.7,2.7,0.08,0.3,0.3,Matches
Nélson Semedo,pt POR,DF,31-178,30.6,0,16,6,37.5,0.52,0.2,0.0,0.0,23.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Jørgen Strand Larsen,no NOR,FW,25-096,27.7,13,53,32,60.4,1.91,1.15,0.25,0.41,11.4,0,0,0,10.0,10.0,0.19,3.0,3.0,Matches
André,br BRA,MF,23-301,26.0,0,9,1,11.1,0.35,0.04,0.0,0.0,25.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
José Sá,pt POR,GK,32-116,28.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matheus Cunha,br BRA,"MF,FW",25-351,27.6,15,99,41,41.4,3.59,1.49,0.15,0.37,20.7,12,0,0,8.0,8.0,0.08,7.0,7.0,Matches
Toti Gomes,pt POR,DF,26-117,27.0,0,7,2,28.6,0.26,0.07,0.0,0.0,11.6,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches
Matt Doherty,ie IRL,DF,33-117,22.5,2,10,3,30.0,0.45,0.13,0.2,0.67,11.4,0,0,0,1.0,1.0,0.1,1.0,1.0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",26-320,17.6,2,21,5,23.8,1.19,0.28,0.1,0.4,21.5,2,0,0,1.4,1.4,0.07,0.6,0.6,Matches
Santiago Bueno,uy URU,DF,26-185,18.7,0,6,3,50.0,0.32,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
