Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 19_level_0 Ast,Unnamed: 20_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 23_level_0 KP,Unnamed: 24_level_0 1/3,Unnamed: 25_level_0 PPA,Unnamed: 26_level_0 CrsPA,Unnamed: 27_level_0 PrgP,Unnamed: 28_level_0 Matches
John Stones,eng ENG,"DF,MF",30-350,6.1,367,403,91.1,6382,1601,169,179,94.4,161,174,92.5,31,40,77.5,0,0.1,0.2,-0.1,2,42,0,0,21,Matches
Nico O’Reilly,eng ENG,DF,20-053,5.9,305,353,86.4,4042,780,209,226,92.5,88,109,80.7,3,7,42.9,0,0.4,0.7,-0.4,4,28,1,1,17,Matches
Abdukodir Khusanov,uz UZB,DF,21-073,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches
James Mcatee,eng ENG,"MF,FW",22-207,3.9,100,125,80.0,1491,254,57,65,87.7,40,45,88.9,3,9,33.3,0,0.5,0.8,-0.5,3,7,2,0,7,Matches
Jahmai Simpson-Pusey,eng ENG,DF,19-190,1.1,107,115,93.0,1754,549,47,49,95.9,57,59,96.6,3,7,42.9,0,0.0,0.0,0.0,0,3,0,0,3,Matches
Rodri,es ESP,MF,28-325,0.7,57,61,93.4,1056,250,25,26,96.2,24,27,88.9,7,7,100.0,0,0.0,0.1,0.0,1,3,1,0,4,Matches
Divin Mubama,eng ENG,FW,20-200,0.3,2,3,66.7,44,18,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Oscar Bobb,no NOR,FW,21-305,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
Vitor Reis,br BRA,DF,19-121,0.0,2,2,100.0,50,10,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.6,36.0,20512,23264,88.2,333032,93264,10549,11364,92.8,8483,9257,91.6,1203,1918,62.7,48,51.1,51.2,-3.1,450,1610,419,61,1847,
Opponent Total,,,27.0,36.0,11868,14500,81.8,206809,72388,5562,6125,90.8,4942,5549,89.1,1097,2106,52.1,32,35.8,28.2,-3.8,265,728,229,69,851,
