Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Caicedo,ECU,"MF,DF",23,35.2,1889,2103,89.8,32552,8601,855,924,92.5,843,911,92.5,155,200,77.5,2,3.0,2.7,-1.0,30,226,31,2,204
Palmer,ENG,MF,23,33.5,1083,1406,77.0,20660,5418,446,519,85.9,444,524,84.7,168,279,60.2,8,10.0,8.5,-2.0,83,156,62,17,203
Colwill,ENG,DF,22,33.0,2252,2516,89.5,41036,14422,775,835,92.8,1313,1378,95.3,138,243,56.8,1,1.1,1.2,-0.1,14,144,7,3,126
Cucurella,ESP,DF,26,31.2,1612,1834,87.9,25457,7268,806,859,93.8,709,788,90.0,67,118,56.8,1,2.1,2.4,-1.1,19,116,12,3,113
Fernández,ARG,MF,24,30.7,1468,1830,80.2,26029,7308,671,754,89.0,609,714,85.3,155,267,58.1,7,6.7,6.2,0.3,76,161,41,7,207
Sánchez,ESP,GK,27,30.0,840,1184,70.9,20302,13560,201,202,99.5,441,457,96.5,195,513,38.0,0,0.1,0.0,-0.1,2,26,1,0,1
Jackson,SEN,FW,23,24.7,303,399,75.9,4088,884,182,223,81.6,92,118,78.0,9,15,60.0,5,4.3,1.9,0.7,28,22,10,1,38
Madueke,ENG,FW,23,20.6,482,621,77.6,7105,1740,292,340,85.9,151,197,76.6,22,39,56.4,3,4.2,3.0,-1.2,31,13,34,8,66
Neto,POR,FW,25,23.4,663,842,78.7,10830,2302,324,348,93.1,253,309,81.9,59,121,48.8,5,6.1,4.7,-1.1,44,30,37,23,59
Gusto,FRA,DF,21,20.5,1194,1379,86.6,19493,4889,582,624,93.3,516,583,88.5,68,112,60.7,1,1.4,1.9,-0.4,22,111,19,7,119
Sancho,ENG,FW,25,18.9,643,779,82.5,8710,2053,401,450,89.1,205,244,84.0,14,27,51.9,4,3.7,3.1,0.3,37,26,48,0,88
Fofana,FRA,DF,24,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32
Adarabioyo,ENG,DF,27,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,0.8,1,53,1,0,37
Chalobah,ENG,DF,25,10.1,609,677,90.0,10527,3326,267,281,95.0,300,314,95.5,38,72,52.8,1,1.2,0.3,-0.2,3,42,3,0,37
Lavia,BEL,MF,21,8.4,381,414,92.0,6425,1666,175,191,91.6,180,189,95.2,21,25,84.0,1,0.7,0.4,0.3,7,49,3,0,31
James,ENG,"DF,MF",25,9.8,609,723,84.2,10884,3682,287,304,94.4,259,292,88.7,54,105,51.4,0,0.5,0.9,-0.5,10,76,5,1,55
Nkunku,FRA,FW,27,10.2,299,334,89.5,3928,760,185,202,91.6,95,103,92.2,6,6,100.0,2,2.1,1.0,-0.1,14,26,7,0,25
Jørgensen,DEN,GK,23,6.0,158,189,83.6,2843,1649,64,64,100.0,79,81,97.5,11,40,27.5,0,0.0,0.0,0.0,0,1,0,0,0
Disasi,FRA,DF,27,4.0,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16
Félix,POR,"FW,MF",25,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26
Badiashile,FRA,DF,24,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17
Dewsbury-Hall,ENG,"MF,FW",26,2.9,127,152,83.6,1898,319,75,82,91.5,47,56,83.9,5,10,50.0,1,1.1,0.2,-0.1,3,12,3,0,14
Acheampong,ENG,DF,19,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8
Veiga,POR,"DF,MF",21,2.0,118,139,84.9,2171,435,45,51,88.2,55,61,90.2,13,21,61.9,0,0.0,0.2,0.0,0,6,1,0,7
Mudryk,UKR,FW,24,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5
George,ENG,FW,19,1.1,38,46,82.6,494,72,21,23,91.3,14,17,82.4,0,2,0.0,1,0.7,0.3,0.3,5,0,1,0,2
Guiu,ESP,FW,19,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Amougou,FRA,MF,19,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Mheuka,ENG,MF,17,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
