Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 19_level_0 Ast,Unnamed: 20_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 23_level_0 KP,Unnamed: 24_level_0 1/3,Unnamed: 25_level_0 PPA,Unnamed: 26_level_0 CrsPA,Unnamed: 27_level_0 PrgP,Unnamed: 28_level_0 Matches
Bart Verbruggen,nl NED,GK,22-268,34.0,959,1251,76.7,22816,15439,271,273,99.3,452,460,98.3,231,506,45.7,1,0.0,0.0,1.0,1,19,1,0,2,Matches
Jan Paul van Hecke,nl NED,DF,24-339,30.9,1887,2147,87.9,36953,14203,666,713,93.4,997,1074,92.8,209,321,65.1,1,1.5,1.4,-0.5,13,209,16,4,217,Matches
Carlos Baleba,cm CMR,MF,21-130,27.6,1081,1238,87.3,18221,4623,516,556,92.8,452,493,91.7,91,144,63.2,1,1.3,1.2,-0.3,20,105,23,3,114,Matches
Kaoru Mitoma,jp JPN,"FW,MF",27-358,28.1,709,940,75.4,9223,2121,476,547,87.0,179,254,70.5,22,50,44.0,3,4.4,3.7,-1.4,35,36,32,8,82,Matches
Pervis Estupiñán,ec ECU,DF,27-112,25.7,1288,1547,83.3,19639,5944,757,809,93.6,431,516,83.5,73,154,47.4,1,2.1,2.3,-1.1,24,99,32,18,121,Matches
Lewis Dunk,eng ENG,DF,33-173,23.1,1778,1953,91.0,32940,10612,668,693,96.4,954,1002,95.2,143,228,62.7,0,0.5,1.0,-0.5,6,157,6,0,142,Matches
Danny Welbeck,eng ENG,FW,34-168,22.6,398,469,84.9,4713,926,265,304,87.2,90,102,88.2,9,10,90.0,4,1.3,1.3,2.7,20,17,13,0,45,Matches
João Pedro,br BRA,"FW,MF",23-229,21.6,482,661,72.9,6847,1766,300,381,78.7,133,177,75.1,29,44,65.9,6,5.0,3.1,1.0,30,42,36,5,78,Matches
Jack Hinshelwood,eng ENG,"DF,MF",20-032,19.4,831,997,83.4,12595,2961,489,536,91.2,266,316,84.2,55,104,52.9,2,1.3,1.5,0.7,15,33,9,2,63,Matches
Yasin Ayari,se SWE,MF,21-219,20.5,745,915,81.4,11166,3055,441,482,91.5,251,297,84.5,36,92,39.1,1,2.2,2.3,-1.2,28,55,17,4,72,Matches
Joël Veltman,nl NED,DF,33-118,18.5,719,900,79.9,12118,3171,355,395,89.9,292,363,80.4,62,98,63.3,0,0.5,1.3,-0.5,6,62,8,5,80,Matches
Georginio Rutter,fr FRA,"MF,FW",23-023,18.4,237,355,66.8,3344,1174,144,187,77.0,74,111,66.7,10,16,62.5,3,2.5,1.7,0.5,19,30,16,1,67,Matches
Yankuba Minteh,gm GAM,"FW,MF",20-295,18.5,310,497,62.4,5002,1684,177,226,78.3,97,156,62.2,29,62,46.8,4,4.9,4.7,-0.9,27,13,31,8,42,Matches
Matt O'Riley,dk DEN,MF,24-173,10.1,301,394,76.4,4775,1293,153,174,87.9,103,126,81.7,29,62,46.8,1,1.7,1.5,-0.7,19,30,8,1,36,Matches
Simon Adingra,ci CIV,"FW,MF",23-132,11.0,264,347,76.1,3813,744,166,191,86.9,77,104,74.0,15,27,55.6,2,2.3,2.4,-0.3,14,5,13,5,15,Matches
Tariq Lamptey,gh GHA,DF,24-225,9.6,335,413,81.1,5168,1326,185,199,93.0,128,162,79.0,19,40,47.5,2,0.8,0.8,1.2,5,12,6,5,14,Matches
Igor,br BRA,DF,27-095,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,Matches
