Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Henderson,ENG,GK,28,36.0,712,1152,61.8,19575,12987,167,168,99.4,341,343,99.4,200,636,31.4,0,0.1,0.1,-0.1,2,22,1,0,0
Mitchell,ENG,DF,25,33.4,948,1316,72.0,15266,5732,495,585,84.6,373,499,74.7,59,142,41.5,4,5.8,3.7,-1.8,40,47,33,16,66
Muñoz,COL,DF,28,33.9,1087,1436,75.7,16578,5004,614,720,85.3,407,525,77.5,46,104,44.2,5,5.4,3.4,-0.4,44,56,35,15,93
Guéhi,ENG,DF,24,34.0,1474,1765,83.5,28114,11524,547,603,90.7,762,855,89.1,152,274,55.5,2,1.7,2.0,0.3,16,133,11,3,134
Lacroix,FRA,DF,25,32.6,1160,1419,81.7,23883,9289,301,354,85.0,723,796,90.8,130,238,54.6,1,0.8,1.0,0.2,7,69,3,1,63
Mateta,FRA,FW,27,28.6,282,434,65.0,3770,993,170,224,75.9,82,129,63.6,7,23,30.4,2,3.2,2.2,-1.2,29,33,16,2,51
Eze,ENG,"MF,FW",26,28.0,759,1018,74.6,12996,3500,366,433,84.5,297,355,83.7,76,167,45.5,8,5.3,4.0,2.7,55,49,36,4,94
Sarr,SEN,MF,27,28.4,470,708,66.4,6987,2119,251,339,74.0,177,248,71.4,22,47,46.8,5,7.8,6.4,-2.8,42,28,39,9,81
Lerma,COL,"MF,DF",30,23.3,799,1057,75.6,14015,4875,375,432,86.8,326,401,81.3,79,168,47.0,1,1.5,1.7,-0.5,10,86,18,2,94
Hughes,ENG,MF,30,22.1,707,929,76.1,11175,3885,361,408,88.5,274,332,82.5,46,126,36.5,3,3.1,2.6,-0.1,32,72,15,3,85
Richards,USA,DF,25,19.4,645,808,79.8,11498,4035,260,295,88.1,323,364,88.7,51,113,45.1,0,0.1,0.6,-0.1,2,22,1,1,37
Wharton,ENG,MF,20,14.6,548,725,75.6,10271,3780,208,252,82.5,258,322,80.1,70,107,65.4,2,3.0,2.2,-1.0,26,78,18,5,107
Kamada,JPN,MF,28,16.2,560,700,80.0,9038,2353,297,336,88.4,220,267,82.4,32,54,59.3,0,1.9,1.5,-1.9,20,45,13,2,83
Chalobah,ENG,DF,25,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34
Nketiah,ENG,"FW,MF",25,10.3,167,226,73.9,2503,511,89,113,78.8,56,69,81.2,12,18,66.7,1,1.6,0.8,-0.6,12,11,4,0,17
Clyne,ENG,"DF,MF",34,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7
Doucouré,MLI,MF,25,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19
Devenny,NIR,MF,21,4.8,127,177,71.8,2006,566,70,86,81.4,42,60,70.0,9,22,40.9,0,0.4,0.4,-0.4,6,15,4,1,17
Édouard,FRA,"MF,FW",27,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4
Andersen,DEN,DF,28,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4
Riad,MAR,DF,21,1.0,70,82,85.4,1411,568,24,28,85.7,38,41,92.7,8,13,61.5,0,0.0,0.0,0.0,0,8,1,0,7
Chilwell,ENG,DF,28,1.9,62,89,69.7,909,238,37,42,88.1,20,29,69.0,3,12,25.0,0,0.7,0.8,-0.7,3,4,3,0,6
Schlupp,GHA,"MF,DF",32,1.1,39,50,78.0,591,144,16,19,84.2,18,23,78.3,2,4,50.0,0,0.2,0.1,-0.2,3,4,2,0,5
Esse,ENG,MF,20,0.5,18,22,81.8,262,87,11,12,91.7,6,6,100.0,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,3
França,BRA,"FW,MF",21,0.3,4,8,50.0,69,35,2,3,66.7,2,4,50.0,0,0,,0,0.0,0.2,0.0,0,1,0,0,2
Ayew,GHA,"FW,MF",33,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
Kporha,ENG,DF,18,0.1,5,7,71.4,72,21,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0
Agbinone,ENG,MF,19,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Ward,ENG,DF,35,0.0,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
