Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Vardy,ENG,FW,38-123,30.5,255,382,66.8,3720,410,139,187,74.3,85,112,75.9,15,22,68.2,4,3.0,2.6,1.0,19,10,10,1,21,Matches
Justin,ENG,DF,27-080,30.7,1135,1452,78.2,17623,5494,586,674,86.9,470,554,84.8,47,131,35.9,1,0.6,0.7,0.4,13,74,22,8,87,Matches
Faes,BEL,DF,27-041,29.3,1292,1472,87.8,23959,8473,497,529,94.0,686,721,95.1,105,195,53.8,0,0.1,0.4,-0.1,4,82,6,0,83,Matches
Victor Bernth Kristiansen,DEN,DF,22-149,26.6,1011,1302,77.6,16236,5818,514,573,89.7,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,75,23,18,69,Matches
Hermansen,DEN,GK,24-307,26.5,654,1073,61.0,17066,12387,151,155,97.4,312,329,94.8,191,584,32.7,0,0.0,0.0,0.0,0,20,1,0,1,Matches
Ndidi,NGA,MF,28-149,24.9,805,1005,80.1,11569,2961,441,507,87.0,272,333,81.7,37,69,53.6,4,1.9,1.5,2.1,16,66,10,3,67,Matches
Bilal El Khannouss,MAR,MF,21-004,23.2,757,1013,74.7,13574,3859,353,412,85.7,295,367,80.4,92,160,57.5,3,4.3,3.0,-1.3,38,85,29,6,122,Matches
Soumaré,FRA,MF,26-076,22.1,998,1151,86.7,15170,4089,542,589,92.0,388,443,87.6,39,56,69.6,0,0.4,0.9,-0.4,11,91,14,2,100,Matches
Winks,ENG,MF,29-101,17.1,910,1045,87.1,14101,5048,471,511,92.2,362,397,91.2,44,76,57.9,2,1.2,1.5,0.8,17,110,7,5,101,Matches
Coady,ENG,DF,32-078,17.0,869,958,90.7,15135,5599,362,375,96.5,451,467,96.6,52,98,53.1,0,0.1,0.5,-0.1,1,32,2,0,30,Matches
Ayew,GHA,"FW,MF",33-245,16.5,367,498,73.7,5472,1105,201,231,87.0,128,172,74.4,22,55,40.0,0,1.0,1.4,-1.0,15,22,13,7,39,Matches
Mavididi,ENG,FW,26-348,17.9,460,613,75.0,6191,1429,286,314,91.1,124,184,67.4,18,43,41.9,1,2.6,3.3,-1.6,22,32,26,7,57,Matches
Vestergaard,DEN,DF,32-284,15.5,870,959,90.7,14697,5807,397,418,95.0,416,444,93.7,48,81,59.3,0,0.1,0.1,-0.1,3,34,1,0,32,Matches
Buonanotte,ARG,"FW,MF",20-142,16.7,435,570,76.3,6874,1757,236,276,85.5,148,180,82.2,35,74,47.3,2,3.1,2.3,-1.1,24,41,13,2,54,Matches
Okoli,ITA,DF,23-305,12.5,559,648,86.3,9749,3849,243,266,91.4,273,301,90.7,36,65,55.4,0,0.0,0.2,0.0,0,21,1,0,32,Matches
Thomas,ENG,DF,23-338,10.5,442,560,78.9,7134,2336,231,250,92.4,175,215,81.4,31,72,43.1,0,0.4,0.5,-0.4,8,28,3,1,33,Matches
Skipp,ENG,MF,24-240,11.7,408,481,84.8,6246,1532,208,236,88.1,160,172,93.0,20,34,58.8,0,0.3,0.3,-0.3,9,30,4,0,34,Matches
Bobby De Cordova-Reid,JAM,FW,32-101,8.3,145,206,70.4,1883,587,88,108,81.5,39,53,73.6,5,15,33.3,2,1.2,0.2,0.8,6,9,5,0,15,Matches
Stolarczyk,POL,GK,24-146,8.0,199,298,66.8,5210,3874,63,63,100.0,71,72,98.6,64,162,39.5,0,0.0,0.0,0.0,0,2,0,0,1,Matches
McAteer,IRL,"FW,MF",23-173,7.6,155,215,72.1,2150,504,101,120,84.2,43,59,72.9,6,12,50.0,1,0.7,0.4,0.3,9,10,6,2,11,Matches
Abdul Fatawu Issahaku,GHA,FW,21-067,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,0.4,6,7,7,2,17,Matches
Daka,ZAM,"FW,MF",26-217,7.3,101,141,71.6,1400,254,61,76,80.3,31,43,72.1,3,3,100.0,0,0.1,0.1,-0.1,1,6,1,0,8,Matches
Pereira,POR,DF,31-220,3.8,178,216,82.4,2899,821,85,98,86.7,77,92,83.7,12,14,85.7,0,0.0,0.1,0.0,0,18,0,0,14,Matches
Ward,WAL,GK,31-326,1.5,41,53,77.4,1162,949,6,6,100.0,20,20,100.0,15,27,55.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Choudhury,BAN,"MF,DF",27-225,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches
Coulibaly,FRA,DF,25-359,1.2,48,57,84.2,797,314,28,34,82.4,16,19,84.2,4,4,100.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
