Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Leno,GER,GK,33-071,36.0,1093,1338,81.7,26627,15948,213,214,99.5,655,663,98.8,213,447,47.7,1,0.1,0.1,0.9,2,16,2,0,0
Iwobi,NGA,"FW,MF",29-011,32.1,1109,1482,74.8,18912,5516,556,644,86.3,436,559,78.0,96,179,53.6,6,7.0,6.9,-1.0,59,110,84,19,206
Robinson,USA,DF,27-279,33.2,1523,1987,76.6,26058,9482,732,844,86.7,644,815,79.0,128,227,56.4,10,4.1,4.0,5.9,42,113,54,28,123
Bassey,NGA,DF,25-134,33.2,1899,2115,89.8,33534,11711,804,844,95.3,926,985,94.0,137,224,61.2,0,0.1,0.4,-0.1,3,150,3,0,114
Jiménez,MEX,FW,34-009,25.7,440,617,71.3,6621,1485,256,314,81.5,134,181,74.0,31,52,59.6,3,3.3,2.0,-0.3,23,38,12,3,58
Andersen,DEN,DF,28-348,26.7,1548,1870,82.8,34283,13676,415,454,91.4,870,929,93.6,254,460,55.2,0,0.3,0.5,-0.3,3,188,6,3,110
Lukić,SRB,MF,28-274,24.1,1027,1171,87.7,17364,4245,486,529,91.9,450,489,92.0,78,111,70.3,2,2.6,1.3,-0.6,23,97,15,6,92
Berge,NOR,MF,27-089,24.2,1060,1160,91.4,18871,4427,436,475,91.8,513,543,94.5,94,112,83.9,0,0.6,0.6,-0.6,18,113,4,0,119
Pereira,BRA,MF,29-133,21.7,662,960,69.0,11980,3815,305,365,83.6,257,325,79.1,87,215,40.5,4,4.5,4.3,-0.5,56,65,19,4,103
Emile Smith Rowe,ENG,MF,24-290,21.6,881,979,90.0,12569,2337,518,561,92.3,320,337,95.0,20,28,71.4,3,1.3,1.9,1.7,21,78,15,1,121
Tete,NED,DF,29-217,17.7,715,882,81.1,11509,3743,374,409,91.4,263,325,80.9,59,100,59.0,2,0.9,0.6,1.1,9,62,9,6,55
Castagne,BEL,DF,29-160,18.3,780,953,81.8,12441,3910,397,442,89.8,328,382,85.9,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,62
Traoré,ESP,"FW,MF",29-109,18.0,392,545,71.9,6112,1573,218,267,81.6,131,178,73.6,28,50,56.0,6,4.7,4.4,1.3,39,33,34,19,64
Diop,FRA,DF,28-125,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25
Wilson,WAL,"FW,MF",28-053,12.0,306,418,73.2,5135,1281,156,182,85.7,117,150,78.0,28,69,40.6,1,1.1,1.1,-0.1,20,25,14,1,49
Muniz,BRA,FW,24-010,10.7,92,142,64.8,1540,528,46,68,67.6,31,45,68.9,11,13,84.6,1,0.7,0.2,0.3,7,13,3,0,27
Sessegnon,ENG,"FW,DF",24-361,6.1,177,226,78.3,2520,776,114,131,87.0,50,65,76.9,8,13,61.5,2,1.0,0.8,1.0,10,17,4,1,20
Nelson,ENG,FW,25-155,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35
Cuenca,ESP,DF,25-178,2.9,102,122,83.6,1768,637,34,38,89.5,60,68,88.2,6,14,42.9,0,0.0,0.0,0.0,0,7,0,0,9
Cairney,SCO,MF,34-114,5.7,503,555,90.6,7937,1691,280,299,93.6,186,199,93.5,32,43,74.4,0,1.0,1.1,-1.0,10,47,7,3,48
Willian,BRA,"FW,MF",36-278,2.9,178,208,85.6,3198,855,86,91,94.5,75,88,85.2,17,23,73.9,0,0.5,0.7,-0.5,7,19,10,2,40
King,ENG,MF,18-131,1.0,38,45,84.4,613,121,22,24,91.7,14,16,87.5,1,2,50.0,0,0.4,0.7,-0.4,3,3,1,0,5
Reed,ENG,MF,30-107,1.2,39,55,70.9,550,138,21,24,87.5,13,17,76.5,2,5,40.0,0,0.1,0.1,-0.1,1,1,1,0,4
Godo,ENG,"FW,DF",22-061,0.3,12,17,70.6,214,53,6,8,75.0,5,5,100.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,3,0,3
Vinícius,BRA,"MF,FW",30-050,0.2,1,3,33.3,14,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Stansfield,ENG,MF,22-171,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
