player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xG,npxG,npxG_per_shot,goals_xG_diff,np_goals_npxG_diff,goals,non_pk_goals
Sepp van den Berg,Brentford,17,5,29.4,0.64,0.19,0.0,0.0,10.5,0,0,0,1.8,1.8,0.11,-1.8,-1.8,0,0.0
Janelt,Brentford,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2,1,1.0
Schade,Brentford,52,25,48.1,2.19,1.05,0.21,0.44,11.6,0,0,0,8.0,8.0,0.15,3.0,3.0,11,11.0
Pinnock,Brentford,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9,2,2.0
Ajer,Brentford,8,3,37.5,0.51,0.19,0.0,0.0,10.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,0,0.0
Yarmoliuk,Brentford,9,2,22.2,0.63,0.14,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,0,0.0
Roerslev,Brentford,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,0,0.0
Jensen,Brentford,6,1,16.7,0.65,0.11,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,0,0.0
Kayode,Brentford,2,0,0.0,0.47,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,0,0.0
Carvalho,Brentford,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,2,2.0
Mee,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Thiago,Brentford,1,0,0.0,0.61,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1,0,0.0
Hákon Rafn Valdimarsson,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Maghoma,Brentford,1,0,0.0,0.76,0.0,0.0,,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,0,0.0
Henry,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Yunus Emre Konak,Brentford,1,0,0.0,2.14,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,0,0.0
Jisoo,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Onyeka,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Nunes,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Meghoma,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Trevitt,Brentford,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Verbruggen,Brighton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
Jan Paul van Hecke,Brighton,16,5,31.3,0.52,0.16,0.06,0.2,14.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,1,1
Baleba,Brighton,41,11,26.8,1.49,0.4,0.07,0.27,25.3,1,0,0,3.0,3.0,0.07,0.0,0.0,3,3
Mitoma,Brighton,54,25,46.3,1.92,0.89,0.17,0.36,13.9,0,0,0,8.8,8.8,0.16,0.2,0.2,9,9
Estupiñán,Brighton,23,7,30.4,0.9,0.27,0.04,0.14,24.5,3,0,0,1.1,1.1,0.05,-0.1,-0.1,1,1
Dunk,Brighton,12,3,25.0,0.52,0.13,0.0,0.0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,0,0
Welbeck,Brighton,53,20,37.7,2.35,0.89,0.17,0.45,15.5,8,1,1,8.9,8.1,0.15,1.1,0.9,10,9
Pedro,Brighton,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,1.1,0.0,10,5
Hinshelwood,Brighton,14,6,42.9,0.72,0.31,0.14,0.33,14.3,0,0,0,1.5,1.5,0.1,0.5,0.5,2,2
Ayari,Brighton,26,7,26.9,1.27,0.34,0.04,0.14,18.8,2,0,0,2.3,2.3,0.09,-1.3,-1.3,1,1
Veltman,Brighton,6,1,16.7,0.32,0.05,0.0,0.0,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,0,0
Rutter,Brighton,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4,5,5
Minteh,Brighton,31,15,48.4,1.67,0.81,0.19,0.4,14.1,0,0,0,4.0,4.0,0.13,2.0,2.0,6,6
O'Riley,Brighton,21,6,28.6,2.09,0.6,0.05,0.17,17.0,2,0,0,2.0,2.0,0.1,-1.0,-1.0,1,1
Adingra,Brighton,26,7,26.9,2.37,0.64,0.08,0.29,16.4,0,0,0,2.2,2.2,0.09,-0.2,-0.2,2,2
Lamptey,Brighton,6,2,33.3,0.63,0.21,0.33,1.0,18.5,0,0,0,0.4,0.4,0.06,1.6,1.6,2,2
Igor,Brighton,1,0,0.0,0.1,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0,0,0
Webster,Brighton,1,1,100.0,0.13,0.13,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,0,0
Wieffer,Brighton,8,4,50.0,0.86,0.43,0.13,0.25,12.9,0,0,0,0.7,0.7,0.09,0.3,0.3,1,1
Gruda,Brighton,6,3,50.0,1.0,0.5,0.17,0.33,16.7,2,0,0,1.0,1.0,0.16,0.0,0.0,1,1
Kadioglu,Brighton,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6,1,1
Gómez,Brighton,6,0,0.0,1.19,0.0,0.0,,19.4,2,0,0,0.7,0.7,0.12,-0.7,-0.7,0,0
Milner,Brighton,2,0,0.0,1.07,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,0,0
Enciso,Brighton,20,11,55.0,6.12,3.37,0.0,0.0,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,0,0
Ferguson,Brighton,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5,1,1
Steele,Brighton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
March,Brighton,2,0,0.0,1.07,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0,0
Gilmour,Brighton,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,0,0
Cashin,Brighton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
Moder,Brighton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
Sarmiento,Brighton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0
Caicedo,Chelsea,19,3,15.8,0.54,0.09,0.05,0.33,25.3,0,0,0,0.8,0.8,0.04,0.2,0.2,1,1.0
Palmer,Chelsea,118,42,35.6,3.53,1.26,0.09,0.26,20.3,12,4,5,17.2,13.2,0.11,-2.2,-2.2,15,11.0
Colwill,Chelsea,16,3,18.8,0.49,0.09,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,1,1.0
Cucurella,Chelsea,23,10,43.5,0.74,0.32,0.17,0.4,16.4,0,0,0,2.6,2.6,0.11,1.4,1.4,4,4.0
Fernández,Chelsea,52,20,38.5,1.69,0.65,0.12,0.3,18.1,2,0,0,6.1,6.1,0.12,-0.1,-0.1,6,6.0
Sánchez,Chelsea,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Jackson,Chelsea,76,34,44.7,3.08,1.38,0.13,0.29,12.9,0,0,0,12.3,12.3,0.16,-2.3,-2.3,10,10.0
Madueke,Chelsea,77,30,39.0,3.73,1.45,0.09,0.23,14.4,0,0,0,9.1,9.1,0.12,-2.1,-2.1,7,7.0
Neto,Chelsea,56,16,28.6,2.4,0.68,0.07,0.25,18.5,0,0,0,3.1,3.1,0.06,0.9,0.9,4,4.0
Gusto,Chelsea,22,4,18.2,1.07,0.19,0.0,0.0,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,0,0.0
Sancho,Chelsea,24,8,33.3,1.27,0.42,0.13,0.38,15.1,0,0,0,2.2,2.2,0.09,0.8,0.8,3,3.0
Fofana,Chelsea,3,0,0.0,0.23,0.0,0.0,,10.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,0,0.0
Adarabioyo,Chelsea,12,2,16.7,0.88,0.15,0.08,0.5,12.5,0,0,0,0.9,0.9,0.08,0.1,0.1,1,1.0
Chalobah,Chelsea,7,2,28.6,0.69,0.2,0.0,0.0,11.1,0,0,0,0.8,0.8,0.11,-0.8,-0.8,0,0.0
Lavia,Chelsea,1,0,0.0,0.12,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2,0,0.0
James,Chelsea,9,3,33.3,0.92,0.31,0.11,0.33,21.8,2,0,0,0.4,0.4,0.04,0.6,0.6,1,1.0
Nkunku,Chelsea,25,11,44.0,2.44,1.07,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,3,3.0
Jørgensen,Chelsea,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Disasi,Chelsea,2,1,50.0,0.49,0.25,0.5,1.0,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7,1,1.0
Félix,Chelsea,20,5,25.0,4.88,1.22,0.05,0.2,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,1,1.0
Badiashile,Chelsea,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Dewsbury-Hall,Chelsea,1,0,0.0,0.35,0.0,0.0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,0,0.0
Acheampong,Chelsea,2,0,0.0,1.06,0.0,0.0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,0,0.0
Veiga,Chelsea,3,1,33.3,1.49,0.5,0.0,0.0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,0,0.0
Mudryk,Chelsea,1,1,100.0,0.6,0.6,0.0,0.0,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,0,0.0
George,Chelsea,3,1,33.3,2.62,0.87,0.33,1.0,15.0,0,0,0,0.2,0.2,0.07,0.8,0.8,1,1.0
Guiu,Chelsea,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Amougou,Chelsea,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Mheuka,Chelsea,1,1,100.0,90.0,90.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,0,0.0
Henderson,Crystal Palace,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,0,0.0
Mitchell,Crystal Palace,12,3,25.0,0.36,0.09,0.0,0.0,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,0,0.0
Muñoz,Crystal Palace,36,14,38.9,1.06,0.41,0.11,0.29,12.6,0,0,0,4.9,4.9,0.14,-0.9,-0.9,4,4.0
Guéhi,Crystal Palace,15,7,46.7,0.44,0.21,0.2,0.43,10.7,0,0,0,2.0,2.0,0.13,1.0,1.0,3,3.0
Lacroix,Crystal Palace,30,5,16.7,0.92,0.15,0.03,0.2,10.8,0,0,0,3.4,3.4,0.11,-2.4,-2.4,1,1.0
Mateta,Crystal Palace,65,27,41.5,2.27,0.94,0.18,0.44,15.4,0,2,2,12.7,11.1,0.17,1.3,0.9,14,12.0
Eze,Crystal Palace,99,26,26.3,3.54,0.93,0.06,0.23,21.6,16,1,2,10.2,8.7,0.09,-3.2,-2.7,7,6.0
Sarr,Crystal Palace,54,25,46.3,1.9,0.88,0.13,0.28,13.3,0,0,0,9.8,9.8,0.19,-2.8,-2.8,7,7.0
Lerma,Crystal Palace,26,8,30.8,1.12,0.34,0.0,0.0,19.8,0,0,0,1.1,1.1,0.04,-1.1,-1.1,0,0.0
Hughes,Crystal Palace,21,1,4.8,0.95,0.05,0.0,0.0,22.5,0,0,0,1.1,1.1,0.05,-1.1,-1.1,0,0.0
Richards,Crystal Palace,12,6,50.0,0.62,0.31,0.08,0.17,11.0,0,0,0,1.3,1.3,0.11,-0.3,-0.3,1,1.0
Wharton,Crystal Palace,13,5,38.5,0.89,0.34,0.0,0.0,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,0,0.0
Kamada,Crystal Palace,20,4,20.0,1.24,0.25,0.0,0.0,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,0,0.0
Chalobah,Crystal Palace,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8,3,3.0
Nketiah,Crystal Palace,40,13,32.5,3.89,1.26,0.03,0.08,14.0,0,0,0,4.8,4.8,0.12,-3.8,-3.8,1,1.0
Clyne,Crystal Palace,2,0,0.0,0.37,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,0,0.0
Doucouré,Crystal Palace,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,0,0.0
Devenny,Crystal Palace,8,4,50.0,1.66,0.83,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,0.3,0.3,1,1.0
Édouard,Crystal Palace,5,1,20.0,3.91,0.78,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,0,0.0
Andersen,Crystal Palace,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,0,0.0
Riad,Crystal Palace,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Chilwell,Crystal Palace,2,1,50.0,1.07,0.53,0.0,0.0,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,0,0.0
Schlupp,Crystal Palace,4,2,50.0,3.5,1.75,0.0,0.0,17.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,0,0.0
Esse,Crystal Palace,1,1,100.0,1.91,1.91,1.0,1.0,2.8,0,0,0,0.3,0.3,0.32,0.7,0.7,1,1.0
França,Crystal Palace,3,2,66.7,10.38,6.92,0.33,0.5,12.8,0,0,0,0.1,0.1,0.04,0.9,0.9,1,1.0
Ayew,Crystal Palace,1,0,0.0,4.29,0.0,0.0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,0,0.0
Kporha,Crystal Palace,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Agbinone,Crystal Palace,1,0,0.0,15.0,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,0,0.0
Ward,Crystal Palace,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Pickford,Everton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Tarkowski,Everton,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,1,1.0
Mykolenko,Everton,13,1,7.7,0.4,0.03,0.08,1.0,20.7,0,0,0,0.5,0.5,0.04,0.5,0.5,1,1.0
Idrissa Gana Gueye,Everton,27,5,18.5,0.84,0.16,0.0,0.0,25.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,0,0.0
Doucouré,Everton,29,9,31.0,1.05,0.33,0.1,0.33,13.8,0,0,0,3.9,3.9,0.13,-0.9,-0.9,3,3.0
Branthwaite,Everton,9,3,33.3,0.33,0.11,0.0,0.0,8.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2,0,0.0
Ndiaye,Everton,32,13,40.6,1.26,0.51,0.16,0.38,17.4,0,2,2,5.2,3.6,0.11,1.8,1.4,7,5.0
Harrison,Everton,28,7,25.0,1.29,0.32,0.04,0.14,16.4,0,0,0,3.5,3.5,0.12,-2.5,-2.5,1,1.0
Calvert-Lewin,Everton,48,18,37.5,2.72,1.02,0.06,0.17,12.2,0,0,0,6.3,6.3,0.13,-3.3,-3.3,3,3.0
Young,Everton,6,3,50.0,0.32,0.16,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,0.7,0.7,1,1.0
Garner,Everton,7,2,28.6,0.45,0.13,0.0,0.0,24.1,1,0,0,0.3,0.3,0.04,-0.3,-0.3,0,0.0
O'Brien,Everton,5,3,60.0,0.32,0.19,0.4,0.67,11.5,0,0,0,0.7,0.7,0.14,1.3,1.3,2,2.0
Lindstrøm,Everton,28,10,35.7,2.03,0.73,0.0,0.0,21.0,6,0,0,2.1,2.1,0.08,-2.1,-2.1,0,0.0
McNeil,Everton,25,10,40.0,1.74,0.7,0.16,0.4,21.9,0,0,0,1.1,1.1,0.04,2.9,2.9,4,4.0
Mangala,Everton,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,1,1.0
Beto,Everton,43,22,51.2,2.85,1.46,0.19,0.36,13.0,0,0,0,7.0,7.0,0.16,1.0,1.0,8,8.0
Keane,Everton,10,4,40.0,0.96,0.38,0.3,0.75,13.2,0,0,0,0.6,0.6,0.06,2.4,2.4,3,3.0
Alcaraz,Everton,21,7,33.3,2.85,0.95,0.05,0.14,19.9,0,0,0,1.4,1.4,0.07,-0.4,-0.4,1,1.0
Iroegbunam,Everton,5,0,0.0,0.78,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,0,0.0
Broja,Everton,4,0,0.0,1.08,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,0,0.0
Patterson,Everton,1,0,0.0,0.26,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,0,0.0
Coleman,Everton,1,1,100.0,0.45,0.45,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,0,0.0
Dixon,Everton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Armstrong,Everton,1,0,0.0,1.87,0.0,0.0,,5.8,0,0,0,0.4,0.4,0.37,-0.4,-0.4,0,0.0
Chermiti,Everton,3,1,33.3,6.0,2.0,0.0,0.0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0,0.0
Holgate,Everton,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Leno,Fulham,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Iwobi,Fulham,66,29,43.9,2.06,0.9,0.14,0.31,18.2,0,0,0,4.6,4.6,0.07,4.4,4.4,9,9.0
Robinson,Fulham,16,2,12.5,0.48,0.06,0.0,0.0,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,0,0.0
Bassey,Fulham,14,4,28.6,0.42,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,1,1.0
Jiménez,Fulham,86,28,32.6,3.34,1.09,0.09,0.29,14.3,0,3,3,11.4,9.0,0.11,-0.4,-1.0,11,8.0
Andersen,Fulham,18,4,22.2,0.67,0.15,0.0,0.0,15.0,0,0,0,1.0,1.0,0.06,-1.0,-1.0,0,0.0
Lukić,Fulham,17,2,11.8,0.71,0.08,0.0,0.0,20.1,0,0,0,1.2,1.2,0.07,-1.2,-1.2,0,0.0
Berge,Fulham,2,0,0.0,0.08,0.0,0.0,,7.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,0,0.0
Pereira,Fulham,36,8,22.2,1.66,0.37,0.06,0.25,22.5,6,0,1,3.5,2.7,0.08,-1.5,-0.7,2,2.0
Emile Smith Rowe,Fulham,35,10,28.6,1.62,0.46,0.17,0.6,15.6,0,0,0,4.4,4.4,0.13,1.6,1.6,6,6.0
Tete,Fulham,22,2,9.1,1.24,0.11,0.0,0.0,16.1,0,0,0,1.2,1.2,0.06,-1.2,-1.2,0,0.0
Castagne,Fulham,8,3,37.5,0.44,0.16,0.0,0.0,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,0,0.0
Traoré,Fulham,37,11,29.7,2.06,0.61,0.05,0.18,14.3,0,0,0,3.9,3.9,0.1,-1.9,-1.9,2,2.0
Diop,Fulham,5,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,0,0.0
Wilson,Fulham,40,14,35.0,3.34,1.17,0.13,0.36,17.8,1,0,0,4.0,4.0,0.1,1.0,1.0,5,5.0
Muniz,Fulham,39,19,48.7,3.64,1.77,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,2.2,2.2,8,8.0
Sessegnon,Fulham,14,8,57.1,2.28,1.3,0.29,0.5,12.8,0,0,0,1.6,1.6,0.12,2.4,2.4,4,4.0
Nelson,Fulham,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,1,1.0
Cuenca,Fulham,1,0,0.0,0.35,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,0,0.0
Cairney,Fulham,6,2,33.3,1.06,0.35,0.17,0.5,22.4,1,0,0,0.2,0.2,0.04,0.8,0.8,1,1.0
Willian,Fulham,7,0,0.0,2.45,0.0,0.0,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,0,0.0
King,Fulham,2,0,0.0,2.05,0.0,0.0,,10.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,0,0.0
Reed,Fulham,3,2,66.7,2.5,1.67,0.0,0.0,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,0,0.0
Godo,Fulham,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Vinícius,Fulham,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,0,0.0
Stansfield,Fulham,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
O'Shea,Ipswich Town,20,2,10.0,0.61,0.06,0.0,0.0,13.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,0,0.0
Delap,Ipswich Town,65,29,44.6,2.29,1.02,0.15,0.34,15.9,0,2,2,9.3,7.7,0.12,2.7,2.3,12,10.0
Davis,Ipswich Town,14,2,14.3,0.49,0.07,0.07,0.5,20.4,2,0,0,0.9,0.9,0.06,0.1,0.1,1,1.0
Morsy,Ipswich Town,10,2,20.0,0.35,0.07,0.1,0.5,26.3,0,0,0,0.4,0.4,0.04,0.6,0.6,1,1.0
Hutchinson,Ipswich Town,38,17,44.7,1.42,0.64,0.08,0.18,20.9,4,0,0,2.4,2.4,0.06,0.6,0.6,3,3.0
Greaves,Ipswich Town,9,4,44.4,0.4,0.18,0.11,0.25,9.3,0,0,0,1.3,1.3,0.14,-0.3,-0.3,1,1.0
Cajuste,Ipswich Town,10,1,10.0,0.5,0.05,0.1,1.0,21.3,0,0,0,0.5,0.5,0.05,0.5,0.5,1,1.0
Muric,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Tuanzebe,Ipswich Town,4,0,0.0,0.24,0.0,0.0,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,0,0.0
Burgess,Ipswich Town,10,2,20.0,0.58,0.12,0.0,0.0,9.6,0,0,0,1.1,1.1,0.11,-1.1,-1.1,0,0.0
Johnson,Ipswich Town,7,3,42.9,0.47,0.2,0.14,0.33,12.6,0,0,0,1.1,1.1,0.15,-0.1,-0.1,1,1.0
Phillips,Ipswich Town,11,2,18.2,0.8,0.15,0.0,0.0,24.3,3,0,0,0.4,0.4,0.04,-0.4,-0.4,0,0.0
Szmodics,Ipswich Town,21,12,57.1,1.93,1.1,0.19,0.33,14.0,0,0,0,3.4,3.4,0.16,0.6,0.6,4,4.0
Woolfenden,Ipswich Town,1,0,0.0,0.08,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,0,0.0
Palmer,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Burns,Ipswich Town,7,1,14.3,0.68,0.1,0.0,0.0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,0,0.0
Clarke,Ipswich Town,14,2,14.3,1.16,0.17,0.0,0.0,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,0,0.0
Clarke,Ipswich Town,14,2,14.3,1.16,0.17,0.0,0.0,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,0,0.0
Enciso,Ipswich Town,28,10,35.7,3.15,1.13,0.07,0.2,23.2,1,0,0,1.5,1.5,0.05,0.5,0.5,2,2.0
Chaplin,Ipswich Town,12,3,25.0,1.41,0.35,0.08,0.33,18.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2,1,1.0
Broadhead,Ipswich Town,10,6,60.0,1.49,0.89,0.1,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,1,1.0
Walton,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Jaden Philogene Bidace,Ipswich Town,12,5,41.7,2.28,0.95,0.17,0.4,16.4,0,0,0,2.0,2.0,0.17,0.0,0.0,2,2.0
Taylor,Ipswich Town,19,4,21.1,2.07,0.44,0.05,0.25,23.9,0,0,0,0.7,0.7,0.04,0.3,0.3,1,1.0
Taylor,Ipswich Town,19,4,21.1,2.07,0.44,0.05,0.25,23.9,0,0,0,0.7,0.7,0.04,0.3,0.3,1,
Clarke,Ipswich Town,1,1,100.0,0.24,0.24,0.0,0.0,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,0,0.0
Clarke,Ipswich Town,1,1,100.0,0.24,0.24,0.0,0.0,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,0,0.0
Hirst,Ipswich Town,12,6,50.0,2.07,1.03,0.25,0.5,11.6,0,0,0,1.9,1.9,0.16,1.1,1.1,3,3.0
Townsend,Ipswich Town,1,0,0.0,0.27,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,0,0.0
Ogbene,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Luongo,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Godfrey,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Ali Al Hamadi,Ipswich Town,4,0,0.0,2.69,0.0,0.0,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,0,0.0
Harness,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Edmundson,Ipswich Town,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0.0
Vardy,Leicester City,53,22,41.5,1.74,0.72,0.13,0.32,12.4,1,1,2,10.7,9.2,0.17,-2.7,-2.2,8,7
Justin,Leicester City,25,6,24.0,0.82,0.2,0.08,0.33,16.2,2,0,0,1.5,1.5,0.06,0.5,0.5,2,2
Faes,Leicester City,12,1,8.3,0.41,0.03,0.08,1.0,9.7,0,0,0,1.5,1.5,0.13,-0.5,-0.5,1,1
