player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Lamare Bogarde,Aston Villa,325,16,95,191,40,4,325,4,2,50.0,1,25.0,173,1031,599,12,6,1,6,8,212,9
Andrés García,Aston Villa,256,8,38,108,112,2,256,18,5,27.8,12,66.7,159,1262,673,26,13,2,10,6,168,28
Jáder Durán,Aston Villa,263,13,36,110,122,47,263,14,3,21.4,9,64.3,133,535,267,7,7,2,16,15,192,44
Marcus Rashford,Aston Villa,227,2,14,58,159,30,226,22,9,40.9,13,59.1,127,892,471,22,10,15,8,1,149,42
Ross Barkley,Aston Villa,446,16,70,265,117,18,446,11,8,72.7,3,27.3,263,1433,657,15,14,2,7,8,314,10
Jaden Philogene Bidace,Aston Villa,145,4,27,54,66,14,145,15,4,26.7,8,53.3,75,520,239,7,5,7,7,3,83,17
Donyell Malen,Aston Villa,120,2,8,32,86,23,120,10,3,30.0,5,50.0,71,543,312,11,6,7,8,6,79,25
Robin Olsen,Aston Villa,83,73,82,1,0,0,83,0,0,,0,,44,226,109,0,0,0,0,0,41,0
Kosta Nedeljković,Aston Villa,66,4,15,32,19,0,66,2,1,50.0,1,50.0,27,101,33,1,0,0,1,0,32,0
Emi Buendía,Aston Villa,82,0,17,35,31,3,82,2,0,0.0,2,100.0,53,185,119,3,5,0,4,3,64,6
Squad Total,Aston Villa,20590,2521,6989,8774,5036,898,20584,692,305,44.1,288,41.6,11619,64384,33739,678,417,204,489,368,13682,1241
Opponent Total,Aston Villa,20437,2269,6418,9033,5181,827,20435,593,232,39.1,292,49.2,11272,61906,32267,646,436,193,466,320,13498,1207
