player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Nathaniel Clyne,Crystal Palace,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8
Cheick Doucouré,Crystal Palace,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7
Justin Devenny,Crystal Palace,240,7,42,123,80,7,240,4,2,50.0,2,50.0,113,602,277,4,5,1,17,2,147,13
Odsonne Édouard,Crystal Palace,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7
Joachim Andersen,Crystal Palace,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1
Chadi Riad,Crystal Palace,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0
Ben Chilwell,Crystal Palace,121,7,42,54,30,2,121,5,2,40.0,2,40.0,49,241,181,2,1,0,2,2,54,12
Jeffrey Schlupp,Crystal Palace,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9
Romain Esse,Crystal Palace,31,0,5,8,18,7,31,2,0,0.0,2,100.0,18,73,21,0,1,0,1,1,21,8
Matheus França,Crystal Palace,15,0,0,5,10,4,15,0,0,,0,,9,43,25,1,1,1,1,0,10,2
Jordan Ayew,Crystal Palace,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1
Caleb Kporha,Crystal Palace,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0
Asher Agbinone,Crystal Palace,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
Joel Ward,Crystal Palace,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Squad Total,Crystal Palace,19479,2410,7243,8112,4307,767,19475,462,198,42.9,218,47.2,9808,49571,24041,474,334,118,470,325,11338,1096
Opponent Total,Crystal Palace,23958,2358,7313,11044,5824,849,23956,699,305,43.6,310,44.3,13219,71091,36791,644,465,171,540,416,15996,1440
Jordan Pickford,Everton,1608,1045,1540,69,0,0,1608,0,0,,0,,923,5644,3341,0,0,0,2,0,812,0
James Tarkowski,Everton,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3
Vitaliy Mykolenko,Everton,1571,118,488,671,424,30,1571,20,8,40.0,9,45.0,655,2674,1442,31,27,1,21,11,799,92
Idrissa Gana Gueye,Everton,1680,70,401,966,322,20,1680,36,17,47.2,17,47.2,800,3676,1634,26,27,4,32,33,966,24
Abdoulaye Doucouré,Everton,1116,31,220,518,393,60,1116,44,24,54.5,20,45.5,590,2926,1390,42,25,8,36,35,720,92
Jarrad Branthwaite,Everton,1457,207,759,640,66,26,1457,6,3,50.0,2,33.3,714,3901,2340,9,13,2,8,4,847,2
Iliman Ndiaye,Everton,1005,34,204,413,436,77,1003,138,63,45.7,64,46.4,579,4529,2226,81,41,30,49,43,617,115
Jack Harrison,Everton,909,31,147,322,448,66,909,73,23,31.5,42,57.5,504,3051,1599,71,35,16,52,40,588,121
Dominic Calvert-Lewin,Everton,504,22,40,210,259,85,504,25,10,40.0,13,52.0,274,1401,444,22,8,16,74,33,409,108
Ashley Young,Everton,1098,58,344,471,289,9,1098,17,5,29.4,9,52.9,442,2204,1239,21,25,1,9,1,562,29
James Garner,Everton,861,37,206,440,223,9,861,18,6,33.3,12,66.7,417,1851,696,12,15,1,15,7,470,24
Jake O'Brien,Everton,805,69,321,352,135,18,805,10,4,40.0,5,50.0,356,1594,743,7,6,2,5,5,428,24
Jesper Lindstrøm,Everton,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81
Dwight McNeil,Everton,705,5,70,307,346,24,705,41,22,53.7,18,43.9,419,2536,1086,37,31,5,25,29,480,76
Orel Mangala,Everton,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19
Beto,Everton,464,24,46,201,223,79,464,33,17,51.5,14,42.4,238,1084,396,12,10,9,66,34,335,72
Michael Keane,Everton,468,96,266,184,20,16,468,1,0,0.0,1,100.0,209,831,277,1,1,0,1,2,263,3
Carlos Alcaraz,Everton,339,12,56,150,142,17,339,17,9,52.9,6,35.3,193,1169,612,16,19,2,12,13,223,20
Tim Iroegbunam,Everton,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9
Armando Broja,Everton,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26
Nathan Patterson,Everton,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18
Séamus Coleman,Everton,105,12,41,45,20,2,105,5,4,80.0,1,20.0,46,274,155,1,1,0,1,1,54,3
Roman Dixon,Everton,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1
Harrison Armstrong,Everton,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0
Youssef Chermiti,Everton,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6
Mason Holgate,Everton,3,0,0,2,1,0,3,0,0,,0,,1,0,0,0,0,0,1,0,1,0
Squad Total,Everton,18332,2317,6560,7433,4540,688,18330,611,269,44.0,295,48.3,9011,48135,23888,461,344,114,500,371,10618,968
Opponent Total,Everton,24522,2281,7845,10971,5917,888,24520,689,301,43.7,318,46.2,14347,75333,40115,682,492,188,518,376,16820,1528
Bernd Leno,Fulham,1405,1126,1394,11,0,0,1405,0,0,,0,,920,3765,2120,0,0,0,0,0,825,0
Alex Iwobi,Fulham,1797,32,236,720,867,113,1797,91,46,50.5,40,44.0,1270,7715,4243,140,104,37,57,39,1403,234
Antonee Robinson,Fulham,2404,128,765,911,763,67,2404,78,34,43.6,33,42.3,1278,7011,4057,114,60,29,41,18,1440,265
Calvin Bassey,Fulham,2413,314,1171,1136,131,19,2413,33,15,45.5,11,33.3,1545,8041,4865,39,20,5,33,8,1685,15
Raúl Jiménez,Fulham,944,30,109,407,444,159,941,48,20,41.7,25,52.1,523,2408,1060,33,24,17,66,42,697,123
Joachim Andersen,Fulham,2183,304,1128,971,96,21,2183,6,4,66.7,0,0.0,1272,6244,3320,16,14,1,6,3,1515,2
Saša Lukić,Fulham,1394,50,303,797,307,18,1394,17,8,47.1,5,29.4,775,4150,2083,37,39,4,22,8,897,29
Sander Berge,Fulham,1345,78,365,774,212,13,1345,20,11,55.0,6,30.0,785,4325,2000,28,23,2,15,16,873,9
Andreas Pereira,Fulham,1130,19,162,461,525,42,1129,30,14,46.7,8,26.7,573,2759,1339,29,38,9,27,21,669,80
Emile Smith Rowe,Fulham,1173,20,158,564,461,57,1173,34,16,47.1,15,44.1,758,3673,1909,52,40,12,35,16,903,121
Kenny Tete,Fulham,1096,61,346,457,303,32,1096,20,9,45.0,6,30.0,572,2679,1281,33,20,7,16,10,641,49
Timothy Castagne,Fulham,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67
Adama Traoré,Fulham,746,4,75,264,429,88,746,94,47,50.0,35,37.2,495,4230,2295,91,42,33,34,21,564,148
Issa Diop,Fulham,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3
Harry Wilson,Fulham,547,9,73,190,294,54,547,24,9,37.5,10,41.7,316,1703,743,18,18,9,16,5,360,89
Rodrigo Muniz,Fulham,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31
Ryan Sessegnon,Fulham,346,15,86,126,139,42,346,18,5,27.8,10,55.6,170,942,485,15,13,9,19,7,198,56
Reiss Nelson,Fulham,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63
Jorge Cuenca,Fulham,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0
Tom Cairney,Fulham,600,6,89,315,205,15,600,12,4,33.3,4,33.3,398,1916,934,15,16,4,6,4,486,32
Willian,Fulham,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33
Joshua King,Fulham,63,2,8,21,35,8,63,7,4,57.1,3,42.9,25,181,71,1,3,0,1,3,42,13
Harrison Reed,Fulham,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7
Martial Godo,Fulham,25,0,1,7,17,7,25,4,1,25.0,3,75.0,18,155,87,2,0,2,0,0,15,6
Carlos Vinícius,Fulham,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3
Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Squad Total,Fulham,22804,2460,7591,9419,6035,905,22800,615,276,44.9,247,40.2,13440,70480,36956,750,532,209,486,263,15325,1478
Opponent Total,Fulham,21187,2446,6967,9519,4924,748,21185,620,261,42.1,273,44.0,11666,64067,32721,600,421,157,542,369,13801,1286
Dara O'Shea,Ipswich Town,1892,377,1104,673,120,48,1892,2,1,50.0,1,50.0,826,3658,1837,3,2,0,11,4,1082,8
Liam Delap,Ipswich Town,674,29,78,287,331,90,672,86,40,46.5,37,43.0,440,3274,1579,60,46,29,101,58,530,107
Leif Davis,Ipswich Town,1459,115,517,484,477,36,1459,37,13,35.1,17,45.9,659,3571,1940,48,27,10,36,14,770,117
Sam Morsy,Ipswich Town,1557,94,469,887,217,4,1557,24,13,54.2,8,33.3,777,4227,1856,18,20,2,15,11,1038,9
Omari Hutchinson,Ipswich Town,1146,14,183,485,500,80,1146,123,47,38.2,60,48.8,698,5410,2614,82,36,33,74,56,806,142
Jacob Greaves,Ipswich Town,1263,259,681,502,84,19,1263,5,4,80.0,1,20.0,547,2359,1003,8,9,0,10,2,764,9
Jens Cajuste,Ipswich Town,923,59,267,483,187,11,923,46,25,54.3,15,32.6,426,2318,1200,23,21,3,21,15,530,16
Arijanet Muric,Ipswich Town,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0
Axel Tuanzebe,Ipswich Town,847,94,368,368,117,6,847,10,4,40.0,6,60.0,347,1540,748,9,6,1,11,1,442,9
Cameron Burgess,Ipswich Town,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4
Ben Johnson,Ipswich Town,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33
Kalvin Phillips,Ipswich Town,739,61,223,398,122,5,739,12,5,41.7,6,50.0,310,1489,569,4,5,0,25,10,394,4
Sammie Szmodics,Ipswich Town,309,17,80,119,116,33,309,12,4,33.3,6,50.0,174,989,399,16,8,7,24,17,189,46
Luke Woolfenden,Ipswich Town,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0
Alex Palmer,Ipswich Town,441,371,433,9,0,0,441,0,0,,0,,198,1119,674,0,0,0,2,0,154,0
Wes Burns,Ipswich Town,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65
Jack Clarke,Ipswich Town,501,23,119,204,192,32,501,42,22,52.4,14,33.3,278,2074,1064,34,19,9,21,18,303,48
Julio Enciso,Ipswich Town,374,5,51,191,146,19,374,58,27,46.6,23,39.7,186,1353,735,21,20,8,22,28,241,41
Conor Chaplin,Ipswich Town,335,7,63,165,112,13,335,8,4,50.0,4,50.0,153,779,407,11,7,0,11,3,229,20
Nathan Broadhead,Ipswich Town,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27
Christian Walton,Ipswich Town,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0
Jaden Philogene Bidace,Ipswich Town,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36
Jack Taylor,Ipswich Town,505,32,153,267,96,8,505,11,4,36.4,4,36.4,239,1447,773,11,10,1,10,6,321,22
Harry Clarke,Ipswich Town,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2
George Hirst,Ipswich Town,168,12,24,57,89,24,168,5,2,40.0,2,40.0,89,468,199,9,2,6,21,13,142,29
Conor Townsend,Ipswich Town,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13
Chiedozie Ogbene,Ipswich Town,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15
Massimo Luongo,Ipswich Town,77,9,33,25,19,1,77,0,0,,0,,40,148,25,0,0,0,2,3,44,1
Ben Godfrey,Ipswich Town,68,6,26,33,9,1,68,0,0,,0,,33,202,79,2,2,0,2,1,42,1
Ali Al Hamadi,Ipswich Town,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14
Marcus Harness,Ipswich Town,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1
George Edmundson,Ipswich Town,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0
Squad Total,Ipswich Town,17945,2916,7421,7030,3692,549,17943,596,259,43.5,265,44.5,8750,49471,24145,470,303,137,515,322,10637,839
Opponent Total,Ipswich Town,24578,2059,7134,10404,7243,1142,24572,645,304,47.1,272,42.2,14826,76196,38616,786,531,279,478,293,17246,1643
Jamie Vardy,Leicester City,575,29,60,266,256,108,573,21,9,42.9,10,47.6,276,1438,680,28,13,15,34,13,371,116
James Justin,Leicester City,1832,136,638,832,373,38,1832,30,9,30.0,13,43.3,826,3485,1726,39,26,4,31,15,1024,94
Wout Faes,Leicester City,1795,294,896,839,68,27,1795,6,5,83.3,1,16.7,1045,4793,2788,12,13,2,16,6,1192,1
Victor Bernth Kristiansen,Leicester City,1586,113,565,713,321,15,1586,17,8,47.1,8,47.1,802,3843,1808,39,25,5,13,12,874,75
Mads Hermansen,Leicester City,1147,831,1106,43,0,0,1147,1,1,100.0,0,0.0,734,3625,1904,0,0,0,1,0,625,0
Wilfred Ndidi,Leicester City,1350,117,449,666,248,61,1350,33,13,39.4,18,54.5,650,2678,1082,18,23,2,35,33,798,75
Bilal El Khannouss,Leicester City,1211,18,173,623,427,33,1211,55,31,56.4,21,38.2,701,4320,1966,72,43,12,36,36,812,84
Boubakary Soumaré,Leicester City,1345,64,356,847,155,18,1345,44,27,61.4,13,29.5,800,3679,1907,32,16,4,22,21,941,22
Harry Winks,Leicester City,1158,49,275,746,151,1,1158,12,3,25.0,8,66.7,696,3268,1522,19,13,0,13,8,827,11
Conor Coady,Leicester City,1088,205,607,462,20,8,1088,2,1,50.0,1,50.0,714,3100,1651,3,3,1,4,2,800,0
Jordan Ayew,Leicester City,732,19,94,374,287,49,731,60,24,40.0,30,50.0,439,2993,1316,43,32,9,54,38,491,79
Stephy Mavididi,Leicester City,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138
Jannik Vestergaard,Leicester City,1092,196,572,497,28,10,1092,4,4,100.0,0,0.0,672,2932,1458,3,3,0,2,0,757,2
Facundo Buonanotte,Leicester City,865,26,128,444,306,39,865,82,28,34.1,49,59.8,474,2979,1347,39,26,9,54,39,524,72
Caleb Okoli,Leicester City,806,152,451,325,35,10,806,0,0,,0,,468,2318,1106,3,6,0,10,2,484,2
Luke Thomas,Leicester City,681,40,250,327,108,8,681,5,2,40.0,3,60.0,329,1268,513,4,7,2,10,2,380,15
Oliver Skipp,Leicester City,582,27,133,362,91,8,582,12,7,58.3,5,41.7,336,1360,637,16,7,3,11,7,406,19
Bobby De Cordova-Reid,Leicester City,272,15,49,114,109,16,272,10,0,0.0,8,80.0,174,816,389,14,5,6,11,10,188,48
Jakub Stolarczyk,Leicester City,318,237,313,6,0,0,318,0,0,,0,,181,783,483,0,0,0,1,0,179,0
Kasey McAteer,Leicester City,322,18,63,121,144,25,322,21,4,19.0,13,61.9,194,1230,487,16,11,8,16,13,213,59
Abdul Fatawu Issahaku,Leicester City,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60
Patson Daka,Leicester City,239,9,41,109,94,28,239,15,2,13.3,10,66.7,134,687,309,10,7,5,19,10,158,34
Ricardo Pereira,Leicester City,255,14,78,141,37,5,255,8,5,62.5,2,25.0,132,389,147,3,3,2,2,0,143,5
Danny Ward,Leicester City,55,40,55,0,0,0,55,1,0,0.0,1,100.0,44,176,107,0,0,0,0,0,35,0
Hamza Choudhury,Leicester City,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6
Woyo Coulibaly,Leicester City,76,8,27,31,20,4,76,1,0,0.0,1,100.0,48,288,169,4,2,1,4,0,36,2
Jeremy Monga,Leicester City,34,1,7,13,15,3,34,5,2,40.0,2,40.0,24,262,119,4,1,2,2,2,18,5
Odsonne Édouard,Leicester City,20,1,2,7,11,6,20,2,1,50.0,1,50.0,11,25,2,0,0,1,7,2,13,2
Jake Evans,Leicester City,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1
Will Alves,Leicester City,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1
Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Squad Total,Leicester City,20728,2705,7613,9411,3903,610,20725,615,253,41.1,294,47.8,11768,59198,29168,558,351,137,466,318,13201,1028
Opponent Total,Leicester City,24107,2012,6804,10808,6722,1138,24103,731,338,46.2,311,42.5,13933,72055,36666,695,499,221,491,374,16589,1643
Virgil van Dijk,Liverpool,3181,443,1295,1736,160,48,3181,5,3,60.0,2,40.0,1779,8423,4592,18,22,3,9,5,2191,6
Mohamed Salah,Liverpool,1602,10,93,481,1048,337,1593,129,55,42.6,67,51.9,1099,6660,3508,148,55,119,112,64,1339,455
Ryan Gravenberch,Liverpool,2214,108,463,1290,490,25,2214,76,36,47.4,28,36.8,1311,6856,3467,66,71,10,51,23,1575,54
Alexis Mac Allister,Liverpool,1860,56,284,960,637,60,1860,42,16,38.1,21,50.0,914,3773,2009,36,43,5,31,22,1227,80
Ibrahima Konaté,Liverpool,2048,216,884,1058,112,23,2048,4,2,50.0,1,25.0,1202,5551,3196,21,13,0,8,2,1474,3
Andrew Robertson,Liverpool,2006,90,528,903,589,52,2006,18,7,38.9,10,55.6,1058,4771,2779,62,50,6,25,11,1336,97
Trent Alexander-Arnold,Liverpool,2193,86,582,987,638,44,2193,35,16,45.7,17,48.6,1151,5264,2812,50,36,9,19,15,1397,90
Dominik Szoboszlai,Liverpool,1498,28,206,723,589,99,1498,39,20,51.3,16,41.0,766,3941,2212,68,46,18,36,23,1021,122
Luis Díaz,Liverpool,1134,16,85,395,674,159,1134,113,51,45.1,50,44.2,747,5474,2879,106,53,55,54,44,897,274
Alisson,Liverpool,903,660,886,17,0,0,903,1,1,100.0,0,0.0,583,2319,1372,0,0,0,1,0,550,0
Cody Gakpo,Liverpool,820,23,82,239,516,94,820,54,29,53.7,17,31.5,559,3970,2054,53,32,22,41,22,624,256
Curtis Jones,Liverpool,1182,38,203,628,359,54,1182,20,12,60.0,7,35.0,723,3555,1704,26,19,7,23,33,891,73
Diogo Jota,Liverpool,462,5,30,190,249,94,462,32,11,34.4,19,59.4,252,1477,783,37,22,21,37,22,319,87
Caoimhín Kelleher,Liverpool,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0
Darwin Núñez,Liverpool,350,10,45,116,200,68,350,21,8,38.1,12,57.1,191,1041,562,23,19,12,23,20,237,73
Kostas Tsimikas,Liverpool,689,29,169,307,218,12,689,11,4,36.4,5,45.5,342,1446,746,16,6,2,5,4,438,42
Joe Gomez,Liverpool,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2
Conor Bradley,Liverpool,563,25,171,253,150,36,563,21,9,42.9,10,47.6,310,1928,1137,28,19,8,9,3,343,31
Jarell Quansah,Liverpool,377,47,191,160,26,5,377,2,1,50.0,1,50.0,220,1171,592,2,3,1,5,2,266,4
Harvey Elliott,Liverpool,265,2,21,119,126,19,265,6,3,50.0,3,50.0,153,687,327,9,10,5,4,4,200,28
Wataru Endo,Liverpool,196,7,49,110,38,3,196,2,2,100.0,0,0.0,88,291,84,0,0,1,6,3,138,5
Federico Chiesa,Liverpool,35,0,5,13,17,4,35,1,0,0.0,1,100.0,25,92,44,3,1,1,2,3,27,7
Vitezslav Jaros,Liverpool,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0
Jayden Danns,Liverpool,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0
Squad Total,Liverpool,24467,2244,6859,10951,6875,1241,24458,633,287,45.3,287,45.3,14074,71490,38431,777,522,306,503,328,17106,1789
Opponent Total,Liverpool,19357,2986,7661,7680,4238,708,19355,706,300,42.5,326,46.2,10142,58637,30658,635,379,220,515,288,11881,1009
Joško Gvardiol,Manchester City,2985,142,733,1491,785,95,2985,41,24,58.5,14,34.1,1942,10243,5848,87,99,14,25,16,2196,112
Erling Haaland,Manchester City,595,22,39,204,358,181,592,32,11,34.4,19,59.4,281,1364,507,20,15,20,41,25,440,110
Bernardo Silva,Manchester City,1894,49,323,760,829,136,1894,61,28,45.9,26,42.6,1191,7561,3861,98,62,32,21,32,1406,191
Ederson,Manchester City,886,621,873,13,0,0,886,0,0,,0,,596,2746,1754,0,0,0,1,0,564,0
Mateo Kovačić,Manchester City,2032,51,290,1150,613,17,2032,40,21,52.5,11,27.5,1382,8005,3709,54,77,3,19,29,1649,15
Rúben Dias,Manchester City,2343,198,774,1278,297,25,2343,3,2,66.7,1,33.3,1671,9406,5607,38,63,1,7,1,1902,8
İlkay Gündoğan,Manchester City,1748,43,256,848,664,60,1748,35,16,45.7,13,37.1,1035,5787,2813,57,52,9,27,24,1366,86
Rico Lewis,Manchester City,1477,53,289,727,477,46,1477,21,9,42.9,11,52.4,865,4215,2155,39,41,8,20,19,1061,78
Manuel Akanji,Manchester City,1744,113,507,841,399,16,1744,2,2,100.0,0,0.0,1149,6160,3678,41,63,0,4,5,1374,6
Sávio,Manchester City,1090,14,55,283,772,153,1090,113,52,46.0,40,35.4,778,6421,3539,135,44,74,42,38,846,244
Phil Foden,Manchester City,1131,13,82,381,677,82,1131,43,14,32.6,23,53.5,715,3691,1776,50,30,17,35,30,887,128
Kevin De Bruyne,Manchester City,1307,10,74,429,816,76,1307,34,13,38.2,17,50.0,768,3813,1998,50,49,19,25,26,971,143
Matheus Nunes,Manchester City,1267,39,221,494,560,54,1267,36,16,44.4,13,36.1,779,4099,2131,59,31,22,29,13,916,156
Jeremy Doku,Manchester City,981,4,42,222,740,149,981,194,107,55.2,56,28.9,760,7224,4605,201,89,101,55,56,818,274
Stefan Ortega,Manchester City,492,383,489,3,0,0,492,0,0,,0,,323,1489,864,0,0,0,0,0,309,0
Omar Marmoush,Manchester City,421,3,30,122,276,61,421,42,18,42.9,19,45.2,264,1677,824,22,16,12,37,15,297,68
Kyle Walker,Manchester City,892,26,197,473,228,5,892,6,3,50.0,2,33.3,499,2284,1106,12,13,0,9,2,630,11
Nathan Aké,Manchester City,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2
Nicolás González,Manchester City,637,14,99,398,143,7,637,6,1,16.7,3,50.0,386,1606,615,5,9,1,7,10,484,10
Jack Grealish,Manchester City,519,14,40,162,324,71,519,29,13,44.8,9,31.0,375,2879,1714,69,23,46,10,16,422,118
John Stones,Manchester City,442,40,142,234,68,4,442,2,2,100.0,0,0.0,292,2146,1183,10,14,0,2,0,333,2
Nico O’Reilly,Manchester City,419,14,71,223,130,18,419,15,9,60.0,6,40.0,249,1171,575,16,15,0,14,15,298,26
Abdukodir Khusanov,Manchester City,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2
James Mcatee,Manchester City,168,2,17,62,90,21,168,7,2,28.6,5,71.4,96,486,211,7,6,1,5,1,122,32
Jahmai Simpson-Pusey,Manchester City,123,9,61,59,3,1,123,1,0,0.0,0,0.0,79,376,190,1,0,0,1,0,101,0
Rodri,Manchester City,65,1,12,30,24,0,65,1,0,0.0,0,0.0,34,125,42,0,2,0,0,0,49,1
Divin Mubama,Manchester City,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,0,1,3,0
Oscar Bobb,Manchester City,11,0,1,3,7,0,11,2,2,100.0,0,0.0,9,57,32,1,0,0,0,0,11,1
Vitor Reis,Manchester City,3,1,2,1,0,0,3,1,1,100.0,0,0.0,2,3,0,0,0,0,0,0,2,0
Squad Total,Manchester City,26718,1975,6129,11435,9375,1285,26715,770,367,47.7,290,37.7,17199,98447,53273,1085,826,381,442,378,20238,1824
Opponent Total,Manchester City,18314,2990,8033,6909,3542,653,18310,502,224,44.6,206,41.0,10191,52480,25831,520,323,158,461,269,11769,843
André Onana,Manchester United,1323,1005,1302,22,0,0,1323,0,0,,0,,932,4682,2615,0,0,0,1,0,810,0
Bruno Fernandes,Manchester United,2491,62,409,1183,922,72,2488,66,27,40.9,33,50.0,1437,6746,3595,67,62,11,39,38,1740,120
Noussair Mazraoui,Manchester United,2060,163,806,948,331,28,2060,47,26,55.3,17,36.2,1135,5299,2819,41,32,3,24,16,1249,51
Diogo Dalot,Manchester United,1965,113,658,767,557,66,1965,53,27,50.9,22,41.5,1111,4912,2684,62,37,16,37,21,1186,164
Matthijs de Ligt,Manchester United,1608,184,828,731,56,29,1608,4,2,50.0,2,50.0,1078,4744,2225,7,3,0,5,3,1158,6
Alejandro Garnacho,Manchester United,1153,13,128,362,681,175,1153,89,26,29.2,55,61.8,836,6340,3237,140,72,66,63,48,883,290
Manuel Ugarte Ribeiro,Manchester United,1145,45,324,632,209,16,1145,32,18,56.3,10,31.3,657,2855,1336,16,16,1,31,25,716,20
Rasmus Højlund,Manchester United,474,6,33,232,218,67,474,31,9,29.0,20,64.5,290,1446,648,27,13,17,58,30,376,94
Lisandro Martínez,Manchester United,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7
Kobbie Mainoo,Manchester United,1034,25,191,579,274,35,1034,50,23,46.0,25,50.0,631,2792,1196,22,15,10,36,35,738,45
Amad Diallo,Manchester United,1104,14,160,407,554,120,1104,82,39,47.6,39,47.6,712,4897,2511,99,49,60,39,32,773,175
Harry Maguire,Manchester United,1183,140,581,547,70,41,1183,5,2,40.0,3,60.0,694,4273,1755,6,7,3,8,2,761,7
Casemiro,Manchester United,1091,69,327,555,217,38,1091,6,3,50.0,3,50.0,575,1774,823,4,10,0,10,10,697,26
Joshua Zirkzee,Manchester United,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69
Leny Yoro,Manchester United,894,87,413,414,70,13,894,4,2,50.0,2,50.0,614,3173,1765,19,13,1,3,4,656,4
Marcus Rashford,Manchester United,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79
