player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Adams,Bournemouth,38,1.92,33,0,0,1,0,4,4,0.2,3,0,0,0,0,1
Tavernier,Bournemouth,88,4.5,61,12,3,8,4,0,11,0.56,5,3,0,2,1,0
Smith,Bournemouth,20,1.22,15,1,1,0,2,1,2,0.12,1,0,0,0,1,0
Senesi,Bournemouth,16,1.4,16,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Brooks,Bournemouth,39,4.11,33,3,2,1,0,0,2,0.21,1,0,0,1,0,0
Scott,Bournemouth,29,3.46,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0
Hill,Bournemouth,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0
Araujo,Bournemouth,4,0.84,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Travers,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ünal,Bournemouth,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0
Neto,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Sinisterra,Bournemouth,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0
Billing,Bournemouth,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Aarons,Bournemouth,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jebbison,Bournemouth,5,5.42,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Winterburn,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Soler,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Rees-Dottin,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Silcott-Duberry,Bournemouth,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Collins,Brentford,30,0.83,22,2,1,3,2,0,8,0.22,4,1,0,1,2,0
Mbeumo,Brentford,138,3.84,93,23,10,8,4,0,19,0.53,10,3,2,3,1,0
Flekken,Brentford,10,0.29,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0
Lewis-Potter,Brentford,70,2.15,55,0,5,3,6,1,8,0.25,6,0,0,0,2,0
Damsgaard,Brentford,116,3.81,88,14,6,2,1,5,21,0.69,15,3,1,0,1,1
Wissa,Brentford,64,2.1,37,1,4,11,10,1,8,0.26,7,0,0,0,1,0
Nørgaard,Brentford,51,1.74,42,0,0,6,2,1,11,0.38,10,0,0,0,1,0
Sepp van den Berg,Brentford,21,0.79,19,0,0,1,1,0,2,0.07,1,0,0,0,1,0
Janelt,Brentford,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
