first_name,last_name,nation,team,positions,age
,Ajer,NOR,Brentford,DF,27
,Yarmoliuk,UKR,Brentford,MF,21
,Roerslev,DEN,Brentford,DF,25
,Jensen,DEN,Brentford,MF,29
,Kayode,ITA,Brentford,DF,20
,Carvalho,POR,Brentford,"FW,MF",22
,Mee,ENG,Brentford,DF,35
,Thiago,BRA,Brentford,FW,23
,Hákon Rafn Valdimarsson,ISL,Brentford,GK,23
,Maghoma,ENG,Brentford,"MF,FW",24
,Henry,ENG,Brentford,DF,27
,Yunus Emre Konak,TUR,Brentford,"FW,MF",19
,Jisoo,KOR,Brentford,DF,20
,Onyeka,NGA,Brentford,MF,27
,Nunes,BRA,Brentford,"FW,MF",19
,Meghoma,ENG,Brentford,DF,18
,Trevitt,ENG,Brentford,MF,22
,Arthur,ENG,Brentford,DF,19
,Eyestone,USA,Brentford,GK,19
,Fredrick,NGA,Brentford,DF,19
,Morgan,WAL,Brentford,FW,19
,Peart-Harris,ENG,Brentford,MF,22
,Yogane,ENG,Brentford,MF,19
,Verbruggen,NED,Brighton,GK,22
,Jan Paul van Hecke,NED,Brighton,DF,24
,Baleba,CMR,Brighton,MF,21
,Mitoma,JPN,Brighton,"FW,MF",27
,Estupiñán,ECU,Brighton,DF,27
,Dunk,ENG,Brighton,DF,33
,Welbeck,ENG,Brighton,FW,34
,Pedro,BRA,Brighton,"FW,MF",23
,Hinshelwood,ENG,Brighton,"DF,MF",20
,Ayari,SWE,Brighton,MF,21
,Veltman,NED,Brighton,DF,33
,Rutter,FRA,Brighton,"MF,FW",23
,Minteh,GAM,Brighton,"FW,MF",20
,O'Riley,DEN,Brighton,MF,24
,Adingra,CIV,Brighton,"FW,MF",23
,Lamptey,GHA,Brighton,DF,24
,Igor,BRA,Brighton,DF,27
,Webster,ENG,Brighton,DF,30
,Wieffer,NED,Brighton,"MF,DF",25
,Gruda,GER,Brighton,"MF,FW",20
,Kadioglu,TUR,Brighton,"DF,MF",25
,Gómez,PAR,Brighton,MF,22
,Milner,ENG,Brighton,MF,39
,Enciso,PAR,Brighton,"MF,FW",21
,Ferguson,IRL,Brighton,FW,20
,Steele,ENG,Brighton,GK,34
,March,ENG,Brighton,"FW,MF",30
,Gilmour,SCO,Brighton,MF,23
,Cashin,IRL,Brighton,DF,23
,Moder,POL,Brighton,MF,26
,Sarmiento,ECU,Brighton,MF,22
,Barco,ARG,Brighton,MF,20
,Cahill,IRL,Brighton,GK,21
,Howell,ENG,Brighton,FW,16
,Knight,ENG,Brighton,MF,19
,Mcconville,NIR,Brighton,DF,20
,O'Mahony,IRL,Brighton,FW,20
,Rushworth,ENG,Brighton,GK,23
,Samuels,ENG,Brighton,DF,22
,Simmonds,ENG,Brighton,DF,17
,Slater,ENG,Brighton,DF,20
,Tasker,ENG,Brighton,DF,19
,Caicedo,ECU,Chelsea,"MF,DF",23
,Palmer,ENG,Chelsea,MF,23
,Colwill,ENG,Chelsea,DF,22
,Cucurella,ESP,Chelsea,DF,26
,Fernández,ARG,Chelsea,MF,24
,Sánchez,ESP,Chelsea,GK,27
,Jackson,SEN,Chelsea,FW,23
,Madueke,ENG,Chelsea,FW,23
,Neto,POR,Chelsea,FW,25
,Gusto,FRA,Chelsea,DF,21
,Sancho,ENG,Chelsea,FW,25
,Fofana,FRA,Chelsea,DF,24
,Adarabioyo,ENG,Chelsea,DF,27
,Chalobah,ENG,Chelsea,DF,25
,Lavia,BEL,Chelsea,MF,21
,James,ENG,Chelsea,"DF,MF",25
,Nkunku,FRA,Chelsea,FW,27
,Jørgensen,DEN,Chelsea,GK,23
,Disasi,FRA,Chelsea,DF,27
,Félix,POR,Chelsea,"FW,MF",25
,Badiashile,FRA,Chelsea,DF,24
