first_name,last_name,nation,team,positions,age
,Reguilón,ESP,Tottenham,DF,28
,Scarlett,ENG,Tottenham,"FW,MF",21
,Dorrington,ENG,Tottenham,DF,20
,Lankshear,ENG,Tottenham,"FW,MF",20
,Ajayi,ENG,Tottenham,FW,19
,Cassanova,JAM,Tottenham,DF,20
,Devine,ENG,Tottenham,MF,20
,Hardy,ENG,Tottenham,DF,17
,King,ENG,Tottenham,DF,19
,Minhyeok,KOR,Tottenham,MF,19
,Olusesi,ENG,Tottenham,MF,18
,Whiteman,ENG,Tottenham,GK,26
,Luca Williams Barnett,ENG,Tottenham,FW,16
,Kilman,ENG,West Ham,DF,27
,Wan-Bissaka,ENG,West Ham,DF,27
,Bowen,ENG,West Ham,"FW,MF",28
,Kudus,GHA,West Ham,"FW,MF",24
,Souček,CZE,West Ham,MF,30
,Paquetá,BRA,West Ham,"MF,FW",27
,Palmieri,ITA,West Ham,DF,30
,Areola,FRA,West Ham,GK,32
,Mavropanos,GRE,West Ham,DF,27
,Álvarez,MEX,West Ham,MF,27
,Todibo,FRA,West Ham,DF,25
,Rodríguez,ARG,West Ham,MF,31
,Soler,ESP,West Ham,"MF,FW",28
,Fabiański,POL,West Ham,GK,40
,Antonio,JAM,West Ham,FW,35
,Coufal,CZE,West Ham,DF,32
,Ward-Prowse,ENG,West Ham,MF,30
,Cresswell,ENG,West Ham,DF,35
,Summerville,NED,West Ham,"FW,MF",23
,Scarles,ENG,West Ham,DF,19
,Füllkrug,GER,West Ham,FW,32
,Ings,ENG,West Ham,"FW,MF",32
,Irving,SCO,West Ham,MF,25
,Ferguson,IRL,West Ham,FW,20
,Guilherme,BRA,West Ham,"MF,FW",19
,Orford,ENG,West Ham,MF,19
,Casey,ENG,West Ham,DF,20
,Foderingham,ENG,West Ham,GK,34
,Mayers,BRB,West Ham,DF,18
,Aït-Nouri,ALG,Wolves,DF,23
,Gomes,BRA,Wolves,MF,24
,Semedo,POR,Wolves,DF,31
,Jørgen Strand Larsen,NOR,Wolves,FW,25
,André,BRA,Wolves,MF,23
,Sá,POR,Wolves,GK,32
,Cunha,BRA,Wolves,"MF,FW",25
,Gomes,POR,Wolves,DF,26
,Doherty,IRL,Wolves,DF,33
,Bellegarde,FRA,Wolves,"MF,FW",26
,Bueno,URU,Wolves,DF,26
,Lemina,GAB,Wolves,"MF,DF",31
,Agbadou,CIV,Wolves,DF,27
,Munetsi,ZIM,Wolves,"MF,FW",28
,Dawson,ENG,Wolves,DF,35
,Guedes,POR,Wolves,"MF,FW",28
,Johnstone,ENG,Wolves,GK,32
,Sarabia,ESP,Wolves,"MF,FW",33
,Gomes,POR,Wolves,"DF,FW",21
,Hee-chan,KOR,Wolves,"MF,FW",29
,Mosquera,COL,Wolves,DF,24
,Doyle,ENG,Wolves,MF,23
,Forbs,POR,Wolves,"MF,FW",21
,Bentley,ENG,Wolves,GK,31
,Lima,BRA,Wolves,DF,18
,Podence,POR,Wolves,"MF,FW",29
,Djiga,BFA,Wolves,"DF,FW",22
,Chiquinho,POR,Wolves,MF,25
,Mane,,Wolves,MF,na
,Pond,ENG,Wolves,DF,21
,Traoré,MLI,Wolves,MF,23
,Chirewa,ZIM,Wolves,MF,21
,Cundle,ENG,Wolves,MF,23
,Edozie,ENG,Wolves,MF,18
,King,WAL,Wolves,GK,30
,Meupiyou,FRA,Wolves,DF,19
,Okoduwa,ENG,Wolves,FW,17
