player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Raya,Arsenal,2,0,0,1,9,0,0,1,0,39,10,0,100.0
Saliba,Arsenal,2,1,0,28,17,1,0,1,0,150,60,35,63.2
Rice,Arsenal,7,1,1,20,16,2,0,0,0,143,31,24,56.4
Partey,Arsenal,4,0,0,44,30,1,0,0,0,130,26,22,54.2
Magalhães,Arsenal,4,0,0,19,19,0,1,0,0,63,53,37,58.9
Trossard,Arsenal,4,1,1,25,45,6,0,0,0,98,6,22,21.4
Timber,Arsenal,7,0,0,31,29,6,0,0,0,94,22,20,52.4
Ødegaard,Arsenal,4,0,0,10,23,1,0,0,0,93,8,7,53.3
Martinelli,Arsenal,1,0,0,15,20,8,0,0,0,74,15,34,30.6
Havertz,Arsenal,4,0,0,36,21,14,0,0,0,39,62,73,45.9
Saka,Arsenal,3,0,0,14,38,6,1,0,0,68,9,19,32.1
Merino,Arsenal,4,1,1,39,22,7,0,0,0,82,58,55,51.3
Lewis-Skelly,Arsenal,3,2,0,11,43,0,0,1,0,48,8,10,44.4
White,Arsenal,2,0,0,8,5,1,0,0,0,28,15,6,71.4
Calafiori,Arsenal,4,0,0,16,6,3,0,0,0,30,22,13,62.9
Nwaneri,Arsenal,1,0,0,8,5,6,0,0,0,33,4,7,36.4
Jorginho,Arsenal,5,0,0,15,17,0,0,0,0,54,1,6,14.3
Kiwior,Arsenal,0,0,0,9,4,1,0,0,0,22,8,7,53.3
Jesus,Arsenal,4,0,0,14,10,9,0,0,0,28,9,18,33.3
Sterling,Arsenal,1,0,0,12,4,4,0,0,0,14,1,3,25.0
Zinchenko,Arsenal,1,0,0,8,3,1,0,0,0,17,11,11,50.0
Tierney,Arsenal,0,0,0,0,2,2,0,0,0,4,3,5,37.5
Butler-Oyedeji,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,
Tomiyasu,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,
Nelson,Arsenal,0,0,0,1,1,0,0,0,0,0,0,0,
Martínez,Aston Villa,5,0,0,1,6,0,0,0,0,29,9,1,90.0
Tielemans,Aston Villa,4,0,0,41,56,0,0,0,0,145,22,18,55.0
Rogers,Aston Villa,9,0,0,47,50,2,1,0,0,111,13,46,22.0
Konsa,Aston Villa,1,0,0,7,45,0,0,0,0,92,31,22,58.5
Watkins,Aston Villa,2,0,0,28,30,13,2,0,0,42,49,63,43.8
Digne,Aston Villa,4,0,0,21,16,7,0,0,0,104,37,28,56.9
McGinn,Aston Villa,7,0,0,43,67,3,1,0,0,94,16,11,59.3
Cash,Aston Villa,6,0,0,25,18,1,0,2,0,65,17,19,47.2
Torres,Aston Villa,1,0,0,8,7,0,0,0,0,54,17,27,38.6
Ramsey,Aston Villa,4,1,1,13,28,5,1,0,0,81,7,11,38.9
Kamara,Aston Villa,2,0,0,27,28,0,0,0,0,75,17,23,42.5
Onana,Aston Villa,4,0,0,31,28,0,0,0,0,70,30,19,61.2
Bailey,Aston Villa,3,0,0,12,18,3,1,0,0,59,6,9,40.0
Mings,Aston Villa,1,0,0,4,11,0,0,0,0,38,27,22,55.1
Maatsen,Aston Villa,2,0,0,9,9,3,0,0,0,61,8,6,57.1
Carlos,Aston Villa,1,0,0,11,1,1,0,0,0,36,11,10,52.4
Asensio,Aston Villa,2,0,0,11,7,2,0,0,0,24,0,1,0.0
Disasi,Aston Villa,2,0,0,3,2,2,0,0,0,15,8,6,57.1
Bogarde,Aston Villa,2,0,0,8,11,0,0,0,0,13,6,6,50.0
García,Aston Villa,0,0,0,1,0,0,0,0,0,15,0,6,0.0
Durán,Aston Villa,3,1,0,14,15,5,0,0,0,19,19,19,50.0
Rashford,Aston Villa,0,0,0,1,3,1,0,0,0,14,1,8,11.1
Barkley,Aston Villa,3,0,0,8,3,0,0,0,0,41,6,4,60.0
Jaden Philogene Bidace,Aston Villa,4,1,1,12,8,1,0,0,0,21,0,5,0.0
Malen,Aston Villa,0,0,0,1,4,2,0,0,0,8,4,4,50.0
Olsen,Aston Villa,0,0,0,0,0,0,0,0,0,2,0,0,
Nedeljković,Aston Villa,0,0,0,0,1,0,0,0,0,4,0,1,0.0
Buendía,Aston Villa,1,0,0,4,6,0,0,0,0,8,0,2,0.0
Kerkez,Bournemouth,4,0,0,29,47,1,0,0,0,159,27,48,36.0
Semenyo,Bournemouth,9,0,0,68,37,14,1,0,0,152,62,72,46.3
Zabarnyi,Bournemouth,4,1,0,19,6,0,0,0,0,147,72,42,63.2
Cook,Bournemouth,8,0,0,48,10,3,0,1,0,186,41,34,54.7
Arrizabalaga,Bournemouth,3,0,0,2,5,0,0,2,0,54,7,1,87.5
Kluivert,Bournemouth,8,0,0,43,31,5,1,0,0,74,7,25,21.9
Christie,Bournemouth,9,0,0,43,31,1,0,0,0,182,20,28,41.7
Evanilson,Bournemouth,1,1,0,35,50,19,5,0,0,62,40,60,40.0
Huijsen,Bournemouth,9,0,0,30,10,2,0,0,0,101,66,43,60.6
Ouattara,Bournemouth,3,0,0,16,19,14,0,0,0,92,45,63,41.7
Adams,Bournemouth,7,0,0,42,20,0,0,1,0,105,29,18,61.7
Tavernier,Bournemouth,5,0,0,29,23,4,0,0,0,107,25,33,43.1
Smith,Bournemouth,7,0,0,17,11,0,0,0,0,46,13,14,48.1
Senesi,Bournemouth,5,0,0,20,7,0,0,0,0,69,24,28,46.2
Brooks,Bournemouth,3,0,0,8,16,0,0,0,0,45,7,10,41.2
Scott,Bournemouth,3,0,0,17,26,0,0,0,0,52,7,7,50.0
Hill,Bournemouth,1,0,0,7,5,0,0,0,0,13,14,12,53.8
Araujo,Bournemouth,1,0,0,5,1,0,0,0,0,28,2,7,22.2
Travers,Bournemouth,0,0,0,0,1,0,0,0,0,3,1,0,100.0
Ünal,Bournemouth,2,0,0,6,9,1,0,0,0,16,24,22,52.2
Neto,Bournemouth,0,0,0,0,2,0,0,0,0,3,0,0,
Sinisterra,Bournemouth,0,0,0,4,2,1,0,0,0,17,3,7,30.0
Billing,Bournemouth,1,0,0,3,2,0,0,0,0,14,6,4,60.0
Aarons,Bournemouth,0,0,0,0,2,0,0,0,0,7,0,0,
Jebbison,Bournemouth,1,0,0,2,2,0,0,0,0,8,2,10,16.7
Winterburn,Bournemouth,0,0,0,0,1,0,0,0,0,2,1,0,100.0
Soler,Bournemouth,0,0,0,0,1,0,0,0,0,0,0,0,
Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,
Silcott-Duberry,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Collins,Brentford,5,0,0,25,28,6,2,0,0,154,116,63,64.8
Mbeumo,Brentford,3,0,0,24,44,11,0,0,0,145,34,71,32.4
Flekken,Brentford,1,0,0,0,3,0,0,0,0,37,4,0,100.0
Lewis-Potter,Brentford,6,0,0,17,29,4,1,0,0,140,27,34,44.3
Damsgaard,Brentford,2,0,0,18,27,6,0,0,0,162,12,26,31.6
Wissa,Brentford,3,0,0,29,49,14,1,0,0,70,30,36,45.5
