player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Nørgaard,Brentford,7,1,0,43,28,1,0,0,0,184,44,29,60.3
Sepp van den Berg,Brentford,2,0,0,20,5,1,1,0,0,92,85,66,56.3
Janelt,Brentford,3,0,0,24,15,1,0,0,2,107,19,11,63.3
Schade,Brentford,3,0,0,21,33,13,0,0,0,78,82,69,54.3
Pinnock,Brentford,2,0,0,8,4,0,0,1,1,50,63,43,59.4
Ajer,Brentford,5,0,0,12,6,1,0,0,0,42,27,22,55.1
Yarmoliuk,Brentford,6,0,0,16,12,2,0,0,0,96,8,8,50.0
Roerslev,Brentford,2,0,0,6,10,0,0,0,0,39,10,14,41.7
Jensen,Brentford,2,0,0,7,10,0,0,0,0,45,8,5,61.5
Kayode,Brentford,2,0,0,7,2,0,0,0,0,29,6,2,75.0
Carvalho,Brentford,1,0,0,5,10,1,0,0,0,30,2,6,25.0
Mee,Brentford,2,0,0,5,0,0,0,0,0,11,5,5,50.0
Thiago,Brentford,0,0,0,3,3,1,0,0,0,10,6,5,54.5
Hákon Rafn Valdimarsson,Brentford,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Maghoma,Brentford,0,0,0,2,4,0,0,0,0,7,1,3,25.0
Henry,Brentford,0,0,0,1,1,0,0,0,0,4,1,1,50.0
Yunus Emre Konak,Brentford,0,0,0,3,1,0,0,0,0,2,5,9,35.7
Jisoo,Brentford,0,0,0,1,0,0,0,0,0,0,0,0,
Onyeka,Brentford,0,0,0,2,0,0,0,0,0,2,0,0,
Nunes,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,
Meghoma,Brentford,0,0,0,0,0,0,0,0,0,1,0,0,
Trevitt,Brentford,0,0,0,0,0,0,0,0,0,2,0,0,
Verbruggen,Brighton,5,0,0,0,2,0,0,0,0,58,10,1,90.9
Jan Paul van Hecke,Brighton,8,1,1,23,24,0,0,0,0,122,78,48,61.9
Baleba,Brighton,8,1,1,39,45,0,0,2,0,184,38,24,61.3
Mitoma,Brighton,1,0,0,39,23,5,0,0,0,93,25,27,48.1
Estupiñán,Brighton,5,0,0,35,19,3,0,0,0,140,45,26,63.4
Dunk,Brighton,5,0,0,7,11,2,0,0,1,104,51,31,62.2
Welbeck,Brighton,5,0,0,11,22,4,0,0,0,43,16,31,34.0
Pedro,Brighton,4,1,0,26,46,2,3,1,0,59,41,43,48.8
Hinshelwood,Brighton,5,0,0,16,7,0,0,0,0,58,19,15,55.9
Ayari,Brighton,3,0,0,35,23,3,0,1,0,113,15,20,42.9
Veltman,Brighton,4,0,0,27,42,0,0,1,0,68,21,18,53.8
Rutter,Brighton,2,0,0,34,45,7,0,1,0,66,25,46,35.2
Minteh,Brighton,6,0,0,20,10,5,0,0,0,78,16,33,32.7
O'Riley,Brighton,1,0,0,15,13,1,1,0,1,28,5,8,38.5
Adingra,Brighton,0,0,0,12,3,2,0,0,0,43,6,4,60.0
Lamptey,Brighton,0,0,0,15,10,0,0,1,0,39,1,14,6.7
Igor,Brighton,4,0,0,9,6,0,0,0,0,40,8,6,57.1
Webster,Brighton,0,0,0,6,2,1,0,1,0,26,17,6,73.9
Wieffer,Brighton,6,0,0,21,8,1,1,0,0,60,27,22,55.1
Gruda,Brighton,0,0,0,6,9,1,0,0,0,20,3,4,42.9
Kadioglu,Brighton,1,0,0,5,3,1,0,0,0,14,3,1,75.0
Gómez,Brighton,0,0,0,7,2,1,0,0,0,32,8,4,66.7
Milner,Brighton,1,0,0,3,1,0,0,0,0,2,0,1,0.0
Enciso,Brighton,0,0,0,3,7,0,0,0,0,15,6,5,54.5
Ferguson,Brighton,0,0,0,3,1,0,0,0,0,10,4,9,30.8
Steele,Brighton,0,0,0,0,1,0,0,0,0,7,1,1,50.0
March,Brighton,2,0,0,2,2,3,0,0,0,7,1,2,33.3
Gilmour,Brighton,0,0,0,2,3,0,0,0,0,5,0,0,
Cashin,Brighton,0,0,0,0,0,0,0,0,0,1,2,1,66.7
Moder,Brighton,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Sarmiento,Brighton,0,0,0,0,0,0,0,0,0,1,0,0,
Caicedo,Chelsea,10,0,0,66,55,0,2,1,0,211,35,15,70.0
Palmer,Chelsea,6,0,0,14,58,6,1,0,0,100,2,7,22.2
Colwill,Chelsea,9,0,0,43,20,4,0,1,0,115,77,52,59.7
Cucurella,Chelsea,10,1,1,34,34,3,0,0,0,121,30,54,35.7
Fernández,Chelsea,8,0,0,48,50,1,0,0,0,148,14,28,33.3
Sánchez,Chelsea,5,0,0,2,4,0,0,2,0,42,9,0,100.0
Jackson,Chelsea,7,1,0,35,29,23,0,0,0,48,21,36,36.8
Madueke,Chelsea,3,0,0,21,24,5,0,0,0,73,10,16,38.5
Neto,Chelsea,8,0,0,19,31,3,0,0,0,75,11,27,28.9
Gusto,Chelsea,4,0,0,20,19,2,0,0,0,116,9,15,37.5
Sancho,Chelsea,2,0,0,6,11,6,2,0,0,97,6,10,37.5
Fofana,Chelsea,7,0,0,24,16,0,0,0,0,54,27,12,69.2
Adarabioyo,Chelsea,3,0,0,8,6,1,0,0,0,34,36,26,58.1
Chalobah,Chelsea,2,0,0,9,7,0,0,0,0,29,23,12,65.7
Lavia,Chelsea,4,0,0,15,6,0,0,1,0,39,12,3,80.0
James,Chelsea,1,0,0,6,11,0,0,0,0,57,22,6,78.6
Nkunku,Chelsea,2,0,0,16,11,3,0,0,0,29,16,22,42.1
Jørgensen,Chelsea,0,0,0,1,1,0,0,1,0,5,0,0,
Disasi,Chelsea,1,0,0,2,0,0,0,0,0,15,5,2,71.4
Félix,Chelsea,2,0,0,6,17,1,0,0,0,22,4,5,44.4
Badiashile,Chelsea,0,0,0,6,2,0,0,0,0,18,8,2,80.0
Dewsbury-Hall,Chelsea,0,0,0,4,6,0,0,0,0,9,0,1,0.0
Acheampong,Chelsea,1,0,0,0,1,0,0,0,0,7,1,6,14.3
Veiga,Chelsea,2,0,0,6,1,1,0,0,0,9,3,3,50.0
Mudryk,Chelsea,0,0,0,2,2,1,0,0,0,9,2,4,33.3
George,Chelsea,1,0,0,2,0,1,0,0,0,3,0,3,0.0
Guiu,Chelsea,0,0,0,0,0,0,0,0,0,2,0,1,0.0
Amougou,Chelsea,0,0,0,0,0,0,0,0,0,2,0,0,
Mheuka,Chelsea,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Henderson,Crystal Palace,3,0,0,0,1,0,0,0,0,25,11,1,91.7
Mitchell,Crystal Palace,2,0,0,21,24,2,1,0,0,159,18,21,46.2
Muñoz,Crystal Palace,10,0,0,49,19,14,0,0,0,159,58,76,43.3
Guéhi,Crystal Palace,9,1,1,24,27,1,0,0,3,145,68,58,54.0
Lacroix,Crystal Palace,5,0,0,34,19,1,0,1,0,125,57,49,53.8
Mateta,Crystal Palace,2,0,0,27,28,19,0,0,0,67,63,101,38.4
Eze,Crystal Palace,1,0,0,12,51,9,0,0,0,137,7,37,15.9
Sarr,Crystal Palace,4,0,0,13,55,11,1,0,0,105,33,49,40.2
Lerma,Crystal Palace,9,0,0,35,38,0,0,0,0,144,39,39,50.0
Hughes,Crystal Palace,11,0,0,62,31,0,0,1,0,114,18,17,51.4
Richards,Crystal Palace,4,1,1,11,4,1,1,0,0,50,41,39,51.3
Wharton,Crystal Palace,2,0,0,12,21,0,0,0,0,102,7,16,30.4
Kamada,Crystal Palace,4,1,0,27,19,2,0,0,0,79,4,13,23.5
Chalobah,Crystal Palace,1,0,0,10,15,1,0,0,0,56,22,19,53.7
Nketiah,Crystal Palace,6,1,1,28,26,4,1,0,0,22,20,33,37.7
Clyne,Crystal Palace,1,0,0,2,2,0,0,0,0,10,1,7,12.5
Doucouré,Crystal Palace,1,0,0,7,7,0,0,0,0,31,5,5,50.0
Devenny,Crystal Palace,1,0,0,7,0,1,0,0,0,22,2,13,13.3
Édouard,Crystal Palace,0,0,0,4,0,2,0,0,0,5,1,4,20.0
Andersen,Crystal Palace,1,0,0,2,0,0,0,0,0,7,2,0,100.0
Riad,Crystal Palace,0,0,0,1,0,0,0,0,0,4,2,4,33.3
Chilwell,Crystal Palace,1,0,0,2,2,2,0,0,0,13,3,3,50.0
Schlupp,Crystal Palace,0,0,0,1,0,0,0,0,0,6,3,4,42.9
Esse,Crystal Palace,0,0,0,1,0,0,0,0,0,2,1,1,50.0
França,Crystal Palace,0,0,0,0,0,0,0,0,0,2,0,0,
Ayew,Crystal Palace,1,0,0,1,0,0,0,0,0,1,1,1,50.0
Kporha,Crystal Palace,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Agbinone,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ward,Crystal Palace,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Pickford,Everton,7,0,0,0,7,0,0,0,0,33,4,1,80.0
Tarkowski,Everton,6,0,0,35,28,2,0,1,0,98,102,33,75.6
Mykolenko,Everton,3,0,0,21,30,3,0,1,0,81,47,37,56.0
Idrissa Gana Gueye,Everton,8,0,0,52,43,0,0,0,0,182,23,15,60.5
Doucouré,Everton,5,1,1,47,5,10,0,0,0,145,29,43,40.3
Branthwaite,Everton,4,0,0,12,18,1,0,0,0,89,55,41,57.3
Ndiaye,Everton,3,0,0,24,48,5,0,0,0,163,6,19,24.0
Harrison,Everton,0,0,0,13,27,4,1,0,0,68,4,26,13.3
Calvert-Lewin,Everton,2,0,0,27,23,27,0,0,0,34,84,80,51.2
Young,Everton,6,1,0,26,19,0,0,0,0,66,10,11,47.6
Garner,Everton,3,0,0,19,15,0,0,0,0,66,10,8,55.6
O'Brien,Everton,5,0,0,13,4,3,0,0,0,51,33,27,55.0
Lindstrøm,Everton,2,0,0,15,10,1,0,0,0,70,6,12,33.3
McNeil,Everton,1,0,0,6,16,1,0,0,0,72,3,15,16.7
Mangala,Everton,2,0,0,24,17,2,0,0,0,49,6,8,42.9
Beto,Everton,2,0,0,31,20,14,0,0,0,33,86,95,47.5
Keane,Everton,5,0,0,9,0,0,0,0,0,25,23,18,56.1
Alcaraz,Everton,4,0,0,11,11,1,0,0,0,32,13,6,68.4
Iroegbunam,Everton,4,0,0,15,12,0,0,0,0,51,11,4,73.3
Broja,Everton,1,0,0,6,4,3,0,0,0,9,18,21,46.2
Patterson,Everton,1,0,0,6,1,0,0,0,0,12,1,7,12.5
Coleman,Everton,1,0,0,0,1,0,0,0,0,7,2,1,66.7
Dixon,Everton,0,0,0,0,0,0,0,0,0,6,0,3,0.0
Armstrong,Everton,1,0,0,2,2,0,0,0,0,2,0,2,0.0
Chermiti,Everton,1,0,0,1,1,2,0,0,0,0,2,1,66.7
Holgate,Everton,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Leno,Fulham,4,0,0,0,3,0,0,0,0,48,9,1,90.0
Iwobi,Fulham,1,0,0,18,18,5,0,0,0,133,6,31,16.2
Robinson,Fulham,8,0,0,31,17,6,0,0,0,148,45,25,64.3
Bassey,Fulham,7,0,0,26,31,2,0,0,0,163,41,32,56.2
Jiménez,Fulham,4,0,0,39,38,14,1,0,0,77,81,95,46.0
Andersen,Fulham,5,1,0,17,17,0,0,0,1,111,67,38,63.8
Lukić,Fulham,12,0,0,62,26,0,0,0,0,107,18,24,42.9
Berge,Fulham,6,0,0,31,10,0,0,0,0,122,28,21,57.1
Pereira,Fulham,7,0,0,28,24,1,1,0,0,100,12,21,36.4
Emile Smith Rowe,Fulham,2,0,0,18,14,4,0,0,0,73,6,17,26.1
Tete,Fulham,4,0,0,29,14,1,0,0,0,66,18,15,54.5
Castagne,Fulham,1,0,0,15,6,1,0,1,0,57,34,35,49.3
Traoré,Fulham,3,0,0,20,29,1,0,0,0,78,25,26,49.0
Diop,Fulham,2,0,0,10,4,0,0,0,1,45,20,12,62.5
Wilson,Fulham,2,0,0,11,21,1,1,0,0,53,5,18,21.7
Muniz,Fulham,1,0,0,11,31,3,0,0,0,14,67,63,51.5
Sessegnon,Fulham,1,0,0,19,4,1,0,0,0,29,8,11,42.1
Nelson,Fulham,1,0,0,6,9,1,0,0,0,29,0,4,0.0
Cuenca,Fulham,0,0,0,2,2,0,0,0,0,9,6,3,66.7
Cairney,Fulham,3,1,0,8,18,0,0,0,0,45,4,8,33.3
Willian,Fulham,0,0,0,1,0,0,0,0,0,14,1,3,25.0
King,Fulham,0,0,0,3,2,0,0,0,0,3,0,1,0.0
Reed,Fulham,2,0,0,6,2,0,0,1,0,10,1,2,33.3
Godo,Fulham,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Vinícius,Fulham,0,0,0,0,2,0,0,0,0,0,0,0,
Stansfield,Fulham,0,0,0,1,0,0,0,0,0,0,0,0,
O'Shea,Ipswich Town,6,0,0,18,22,3,0,0,0,106,105,79,57.1
Delap,Ipswich Town,10,0,0,68,50,13,2,0,0,67,54,74,42.2
Davis,Ipswich Town,5,1,0,25,30,3,0,2,0,111,33,22,60.0
Morsy,Ipswich Town,10,0,0,46,25,0,0,1,1,145,18,23,43.9
Hutchinson,Ipswich Town,5,0,0,29,39,4,0,0,0,99,6,25,19.4
Greaves,Ipswich Town,5,0,0,13,20,1,0,0,0,53,71,38,65.1
Cajuste,Ipswich Town,2,0,0,22,21,0,0,0,0,99,12,22,35.3
Muric,Ipswich Town,1,0,0,0,4,0,0,0,0,26,11,1,91.7
Tuanzebe,Ipswich Town,5,1,1,13,12,0,0,0,1,43,18,17,51.4
Burgess,Ipswich Town,0,0,0,6,4,1,0,0,0,44,44,22,66.7
Johnson,Ipswich Town,5,1,1,27,6,1,0,0,0,57,19,18,51.4
Phillips,Ipswich Town,6,1,1,28,20,0,0,0,0,68,7,22,24.1
Szmodics,Ipswich Town,2,0,0,9,8,8,0,1,0,41,6,11,35.3
Woolfenden,Ipswich Town,2,0,0,5,2,1,0,0,0,38,15,15,50.0
Palmer,Ipswich Town,2,0,0,1,3,0,0,0,0,15,5,0,100.0
Burns,Ipswich Town,1,0,0,4,11,0,0,0,0,50,8,21,27.6
Clarke,Ipswich Town,2,0,0,15,21,3,0,0,0,68,7,17,29.2
Enciso,Ipswich Town,3,0,0,9,20,0,0,1,0,42,8,17,32.0
Chaplin,Ipswich Town,2,0,0,11,6,0,0,0,0,25,2,9,18.2
Broadhead,Ipswich Town,1,0,0,4,13,2,0,0,0,30,1,9,10.0
Walton,Ipswich Town,0,0,0,0,1,0,0,0,0,5,2,0,100.0
Jaden Philogene Bidace,Ipswich Town,1,0,0,8,10,1,0,0,0,23,5,3,62.5
Taylor,Ipswich Town,4,0,0,16,5,0,0,0,0,51,7,7,50.0
Clarke,Ipswich Town,3,1,1,5,1,0,0,1,0,17,10,4,71.4
Hirst,Ipswich Town,3,0,0,12,10,2,0,0,0,9,31,20,60.8
Townsend,Ipswich Town,1,0,0,2,4,0,0,0,0,8,6,4,60.0
Ogbene,Ipswich Town,0,0,0,2,7,1,0,0,0,6,1,6,14.3
Luongo,Ipswich Town,0,0,0,1,2,0,0,0,0,10,1,0,100.0
Godfrey,Ipswich Town,1,0,0,1,0,0,0,0,0,2,3,0,100.0
Ali Al Hamadi,Ipswich Town,3,0,0,8,3,1,0,0,0,4,5,9,35.7
Harness,Ipswich Town,0,0,0,0,0,1,0,0,0,2,0,0,
Edmundson,Ipswich Town,0,0,0,0,0,0,0,0,0,0,0,0,
Vardy,Leicester City,5,0,0,22,22,27,2,0,0,39,49,52,48.5
Justin,Leicester City,6,0,0,28,39,2,0,0,0,80,63,50,55.8
Faes,Leicester City,4,0,0,21,11,1,0,0,0,87,44,34,56.4
Victor Bernth Kristiansen,Leicester City,1,0,0,17,17,3,0,1,1,97,19,42,31.1
Hermansen,Leicester City,1,0,0,0,3,0,0,0,0,17,4,1,80.0
Ndidi,Leicester City,8,0,0,39,18,3,0,0,1,125,59,56,51.3
Bilal El Khannouss,Leicester City,4,0,0,28,13,1,0,0,0,89,19,23,45.2
Soumaré,Leicester City,8,0,0,21,21,0,0,0,0,130,21,9,70.0
Winks,Leicester City,4,0,0,9,13,0,0,0,0,106,8,6,57.1
Coady,Leicester City,2,0,0,7,2,1,0,2,0,52,13,20,39.4
Ayew,Leicester City,5,0,0,29,50,6,0,0,0,90,34,63,35.1
Mavididi,Leicester City,2,0,0,18,18,3,0,0,0,83,9,15,37.5
Vestergaard,Leicester City,5,0,0,12,4,0,0,0,1,46,26,19,57.8
Buonanotte,Leicester City,8,0,0,37,34,3,0,0,0,79,18,35,34.0
Okoli,Leicester City,4,0,0,16,9,0,0,0,0,44,23,21,52.3
Thomas,Leicester City,2,0,0,9,6,0,0,1,0,36,13,11,54.2
Skipp,Leicester City,8,0,0,20,13,0,0,0,0,42,11,6,64.7
Bobby De Cordova-Reid,Leicester City,2,0,0,9,9,4,1,0,0,29,6,14,30.0
Stolarczyk,Leicester City,1,0,0,0,0,0,0,0,0,8,4,0,100.0
McAteer,Leicester City,2,0,0,15,14,2,0,0,0,35,12,16,42.9
Abdul Fatawu Issahaku,Leicester City,0,0,0,11,20,2,0,0,0,38,14,13,51.9
Daka,Leicester City,0,0,0,12,17,3,0,0,0,18,10,27,27.0
Pereira,Leicester City,1,0,0,4,6,0,0,0,0,16,4,2,66.7
Ward,Leicester City,0,0,0,0,0,0,0,0,0,1,0,0,
Choudhury,Leicester City,0,0,0,1,0,0,0,0,0,2,0,0,
Coulibaly,Leicester City,1,0,0,2,1,0,0,0,0,14,0,3,0.0
Monga,Leicester City,0,0,0,0,2,0,0,0,0,9,0,1,0.0
Édouard,Leicester City,0,0,0,2,0,0,0,0,0,1,1,1,50.0
Evans,Leicester City,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Alves,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,
Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,
Virgil van Dijk,Liverpool,4,0,0,16,12,0,0,0,0,112,112,46,70.9
Salah,Liverpool,1,0,0,25,38,17,0,0,0,98,9,12,42.9
Gravenberch,Liverpool,5,0,0,43,47,0,0,0,0,185,26,14,65.0
Alexis Mac Allister,Liverpool,6,0,0,62,40,2,0,0,0,148,19,34,35.8
Konaté,Liverpool,5,0,0,27,19,0,0,0,0,89,74,29,71.8
Robertson,Liverpool,3,1,0,11,8,2,0,1,1,99,7,13,35.0
Alexander-Arnold,Liverpool,5,0,0,11,8,1,0,0,0,130,3,13,18.8
Szoboszlai,Liverpool,6,0,0,40,24,4,0,0,0,126,18,22,45.0
Díaz,Liverpool,2,0,0,48,31,10,2,0,0,102,12,34,26.1
Alisson,Liverpool,0,0,0,0,2,0,0,0,0,44,6,0,100.0
Gakpo,Liverpool,5,0,0,18,27,5,1,0,0,72,15,24,38.5
Jones,Liverpool,3,1,1,17,24,1,1,0,0,89,13,12,52.0
Jota,Liverpool,2,0,0,22,14,1,1,0,0,40,22,30,42.3
Kelleher,Liverpool,0,0,0,0,3,0,0,0,0,18,1,0,100.0
Núñez,Liverpool,8,0,0,27,14,12,1,0,0,40,17,31,35.4
Tsimikas,Liverpool,2,0,0,9,6,1,0,0,0,27,5,6,45.5
Gomez,Liverpool,1,0,0,2,3,0,0,0,0,34,9,4,69.2
Bradley,Liverpool,4,0,0,12,12,1,0,0,0,42,11,7,61.1
Quansah,Liverpool,2,0,0,9,1,0,0,1,1,16,6,10,37.5
Elliott,Liverpool,1,0,0,0,0,1,0,0,0,10,1,2,33.3
Endo,Liverpool,0,0,0,14,6,0,0,0,0,12,2,3,40.0
Chiesa,Liverpool,0,0,0,2,1,0,0,0,0,4,0,1,0.0
Jaros,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,
Danns,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,
Gvardiol,Manchester City,2,0,0,14,24,3,0,0,0,132,50,36,58.1
Haaland,Manchester City,2,0,0,23,12,4,0,0,0,31,52,48,52.0
Silva,Manchester City,7,0,0,27,29,3,0,0,0,97,5,10,33.3
Ederson,Manchester City,3,0,0,1,0,0,0,1,0,39,4,1,80.0
Kovačić,Manchester City,5,0,0,23,25,0,0,0,0,113,10,9,52.6
Dias,Manchester City,4,0,0,12,8,0,0,1,1,73,34,33,50.7
Gündoğan,Manchester City,1,0,0,15,21,0,0,0,0,105,13,11,54.2
Lewis,Manchester City,5,1,1,12,34,0,0,0,0,95,6,14,30.0
Akanji,Manchester City,3,0,0,17,9,0,0,0,0,96,30,30,50.0
Sávio,Manchester City,3,0,0,17,27,3,2,0,0,79,1,2,33.3
Foden,Manchester City,2,0,0,5,34,3,0,0,0,60,3,9,25.0
