player_name,team,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percent,wins,draws,losses,clean_sheets,clean_sheet_percent,pk_attempted,pk_allowed,pk_saved,pk_missed,pk_save_percent
Matz Sels,Nottingham Forest,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0
Squad Total,Nottingham Forest,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0
Opponent Total,Nottingham Forest,58,1.53,165,108,66.7,11,8,19,8,21.1,3,3,0,0,0.0
Aaron Ramsdale,Southampton,66,2.2,188,120,67.6,2,5,23,3,10.0,7,5,2,0,28.6
Alex McCarthy,Southampton,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0
Joe Lumley,Southampton,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,
Squad Total,Southampton,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2
Opponent Total,Southampton,26,0.68,108,81,75.9,30,6,2,16,42.1,2,0,2,0,100.0
Guglielmo Vicario,Tottenham,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0.0
Fraser Forster,Tottenham,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0
Antonín Kinský,Tottenham,11,1.83,32,23,65.6,1,0,5,1,16.7,0,0,0,0,
Brandon Austin,Tottenham,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Squad Total,Tottenham,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0
Opponent Total,Tottenham,64,1.68,181,119,66.3,22,5,11,9,23.7,4,3,1,0,25.0
Alphonse Areola,West Ham,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,0,
Łukasz Fabiański,West Ham,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0,0.0
Squad Total,West Ham,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0
Opponent Total,West Ham,46,1.21,140,97,69.3,17,10,11,8,21.1,3,3,0,0,0.0
José Sá,Wolves,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6
Sam Johnstone,Wolves,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0
Daniel Bentley,Wolves,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,
Tom King,Wolves,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
Squad Total,Wolves,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2
Opponent Total,Wolves,54,1.42,155,102,65.2,20,6,12,7,18.4,0,0,0,0,
