Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Guimarães,BRA,MF,27,34.3,2063,77,417,1057,612,77,2063,76,34,44.7,25,32.9,1321,7193,3191,54,40,12,54,73,1547,88
Burn,ENG,DF,33,35.0,2249,353,1251,886,118,51,2249,4,3,75.0,1,25.0,1281,5951,2582,9,6,1,23,3,1518,12
Isak,SWE,FW,25,29.6,988,20,57,368,577,186,984,88,42,47.7,44,50.0,589,3605,1800,82,42,43,65,54,706,206
Schär,SUI,DF,33,30.6,2172,247,1118,928,137,34,2172,12,8,66.7,2,16.7,1363,6132,3502,14,23,2,11,6,1516,19
Livramento,ENG,DF,22,29.6,1847,111,586,849,439,35,1847,50,22,44.0,21,42.0,961,5806,3075,74,39,11,28,35,1071,102
Joelinton,BRA,"MF,FW",28,26.6,1360,67,256,670,448,83,1360,46,15,32.6,28,60.9,729,3598,1786,40,26,9,39,53,934,110
Murphy,ENG,FW,30,24.8,1194,24,171,443,592,91,1194,67,33,49.3,31,46.3,695,4115,2211,73,34,26,31,36,858,225
Tonali,ITA,MF,25,27.2,1682,63,383,932,393,43,1682,35,19,54.3,13,37.1,907,5002,2069,33,35,5,27,23,1167,49
Pope,ENG,GK,33,26.0,804,636,793,11,0,0,804,0,0,,0,,414,2374,1613,0,0,0,0,1,282,0
Gordon,ENG,FW,24,25.5,1204,16,119,455,649,125,1202,98,35,35.7,45,45.9,778,5786,3086,113,58,56,32,37,875,203
Hall,ENG,DF,20,24.3,1820,95,623,804,414,47,1820,21,11,52.4,7,33.3,950,4398,2358,41,22,13,33,20,1094,80
Barnes,ENG,FW,27,17.7,756,15,91,241,430,119,756,63,24,38.1,32,50.8,525,3983,2323,89,45,47,29,22,604,186
Trippier,ENG,DF,34,14.2,1347,50,373,594,389,12,1347,8,4,50.0,4,50.0,587,2138,1158,25,14,4,11,8,818,53
Willock,ENG,"MF,FW",25,11.4,503,12,73,214,227,51,503,34,12,35.3,16,47.1,302,2082,984,36,27,14,35,23,347,82
Dúbravka,SVK,GK,36,10.0,350,262,337,14,0,0,350,0,0,,0,,202,1043,643,0,0,0,0,0,175,0
Longstaff,ENG,MF,27,8.9,434,24,123,193,121,21,434,7,2,28.6,4,57.1,248,1176,429,4,10,2,9,7,308,22
Kelly,ENG,DF,26,3.4,215,26,105,94,19,4,215,3,2,66.7,1,33.3,120,474,202,0,2,0,3,2,129,5
Botman,NED,DF,25,3.2,214,33,92,116,9,6,214,3,1,33.3,1,33.3,102,448,220,0,1,0,2,1,137,0
Krafth,SWE,DF,30,3.5,181,33,95,65,23,4,181,1,0,0.0,1,100.0,78,390,172,5,5,0,2,2,91,3
Wilson,ENG,FW,33,3.2,77,1,5,46,29,16,77,6,1,16.7,3,50.0,38,213,93,5,4,5,11,8,46,12
Miley,ENG,MF,19,3.2,212,5,40,112,61,6,212,3,1,33.3,1,33.3,104,518,192,2,1,0,8,1,149,8
Almirón,PAR,FW,31,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18
Osula,DEN,FW,21,1.2,41,1,2,17,22,4,41,6,3,50.0,3,50.0,25,151,55,2,1,0,5,5,27,12
Targett,ENG,DF,29,0.2,17,0,3,8,6,0,17,0,0,,0,,4,12,6,0,0,0,0,0,12,1
