Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Leno,GER,GK,33,36.0,1405,1126,1394,11,0,0,1405,0,0,,0,,920,3765,2120,0,0,0,0,0,825,0
Iwobi,NGA,"FW,MF",29,32.1,1797,32,236,720,867,113,1797,91,46,50.5,40,44.0,1270,7715,4243,140,104,37,57,39,1403,234
Robinson,USA,DF,27,33.2,2404,128,765,911,763,67,2404,78,34,43.6,33,42.3,1278,7011,4057,114,60,29,41,18,1440,265
Bassey,NGA,DF,25,33.2,2413,314,1171,1136,131,19,2413,33,15,45.5,11,33.3,1545,8041,4865,39,20,5,33,8,1685,15
Jiménez,MEX,FW,34,25.7,944,30,109,407,444,159,941,48,20,41.7,25,52.1,523,2408,1060,33,24,17,66,42,697,123
Andersen,DEN,DF,28,26.7,2183,304,1128,971,96,21,2183,6,4,66.7,0,0.0,1272,6244,3320,16,14,1,6,3,1515,2
Lukić,SRB,MF,28,24.1,1394,50,303,797,307,18,1394,17,8,47.1,5,29.4,775,4150,2083,37,39,4,22,8,897,29
Berge,NOR,MF,27,24.2,1345,78,365,774,212,13,1345,20,11,55.0,6,30.0,785,4325,2000,28,23,2,15,16,873,9
Pereira,BRA,MF,29,21.7,1130,19,162,461,525,42,1129,30,14,46.7,8,26.7,573,2759,1339,29,38,9,27,21,669,80
Emile Smith Rowe,ENG,MF,24,21.6,1173,20,158,564,461,57,1173,34,16,47.1,15,44.1,758,3673,1909,52,40,12,35,16,903,121
Tete,NED,DF,29,17.7,1096,61,346,457,303,32,1096,20,9,45.0,6,30.0,572,2679,1281,33,20,7,16,10,641,49
Castagne,BEL,DF,29,18.3,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67
Traoré,ESP,"FW,MF",29,18.0,746,4,75,264,429,88,746,94,47,50.0,35,37.2,495,4230,2295,91,42,33,34,21,564,148
Diop,FRA,DF,28,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3
Wilson,WAL,"FW,MF",28,12.0,547,9,73,190,294,54,547,24,9,37.5,10,41.7,316,1703,743,18,18,9,16,5,360,89
Muniz,BRA,FW,24,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31
Sessegnon,ENG,"FW,DF",24,6.1,346,15,86,126,139,42,346,18,5,27.8,10,55.6,170,942,485,15,13,9,19,7,198,56
Nelson,ENG,FW,25,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63
Cuenca,ESP,DF,25,2.9,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0
Cairney,SCO,MF,34,5.7,600,6,89,315,205,15,600,12,4,33.3,4,33.3,398,1916,934,15,16,4,6,4,486,32
Willian,BRA,"FW,MF",36,2.9,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33
King,ENG,MF,18,1.0,63,2,8,21,35,8,63,7,4,57.1,3,42.9,25,181,71,1,3,0,1,3,42,13
Reed,ENG,MF,30,1.2,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7
Godo,ENG,"FW,DF",22,0.3,25,0,1,7,17,7,25,4,1,25.0,3,75.0,18,155,87,2,0,2,0,0,15,6
Vinícius,BRA,"MF,FW",30,0.2,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3
Stansfield,ENG,MF,22,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
