Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
Dara O'Shea,ie IRL,DF,26-070,32.7,1892,377,1104,673,120,48,1892,2,1,50.0,1,50.0,826,3658,1837,3,2,0,11,4,1082,8,Matches
Liam Delap,eng ENG,FW,22-094,28.4,674,29,78,287,331,90,672,86,40,46.5,37,43.0,440,3274,1579,60,46,29,101,58,530,107,Matches
Leif Davis,eng ENG,DF,25-121,28.5,1459,115,517,484,477,36,1459,37,13,35.1,17,45.9,659,3571,1940,48,27,10,36,14,770,117,Matches
Sam Morsy,eg EGY,MF,33-245,28.6,1557,94,469,887,217,4,1557,24,13,54.2,8,33.3,777,4227,1856,18,20,2,15,11,1038,9,Matches
Omari Hutchinson,eng ENG,"MF,FW",21-195,26.7,1146,14,183,485,500,80,1146,123,47,38.2,60,48.8,698,5410,2614,82,36,33,74,56,806,142,Matches
Jacob Greaves,eng ENG,DF,24-243,22.5,1263,259,681,502,84,19,1263,5,4,80.0,1,20.0,547,2359,1003,8,9,0,10,2,764,9,Matches
Jens Cajuste,se SWE,MF,25-276,20.1,923,59,267,483,187,11,923,46,25,54.3,15,32.6,426,2318,1200,23,21,3,21,15,530,16,Matches
Arijanet Muric,xk KVX,GK,26-187,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,Matches
Axel Tuanzebe,cd COD,DF,27-180,17.0,847,94,368,368,117,6,847,10,4,40.0,6,60.0,347,1540,748,9,6,1,11,1,442,9,Matches
Cameron Burgess,au AUS,DF,29-204,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4,Matches
