Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Unnamed: 27_level_0 Matches
André Onana,cm CMR,GK,29-041,33.0,1323,1005,1302,22,0,0,1323,0,0,,0,,932,4682,2615,0,0,0,1,0,810,0,Matches
Bruno Fernandes,pt POR,MF,30-247,31.6,2491,62,409,1183,922,72,2488,66,27,40.9,33,50.0,1437,6746,3595,67,62,11,39,38,1740,120,Matches
Noussair Mazraoui,ma MAR,DF,27-180,30.3,2060,163,806,948,331,28,2060,47,26,55.3,17,36.2,1135,5299,2819,41,32,3,24,16,1249,51,Matches
Diogo Dalot,pt POR,DF,26-056,31.0,1965,113,658,767,557,66,1965,53,27,50.9,22,41.5,1111,4912,2684,62,37,16,37,21,1186,164,Matches
Matthijs de Ligt,nl NED,DF,25-274,23.6,1608,184,828,731,56,29,1608,4,2,50.0,2,50.0,1078,4744,2225,7,3,0,5,3,1158,6,Matches
Alejandro Garnacho,ar ARG,"MF,FW",20-316,24.2,1153,13,128,362,681,175,1153,89,26,29.2,55,61.8,836,6340,3237,140,72,66,63,48,883,290,Matches
Manuel Ugarte Ribeiro,uy URU,MF,24-032,19.6,1145,45,324,632,209,16,1145,32,18,56.3,10,31.3,657,2855,1336,16,16,1,31,25,716,20,Matches
Rasmus Højlund,dk DEN,FW,22-098,20.4,474,6,33,232,218,67,474,31,9,29.0,20,64.5,290,1446,648,27,13,17,58,30,376,94,Matches
Lisandro Martínez,ar ARG,DF,27-115,19.5,1524,156,713,697,125,18,1524,7,6,85.7,1,14.3,1017,5141,3129,23,23,2,1,3,1069,7,Matches
Kobbie Mainoo,eng ENG,MF,20-024,17.7,1034,25,191,579,274,35,1034,50,23,46.0,25,50.0,631,2792,1196,22,15,10,36,35,738,45,Matches
Amad Diallo,ci CIV,"FW,MF",22-306,19.1,1104,14,160,407,554,120,1104,82,39,47.6,39,47.6,712,4897,2511,99,49,60,39,32,773,175,Matches
Harry Maguire,eng ENG,DF,32-069,17.5,1183,140,581,547,70,41,1183,5,2,40.0,3,60.0,694,4273,1755,6,7,3,8,2,761,7,Matches
Casemiro,br BRA,MF,33-079,14.8,1091,69,327,555,217,38,1091,6,3,50.0,3,50.0,575,1774,823,4,10,0,10,10,697,26,Matches
Joshua Zirkzee,nl NED,"FW,MF",23-356,15.6,587,16,71,303,219,56,587,35,11,31.4,24,68.6,327,1483,523,14,21,4,41,30,418,69,Matches
Leny Yoro,fr FRA,DF,19-181,12.9,894,87,413,414,70,13,894,4,2,50.0,2,50.0,614,3173,1765,19,13,1,3,4,656,4,Matches
Marcus Rashford,eng ENG,"FW,MF",27-194,10.9,440,3,35,189,222,34,440,39,9,23.1,26,66.7,293,1694,728,20,19,12,14,6,341,79,Matches
Christian Eriksen,dk DEN,MF,33-088,11.5,828,24,168,391,273,15,828,4,0,0.0,4,100.0,459,1718,797,12,13,1,12,5,551,29,Matches
Patrick Dorgu,dk DEN,DF,20-199,7.4,467,15,126,160,183,24,467,10,3,30.0,3,30.0,260,1424,883,30,14,5,10,9,297,58,Matches
Mason Mount,eng ENG,MF,26-123,5.4,264,9,36,132,99,22,264,8,1,12.5,6,75.0,164,825,356,12,9,2,10,9,192,28,Matches
Victor Lindelöf,se SWE,DF,30-300,5.8,300,43,168,119,14,3,300,0,0,,0,,161,763,345,2,2,0,1,1,197,3,Matches
Harry Amass,eng ENG,DF,18-058,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50.0,132,705,376,9,6,2,18,5,124,23,Matches
Jonny Evans,nir NIR,DF,37-130,3.2,223,30,125,91,11,2,223,1,1,100.0,0,0.0,128,498,183,1,0,0,1,0,137,2,Matches
Altay Bayındır,tr TUR,GK,27-029,3.0,141,119,139,2,0,0,141,0,0,,0,,97,383,163,0,0,0,0,0,91,0,Matches
Luke Shaw,eng ENG,DF,29-305,3.0,272,21,107,125,40,4,272,1,0,0.0,1,100.0,191,948,478,7,8,0,2,0,212,7,Matches
Tyler Fredricson,eng ENG,DF,20-079,1.8,141,11,64,68,9,1,141,1,1,100.0,0,0.0,86,279,114,2,1,0,2,0,95,0,Matches
Tyrell Malacia,nl NED,DF,25-269,1.1,62,2,20,27,15,0,62,1,1,100.0,0,0.0,37,190,118,3,2,0,1,2,43,6,Matches
Chidozie Obi-Martin,dk DEN,FW,17-165,1.7,44,3,6,19,19,8,44,3,1,33.3,2,66.7,22,114,50,2,0,1,5,1,29,12,Matches
Ayden Heaven,eng ENG,DF,18-233,1.1,67,21,42,23,3,1,67,2,2,100.0,0,0.0,42,245,122,1,1,0,2,1,40,1,Matches
Toby Collyer,eng ENG,MF,21-130,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2,Matches
Antony,br BRA,"DF,MF",25-078,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
Scott McTominay,sct SCO,MF,28-156,0.2,14,1,3,8,3,1,14,1,0,0.0,1,100.0,10,68,44,0,0,0,1,1,9,2,Matches
Squad Total,,,26.2,36.0,23379,2424,8133,9906,5557,905,23376,603,248,41.1,310,51.4,14256,70967,35856,653,454,218,491,339,15728,1337,
Opponent Total,,,27.2,36.0,21149,2383,6729,9445,5198,768,21144,734,306,41.7,377,51.4,11766,63021,31943,640,510,175,465,397,13572,1120,
