Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Sels,BEL,GK,33-077,36.0,1041,794,1024,17,0,0,1041,0,0,,0,,496,2982,1526,0,1,1,0,0,398,0
Milenković,SRB,DF,27-214,35.0,1316,243,720,518,82,59,1316,1,1,100.0,0,0.0,509,2175,1027,3,3,2,2,2,672,6
Murillo,BRA,DF,22-314,33.4,1792,400,921,789,96,21,1792,33,26,78.8,7,21.2,760,3849,2286,20,24,1,18,10,912,5
Aina,NGA,DF,28-218,31.4,1609,151,583,679,377,21,1609,69,32,46.4,25,36.2,705,4530,2650,63,42,10,42,22,773,59
Wood,NZL,FW,33-158,30.9,720,37,85,342,295,95,717,12,4,33.3,7,58.3,348,1211,470,14,11,5,74,24,527,88
Gibbs-White,ENG,MF,25-107,29.2,1543,34,179,785,604,87,1543,75,30,40.0,34,45.3,866,4844,2485,66,50,12,70,40,1155,126
Anderson,ENG,MF,22-189,28.4,1704,96,406,818,510,63,1704,74,36,48.6,29,39.2,867,4730,2185,47,32,19,56,46,1009,87
Elanga,SWE,"FW,MF",23-017,25.8,1039,29,133,304,619,102,1039,79,25,31.6,36,45.6,553,4183,2346,91,42,43,72,40,700,202
Williams,WAL,DF,24-031,26.8,1447,145,516,527,423,40,1447,45,18,40.0,19,42.2,600,3692,2052,65,28,16,31,19,689,95
Hudson-Odoi,ENG,"FW,MF",24-188,23.9,1005,15,111,324,595,72,1005,62,36,58.1,18,29.0,626,5261,3335,127,61,45,44,23,764,186
Domínguez,ARG,"MF,FW",26-320,20.1,1131,73,277,593,271,30,1131,8,3,37.5,3,37.5,427,1678,833,14,13,2,20,10,626,30
Yates,ENG,MF,27-174,21.0,1012,79,269,494,260,40,1012,18,9,50.0,5,27.8,412,1986,904,17,18,1,23,18,530,15
Moreno,ESP,"DF,MF",31-340,10.6,559,60,210,202,158,8,559,21,8,38.1,8,38.1,229,1470,864,26,16,4,13,6,258,34
Morato,BRA,DF,23-318,10.0,449,88,266,166,19,2,449,2,2,100.0,0,0.0,160,786,415,1,2,0,6,3,204,1
Silva,POR,"FW,MF",25-286,9.4,348,19,82,98,179,45,348,33,10,30.3,14,42.4,173,1132,613,20,13,8,24,12,199,58
Sangaré,CIV,MF,27-163,5.0,320,15,79,196,47,7,320,1,0,0.0,1,100.0,138,578,218,1,2,0,5,1,190,3
Ward-Prowse,ENG,MF,30-194,4.4,205,13,49,115,45,1,205,0,0,,0,,92,407,170,1,3,0,3,3,115,3
Danilo,BRA,"MF,FW",24-015,3.0,140,8,50,78,13,0,140,6,3,50.0,3,50.0,49,217,61,2,0,0,6,0,83,1
Awoniyi,NGA,FW,27-275,4.6,167,5,16,78,74,21,167,9,4,44.4,5,55.6,90,402,183,6,5,2,19,19,113,20
Sosa,PAR,"FW,MF",25-256,3.3,154,6,36,48,77,15,154,13,8,61.5,5,38.5,75,601,333,12,7,5,6,5,81,17
Boly,CIV,DF,34-100,1.7,97,22,63,32,2,1,97,0,0,,0,,35,128,45,0,0,0,1,0,46,0
Toffolo,ENG,DF,29-268,1.5,88,9,32,22,34,2,88,0,0,,0,,17,57,23,0,0,0,0,0,30,4
Eric da Silva Moreira,GER,"MF,DF",19-011,0.3,13,3,7,4,2,0,13,1,0,0.0,1,100.0,4,26,11,1,0,0,1,0,3,1
