Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Virgil van Dijk,NED,DF,33-309,36.0,3181,443,1295,1736,160,48,3181,5,3,60.0,2,40.0,1779,8423,4592,18,22,3,9,5,2191,6,Matches
Salah,EGY,FW,32-332,35.5,1602,10,93,481,1048,337,1593,129,55,42.6,67,51.9,1099,6660,3508,148,55,119,112,64,1339,455,Matches
Gravenberch,NED,MF,22-362,33.4,2214,108,463,1290,490,25,2214,76,36,47.4,28,36.8,1311,6856,3467,66,71,10,51,23,1575,54,Matches
Alexis Mac Allister,ARG,MF,26-140,28.9,1860,56,284,960,637,60,1860,42,16,38.1,21,50.0,914,3773,2009,36,43,5,31,22,1227,80,Matches
Konaté,FRA,DF,25-353,26.8,2048,216,884,1058,112,23,2048,4,2,50.0,1,25.0,1202,5551,3196,21,13,0,8,2,1474,3,Matches
Robertson,SCO,DF,31-063,26.6,2006,90,528,903,589,52,2006,18,7,38.9,10,55.6,1058,4771,2779,62,50,6,25,11,1336,97,Matches
Alexander-Arnold,ENG,DF,26-218,25.8,2193,86,582,987,638,44,2193,35,16,45.7,17,48.6,1151,5264,2812,50,36,9,19,15,1397,90,Matches
Szoboszlai,HUN,MF,24-200,26.3,1498,28,206,723,589,99,1498,39,20,51.3,16,41.0,766,3941,2212,68,46,18,36,23,1021,122,Matches
Díaz,COL,FW,28-120,25.6,1134,16,85,395,674,159,1134,113,51,45.1,50,44.2,747,5474,2879,106,53,55,54,44,897,274,Matches
Alisson,BRA,GK,32-223,25.9,903,660,886,17,0,0,903,1,1,100.0,0,0.0,583,2319,1372,0,0,0,1,0,550,0,Matches
Gakpo,NED,FW,26-006,19.8,820,23,82,239,516,94,820,54,29,53.7,17,31.5,559,3970,2054,53,32,22,41,22,624,256,Matches
Jones,ENG,"MF,DF",24-103,17.7,1182,38,203,628,359,54,1182,20,12,60.0,7,35.0,723,3555,1704,26,19,7,23,33,891,73,Matches
Jota,POR,FW,28-160,13.0,462,5,30,190,249,94,462,32,11,34.4,19,59.4,252,1477,783,37,22,21,37,22,319,87,Matches
Kelleher,IRL,GK,26-171,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,Matches
Núñez,URU,FW,25-323,11.9,350,10,45,116,200,68,350,21,8,38.1,12,57.1,191,1041,562,23,19,12,23,20,237,73,Matches
Tsimikas,GRE,DF,29-001,8.3,689,29,169,307,218,12,689,11,4,36.4,5,45.5,342,1446,746,16,6,2,5,4,438,42,Matches
Gomez,ENG,DF,27-355,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches
Bradley,NIR,DF,21-308,7.0,563,25,171,253,150,36,563,21,9,42.9,10,47.6,310,1928,1137,28,19,8,9,3,343,31,Matches
Quansah,ENG,DF,22-104,4.5,377,47,191,160,26,5,377,2,1,50.0,1,50.0,220,1171,592,2,3,1,5,2,266,4,Matches
Elliott,ENG,"MF,FW",22-039,3.1,265,2,21,119,126,19,265,6,3,50.0,3,50.0,153,687,327,9,10,5,4,4,200,28,Matches
Endo,JPN,MF,32-093,2.6,196,7,49,110,38,3,196,2,2,100.0,0,0.0,88,291,84,0,0,1,6,3,138,5,Matches
Chiesa,ITA,FW,27-200,0.5,35,0,5,13,17,4,35,1,0,0.0,1,100.0,25,92,44,3,1,1,2,3,27,7,Matches
Jaros,CZE,GK,23-294,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches
Danns,ENG,MF,19-117,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
Total,,,28.0,36.0,24467,2244,6859,10951,6875,1241,24458,633,287,45.3,287,45.3,14074,71490,38431,777,522,306,503,328,17106,1789,
Total,,,26.9,36.0,19357,2986,7661,7680,4238,708,19355,706,300,42.5,326,46.2,10142,58637,30658,635,379,220,515,288,11881,1009,
