player,nation,position,age,90s_played,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
Walker-Peters,ENG,DF,28,32.4,2022,151,615,884,540,59,2022,92,38,41.3,39,42.4,1271,7917,4373,114,72,24,32,39,1433,144
Fernandes,POR,MF,20,30.3,1653,68,364,809,518,48,1653,102,46,45.1,45,44.1,854,5486,3038,75,68,9,55,33,1019,103
Harwood-Bellis,ENG,DF,23,30.5,2393,327,1118,1106,179,40,2393,3,3,100.0,0,0.0,1385,6503,3765,29,27,0,15,5,1730,9
Bednarek,POL,DF,29,28.1,2049,386,1091,924,41,15,2049,3,3,100.0,0,0.0,1046,3845,1742,5,5,1,9,3,1307,2
Ramsdale,ENG,GK,27,28.0,1240,896,1214,30,0,0,1240,0,0,,0,,746,3816,2258,0,0,0,3,0,665,0
Downes,ENG,MF,26,21.9,1218,86,368,645,214,21,1218,16,5,31.3,8,50.0,579,3169,1626,25,21,4,13,17,852,29
Aribo,NGA,"MF,DF",28,21.7,1223,50,301,636,297,44,1223,47,19,40.4,22,46.8,717,3941,1942,35,28,12,25,18,891,65
Dibling,ENG,"FW,MF",19,20.1,845,27,122,379,363,41,845,105,44,41.9,39,37.1,545,4299,2154,68,49,26,43,54,631,94
Manning,IRL,"DF,MF",28,16.2,968,72,260,397,321,22,968,36,11,30.6,16,44.4,483,2023,982,14,13,4,17,5,573,74
Ugochukwu,FRA,MF,21,17.4,848,46,206,481,167,24,848,26,18,69.2,7,26.9,467,2535,1218,29,15,6,12,13,578,20
Stephens,ENG,DF,31,14.4,1009,124,431,486,96,11,1009,4,0,0.0,4,100.0,570,2661,1218,13,12,1,3,3,710,2
Sugawara,JPN,"DF,MF",24,16.3,1023,61,306,395,327,29,1023,20,9,45.0,10,50.0,553,2517,1354,32,15,7,18,4,692,76
Sulemana,GHA,"FW,MF",23,14.1,536,15,76,198,281,53,536,94,34,36.2,52,55.3,349,2935,1448,59,34,25,45,23,380,81
Armstrong,ENG,"FW,MF",28,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79
Archer,ENG,FW,23,15.5,368,16,62,161,148,51,367,33,14,42.4,18,54.5,212,1088,500,20,9,14,35,25,258,65
Bree,ENG,DF,27,10.9,639,48,215,273,156,10,639,8,4,50.0,2,25.0,338,1497,752,12,12,0,7,5,408,37
Onuachu,NGA,FW,30,11.4,428,17,43,228,160,66,428,25,7,28.0,14,56.0,208,829,243,7,5,2,49,33,349,40
Wood-Gordon,ENG,DF,22,6.9,457,54,219,212,27,2,457,5,3,60.0,1,20.0,253,1150,454,2,6,0,4,1,339,0
Smallbone,IRL,MF,25,7.2,402,15,76,199,131,14,402,6,4,66.7,2,33.3,182,774,391,5,9,1,11,5,243,23
McCarthy,ENG,GK,35,5.0,173,141,173,0,0,0,173,0,0,,0,,100,452,276,0,0,0,0,0,88,0
Lallana,ENG,MF,37,4.0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10
Brereton,CHI,FW,26,5.0,206,4,19,76,112,20,206,4,1,25.0,2,50.0,136,791,394,12,13,4,9,4,171,42
Fraser,SCO,"FW,DF",31,3.4,131,12,45,50,37,3,131,3,2,66.7,1,33.3,74,492,252,10,5,2,4,2,94,18
Welington,BRA,"DF,MF",24,3.4,179,21,78,61,43,3,179,5,3,60.0,1,20.0,63,247,125,3,3,1,8,2,72,10
Stewart,SCO,FW,28,3.2,102,8,22,41,39,6,102,2,1,50.0,1,50.0,51,203,63,1,0,1,6,7,76,6
Lumley,ENG,GK,30,3.0,164,116,161,3,0,0,164,0,0,,0,,103,476,296,0,0,0,0,0,108,0
Armel Bella Kotchap,GER,DF,23,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0
Taylor,ENG,DF,31,3.0,219,21,93,91,36,1,219,2,2,100.0,0,0.0,91,386,155,3,3,0,1,1,133,6
Grønbaek,DEN,"FW,MF",23,1.6,38,2,9,14,15,2,38,4,0,0.0,4,100.0,18,79,15,1,0,1,5,4,21,3
Cornet,CIV,FW,28,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5
Edozie,ENG,"DF,FW",22,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336,197,6,2,4,4,0,39,23
Robinson,ENG,"MF,FW",18,0.4,17,2,5,5,8,1,17,5,2,40.0,3,60.0,10,69,34,1,1,0,0,0,10,2
Amo-Ameyaw,ENG,"FW,DF",18,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3
Edwards,ENG,DF,22,0.1,6,3,4,2,0,0,6,0,0,,0,,3,10,0,0,0,0,0,0,5,0
Alcaraz,ARG,MF,22,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
