Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21.0,0,13,4,30.8,0.62,0.19,0.0,0.0,11.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Ibrahima Konaté,fr FRA,DF,26-234,19.8,0,7,2,28.6,0.35,0.1,0.0,0.0,10.4,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,19.9,2,38,12,31.6,1.91,0.6,0.05,0.17,24.7,8,0,0,2.4,2.4,0.06,-0.4,-0.4,Matches
Ryan Gravenberch,nl NED,MF,23-243,18.7,4,20,7,35.0,1.07,0.37,0.2,0.57,22.3,0,0,0,1.0,1.0,0.05,3.0,3.0,Matches
Milos Kerkez,hu HUN,DF,22-068,15.7,1,6,1,16.7,0.38,0.06,0.17,1.0,12.6,0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
Alexis Mac Allister,ar ARG,MF,27-021,15.4,0,26,5,19.2,1.68,0.32,0.0,0.0,19.0,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
Alisson,br BRA,GK,33-104,16.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,15.6,2,28,9,32.1,1.79,0.58,0.07,0.22,16.1,1,0,0,4.1,4.1,0.15,-2.1,-2.1,Matches
Cody Gakpo,nl NED,FW,26-252,14.9,5,44,8,18.2,2.94,0.54,0.11,0.63,15.8,0,0,0,4.8,4.8,0.11,0.2,0.2,Matches
Hugo Ekitike,fr FRA,FW,23-208,12.6,8,39,11,28.2,3.1,0.87,0.21,0.73,15.0,0,0,0,5.8,5.8,0.15,2.2,2.2,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,13.1,4,34,10,29.4,2.59,0.76,0.09,0.3,15.4,1,1,1,4.5,3.8,0.11,-0.5,-0.8,Matches
Conor Bradley,nir NIR,DF,22-189,10.3,0,6,0,0.0,0.58,0.0,0.0,,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Curtis Jones,eng ENG,MF,24-349,10.8,0,11,4,36.4,1.02,0.37,0.0,0.0,20.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Alexander Isak,se SWE,FW,26-115,5.6,2,15,4,26.7,2.68,0.71,0.13,0.5,13.7,0,0,0,2.0,2.0,0.14,0.0,0.0,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Andrew Robertson,sct SCO,DF,31-309,5.4,0,3,1,33.3,0.55,0.18,0.0,0.0,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Jeremie Frimpong,nl NED,"FW,DF",25-035,4.4,0,3,1,33.3,0.69,0.23,0.0,0.0,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Joe Gomez,eng ENG,DF,28-236,2.8,0,2,0,0.0,0.72,0.0,0.0,,13.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Federico Chiesa,it ITA,"FW,MF",28-081,2.7,2,12,2,16.7,4.5,0.75,0.17,1.0,14.3,0,0,0,1.2,1.2,0.1,0.8,0.8,Matches
Rio Ngumoha,eng ENG,"FW,MF",17-138,0.6,1,1,1,100.0,1.7,1.7,1.0,1.0,13.3,0,0,0,0.4,0.4,0.36,0.6,0.6,Matches
Wataru Endo,jp JPN,"MF,DF",32-339,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Trey Nyoni,eng ENG,FW,18-198,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,21.0,31,308,82,26.6,14.67,3.9,0.1,0.37,17.2,10,1,1,31.9,31.2,0.1,-0.9,-1.2,
Opponent Total,,,26.8,21.0,28,223,74,33.2,10.62,3.52,0.12,0.35,17.7,10,2,3,23.8,21.5,0.1,4.2,4.5,
