Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,0,7,3,42.9,0.33,0.14,0.0,0.0,6.5,0,0,0,1.3,1.3,0.18,-1.3,-1.3,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,2,32,8,25.0,1.53,0.38,0.06,0.25,22.4,7,0,0,1.5,1.5,0.05,0.5,0.5,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,0,7,2,28.6,0.36,0.1,0.0,0.0,10.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Michael Keane,eng ENG,DF,33-003,18.6,3,16,4,25.0,0.86,0.21,0.19,0.75,11.4,0,0,0,1.6,1.6,0.1,1.4,1.4,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,0,7,1,14.3,0.39,0.06,0.0,0.0,25.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,2,23,8,34.8,1.35,0.47,0.09,0.25,16.2,0,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,4,19,11,57.9,1.28,0.74,0.16,0.27,17.5,0,1,1,3.2,2.4,0.12,0.8,0.6,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,4,17,5,29.4,1.22,0.36,0.24,0.8,15.5,0,0,0,1.6,1.6,0.09,2.4,2.4,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,3,21,6,28.6,1.71,0.49,0.14,0.5,9.7,0,0,0,3.5,3.5,0.17,-0.5,-0.5,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,2,13,3,23.1,1.11,0.26,0.15,0.67,22.0,0,0,0,1.1,1.1,0.08,0.9,0.9,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,0,7,0,0.0,0.68,0.0,0.0,,21.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Beto,gw GNB,FW,27-348,9.3,2,22,6,27.3,2.37,0.65,0.09,0.33,10.3,0,0,0,4.7,4.7,0.21,-2.7,-2.7,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,0,18,5,27.8,2.44,0.68,0.0,0.0,17.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,0,7,1,14.3,1.3,0.19,0.0,0.0,19.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,0,4,0,0.0,1.1,0.0,0.0,,15.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Merlin Röhl,de GER,MF,23-193,3.0,0,6,0,0.0,2.01,0.0,0.0,,17.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,0,1,1,100.0,1.15,1.15,0.0,0.0,12.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.0,21.0,22,227,64,28.2,10.81,3.05,0.09,0.33,16.1,7,1,1,23.6,22.8,0.1,-1.6,-1.8,
Opponent Total,,,26.4,21.0,25,282,79,28.0,13.43,3.76,0.08,0.29,17.0,7,2,3,30.2,28.0,0.1,-5.2,-5.0,
