Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,1,11,5,45.5,0.53,0.24,0.09,0.2,21.0,1,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,0,13,3,23.1,0.67,0.15,0.0,0.0,21.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,1,9,2,22.2,0.47,0.11,0.11,0.5,13.2,0,0,0,0.7,0.7,0.08,0.3,0.3,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,2,15,0,0.0,0.86,0.0,0.0,,23.3,2,2,3,3.2,0.8,0.06,-1.2,-0.8,Matches
Omar Alderete,py PAR,DF,29-019,16.3,1,15,6,40.0,0.92,0.37,0.07,0.17,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,0,5,0,0.0,0.32,0.0,0.0,,19.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,2,17,7,41.2,1.25,0.51,0.12,0.29,9.0,0,0,0,1.4,1.4,0.08,0.6,0.6,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,0,3,0,0.0,0.26,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,4,33,12,36.4,3.04,1.11,0.12,0.33,14.2,0,0,0,3.4,3.4,0.1,0.6,0.6,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,0,5,1,20.0,0.46,0.09,0.0,0.0,23.4,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,2,13,4,30.8,1.32,0.41,0.15,0.5,17.1,0,0,0,1.2,1.2,0.09,0.8,0.8,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,16.8,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,1,13,6,46.2,1.92,0.89,0.08,0.17,17.0,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,3,14,6,42.9,1.78,0.76,0.21,0.5,11.9,0,0,0,1.9,1.9,0.14,1.1,1.1,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,0,4,0,0.0,0.95,0.0,0.0,,16.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,1,9,4,44.4,1.63,0.72,0.11,0.25,12.8,0,0,0,0.9,0.9,0.1,0.1,0.1,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,0,6,1,16.7,1.45,0.24,0.0,0.0,19.4,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,0,1,0,0.0,0.71,0.0,0.0,,12.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,0,5,2,40.0,2.53,1.01,0.0,0.0,17.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,0,1,0,0.0,3.21,0.0,0.0,,16.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Marc Guiu,es ESP,FW,20-010,0.2,0,1,0,0.0,6.0,0.0,0.0,,15.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Dan Neil,eng ENG,MF,24-032,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.9,21.0,19,199,61,30.7,9.48,2.9,0.09,0.28,16.1,3,2,3,18.5,16.1,0.08,0.5,0.9,
Opponent Total,,,26.8,21.0,21,312,92,29.5,14.86,4.38,0.07,0.23,17.1,6,0,1,30.6,29.8,0.1,-9.6,-8.8,
