Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Morgan Rogers,eng ENG,"FW,MF",23-172,20.7,7,40,17,42.5,1.93,0.82,0.18,0.41,18.9,2,0,0,3.4,3.4,0.08,3.6,3.6,Matches
Ezri Konsa,eng ENG,DF,28-083,19.7,0,4,2,50.0,0.2,0.1,0.0,0.0,7.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Matty Cash,pl POL,DF,28-160,19.7,3,17,7,41.2,0.86,0.36,0.18,0.43,24.1,0,0,0,0.7,0.7,0.04,2.3,2.3,Matches
John McGinn,sct SCO,"FW,MF",31-088,17.5,3,18,7,38.9,1.03,0.4,0.17,0.43,20.0,0,0,0,2.6,2.6,0.14,0.4,0.4,Matches
Ollie Watkins,eng ENG,FW,30-015,17.4,7,44,18,40.9,2.53,1.04,0.16,0.39,13.0,0,0,0,8.4,8.4,0.19,-1.4,-1.4,Matches
Emiliano Martínez,ar ARG,GK,33-134,16.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Boubacar Kamara,fr FRA,MF,26-052,15.7,1,7,4,57.1,0.45,0.26,0.14,0.25,14.7,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Lucas Digne,fr FRA,DF,32-178,13.3,0,9,4,44.4,0.68,0.3,0.0,0.0,21.3,4,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Youri Tielemans,be BEL,MF,28-252,12.6,0,15,4,26.7,1.19,0.32,0.0,0.0,20.5,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Amadou Onana,be BEL,MF,24-151,9.9,2,5,3,60.0,0.51,0.3,0.4,0.67,21.7,0,0,0,0.4,0.4,0.09,1.6,1.6,Matches
Pau Torres,es ESP,DF,28-363,10.6,0,3,0,0.0,0.28,0.0,0.0,,9.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Emi Buendía,ar ARG,"MF,FW",29-020,8.5,4,23,4,17.4,2.69,0.47,0.17,1.0,19.7,3,0,0,1.8,1.8,0.08,2.2,2.2,Matches
Ian Maatsen,nl NED,DF,23-310,7.8,0,11,2,18.2,1.42,0.26,0.0,0.0,17.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Victor Lindelöf,se SWE,DF,31-181,6.3,0,1,0,0.0,0.16,0.0,0.0,,12.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Evann Guessand,ci CIV,FW,24-197,5.7,0,5,3,60.0,0.87,0.52,0.0,0.0,10.9,0,0,0,1.0,1.0,0.19,-1.0,-1.0,Matches
Tyrone Mings,eng ENG,DF,32-307,5.5,0,3,0,0.0,0.54,0.0,0.0,,8.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Donyell Malen,nl NED,FW,27-005,7.3,4,27,9,33.3,3.7,1.23,0.15,0.44,14.4,0,0,0,4.0,4.0,0.15,0.0,0.0,Matches
Lamare Bogarde,nl NED,"MF,DF",22-009,4.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marco Bizot,nl NED,GK,34-310,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jadon Sancho,eng ENG,FW,25-295,3.5,0,6,3,50.0,1.74,0.87,0.0,0.0,15.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,1.1,0,3,0,0.0,2.76,0.0,0.0,,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Ross Barkley,eng ENG,MF,32-040,1.3,1,4,2,50.0,2.98,1.49,0.25,0.5,13.0,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
Andrés García,es ESP,DF,22-341,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bradley Burrowes,eng ENG,DF,17-316,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
George Hemmings,eng ENG,MF,18-316,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamaldeen Jimoh,eng ENG,MF,19-104,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.4,21.0,32,245,89,36.3,11.67,4.24,0.13,0.36,17.1,9,0,0,25.0,25.0,0.11,7.0,7.0,
Opponent Total,,,26.5,21.0,23,271,82,30.3,12.9,3.9,0.08,0.27,16.7,5,1,2,30.1,28.5,0.11,-7.1,-6.5,
