Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,6,53,19,35.8,2.52,0.9,0.11,0.32,15.8,1,0,0,4.7,4.7,0.09,1.3,1.3,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,4,21,9,42.9,1.25,0.54,0.1,0.22,23.7,2,2,2,2.8,1.3,0.06,1.2,0.7,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,2,12,2,16.7,0.72,0.12,0.17,1.0,23.2,0,0,0,1.0,1.0,0.08,1.0,1.0,Matches
Max Kilman,eng ENG,DF,28-236,17.0,0,7,1,14.3,0.41,0.06,0.0,0.0,12.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,0,12,1,8.3,0.78,0.06,0.0,0.0,22.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,0,1,0,0.0,0.07,0.0,0.0,,15.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,0,22,6,27.3,1.74,0.47,0.0,0.0,16.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,0,9,2,22.2,0.74,0.16,0.0,0.0,9.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,0,3,1,33.3,0.28,0.09,0.0,0.0,14.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,1,5,3,60.0,0.47,0.28,0.2,0.33,8.7,0,0,0,1.2,1.2,0.23,-0.2,-0.2,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,1,4,2,50.0,0.49,0.24,0.25,0.5,23.4,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,4,22,9,40.9,2.44,1.0,0.18,0.44,11.9,0,0,0,3.6,3.6,0.17,0.4,0.4,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,2,12,7,58.3,1.49,0.87,0.17,0.29,10.4,0,0,0,2.5,2.5,0.28,-0.5,-0.5,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,0,3,0,0.0,0.58,0.0,0.0,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,0,2,0,0.0,0.44,0.0,0.0,,27.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,0,9,3,33.3,1.98,0.66,0.0,0.0,9.4,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,0,2,0,0.0,1.0,0.0,0.0,,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,0,1,0,0.0,0.54,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Andy Irving,sct SCO,MF,25-246,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,0,1,0,0.0,0.72,0.0,0.0,,11.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Igor,br BRA,DF,27-341,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,10.8,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,0,1,0,0.0,0.78,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,0,1,0,0.0,1.5,0.0,0.0,,5.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
Pablo,br BRA,MF,22-012,0.3,0,1,0,0.0,3.21,0.0,0.0,,15.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,0,1,0,0.0,4.74,0.0,0.0,,16.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
George Earthy,eng ENG,FW,21-131,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,21.0,20,208,66,31.7,9.9,3.14,0.09,0.27,16.0,4,2,2,21.5,20.1,0.1,-1.5,-2.1,
Opponent Total,,,26.7,21.0,42,312,109,34.9,14.86,5.19,0.12,0.34,16.1,4,5,6,35.6,30.9,0.1,6.4,6.1,
