player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Dean Henderson,ENG,GK,27,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.39,51.0,51.0,0.0,0.0,,60.4,49.1,11.3,0.3,
Daniel Muñoz,COL,DF,28,37,3228.0,87.0,94.4,35.9,37,87.0,33,0,,0,1.43,48.0,46.0,2.0,0.06,0.99,57.1,45.5,11.6,0.32,0.46
Tyrick Mitchell,ENG,DF,24,37,3092.0,84.0,90.4,34.4,37,84.0,25,0,,1,1.35,43.0,46.0,-3.0,-0.09,-0.91,53.3,45.3,8.0,0.23,-0.68
Maxence Lacroix,FRA,DF,24,35,3116.0,89.0,91.1,34.6,35,89.0,32,0,,0,1.49,49.0,45.0,4.0,0.12,1.3,57.1,43.3,13.8,0.4,1.13
Marc Guéhi,ENG,DF,24,34,3059.0,90.0,89.4,34.0,34,90.0,33,0,,0,1.35,42.0,42.0,0.0,0.0,0.0,53.2,40.6,12.5,0.37,0.67
Jean-Philippe Mateta,FRA,FW,27,37,2648.0,72.0,77.4,29.4,33,78.0,17,4,19.0,0,1.35,43.0,37.0,6.0,0.2,0.9,47.3,36.6,10.7,0.37,0.3
Eberechi Eze,ENG,"MF,FW",26,34,2588.0,76.0,75.7,28.8,31,81.0,13,3,28.0,0,1.5,39.0,34.0,5.0,0.17,0.71,45.4,34.5,10.9,0.38,0.33
Ismaila Sarr,SEN,MF,26,38,2711.0,71.0,79.3,30.1,30,84.0,13,8,22.0,0,1.39,42.0,39.0,3.0,0.1,0.48,50.8,37.9,12.9,0.43,0.63
Jefferson Lerma,COL,"MF,DF",29,33,2274.0,69.0,66.5,25.3,26,79.0,18,7,31.0,1,1.42,35.0,36.0,-1.0,-0.04,-0.12,39.8,32.4,7.4,0.29,-0.01
Will Hughes,ENG,MF,29,33,2108.0,64.0,61.6,23.4,24,76.0,3,9,32.0,0,1.45,31.0,31.0,0.0,0.0,0.0,37.9,30.6,7.3,0.31,0.04
Chris Richards,USA,DF,24,24,1922.0,80.0,56.2,21.4,22,87.0,18,2,6.0,5,1.54,30.0,31.0,-1.0,-0.05,-0.11,37.9,29.1,8.8,0.41,0.26
Adam Wharton,ENG,MF,20,20,1318.0,66.0,38.5,14.6,16,77.0,3,4,23.0,1,1.25,18.0,21.0,-3.0,-0.2,-0.33,21.1,19.2,1.9,0.13,-0.27
Daichi Kamada,JPN,MF,27,34,1564.0,46.0,45.7,17.4,15,81.0,7,19,18.0,1,1.38,25.0,26.0,-1.0,-0.06,-0.11,27.7,24.7,3.1,0.18,-0.22
Trevoh Chalobah,ENG,DF,25,12,1060.0,88.0,31.0,11.8,12,88.0,9,0,,2,1.42,13.0,13.0,0.0,0.0,0.0,16.6,15.2,1.4,0.12,-0.26
Eddie Nketiah,ENG,"FW,MF",25,29,1034.0,36.0,30.2,11.5,9,77.0,2,20,17.0,2,1.52,15.0,17.0,-2.0,-0.17,-0.25,19.5,13.8,5.6,0.49,0.28
Nathaniel Clyne,ENG,"DF,MF",33,13,483.0,37.0,14.1,5.4,5,70.0,1,8,16.0,24,1.31,4.0,11.0,-7.0,-1.3,-1.52,7.4,9.8,-2.4,-0.44,-0.86
Justin Devenny,NIR,MF,20,23,507.0,22.0,14.8,5.6,4,68.0,0,19,12.0,7,1.65,8.0,8.0,0.0,0.0,0.0,8.4,9.1,-0.7,-0.12,-0.49
Cheick Doucouré,MLI,MF,24,13,452.0,35.0,13.2,5.0,4,55.0,0,9,26.0,4,1.38,5.0,6.0,-1.0,-0.2,-0.23,6.8,7.7,-0.9,-0.17,-0.54
Ben Chilwell,ENG,DF,27,8,259.0,32.0,7.6,2.9,1,90.0,1,7,24.0,4,2.0,6.0,4.0,2.0,0.69,0.75,4.3,2.7,1.6,0.55,0.27
Romain Esse,ENG,MF,19,7,138.0,20.0,4.0,1.5,1,80.0,0,6,10.0,8,1.57,5.0,3.0,2.0,1.3,1.36,2.6,1.9,0.7,0.46,0.17
Odsonne Édouard,FRA,"MF,FW",26,2,115.0,58.0,3.4,1.3,1,70.0,0,1,45.0,0,0.0,1.0,2.0,-1.0,-0.78,-0.81,1.7,2.1,-0.4,-0.28,-0.6
Joachim Andersen,DEN,DF,28,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,-1.03,1.2,1.6,-0.4,-0.42,-0.74
Chadi Riad,MAR,DF,21,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,5,0.0,0.0,2.0,-2.0,-2.0,-2.05,1.3,1.4,0.0,-0.01,-0.32
Joel Ward,ENG,DF,34,2,71.0,36.0,2.1,0.8,1,70.0,0,1,1.0,18,3.0,3.0,2.0,1.0,1.27,1.29,1.1,1.4,-0.3,-0.37,-0.68
Jeffrey Schlupp,GHA,"MF,DF",31,12,103.0,9.0,3.0,1.1,0,,0,12,9.0,12,0.75,2.0,3.0,-1.0,-0.87,-0.9,2.1,1.8,0.3,0.29,-0.01
Matheus França,BRA,"MF,FW",20,4,55.0,14.0,1.6,0.6,0,,0,4,14.0,7,1.25,2.0,0.0,2.0,3.27,3.33,1.1,0.4,0.7,1.22,0.93
Jordan Ayew,GHA,"FW,MF",32,1,21.0,21.0,0.6,0.2,0,,0,1,21.0,0,0.0,0.0,1.0,-1.0,-4.29,-4.31,0.7,1.0,-0.2,-0.99,-1.29
Caleb Kporha,ENG,DF,18,2,13.0,7.0,0.4,0.1,0,,0,2,7.0,25,0.0,0.0,1.0,-1.0,-6.92,-6.95,0.1,0.1,0.0,0.0,-0.3
Asher Agbinone,ENG,MF,18,2,6.0,3.0,0.2,0.1,0,,0,2,3.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.71,1.42
Naouirou Ahamada,FRA,MF,22,0,,,,,0,,0,0,,1,,,,,,,,,,,
Rob Holding,ENG,DF,28,0,,,,,0,,0,0,,1,,,,,,,,,,,
Sam Johnstone,ENG,GK,31,0,,,,,0,,0,0,,2,,,,,,,,,,,
Zachariah Marsh,ENG,FW,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Remi Matthews,ENG,GK,30,0,,,,,0,,0,0,,7,,,,,,,,,,,
Kaden Rodney,ENG,"DF,MF",19,0,,,,,0,,0,0,,3,,,,,,,,,,,
Matt Turner,USA,GK,30,0,,,,,0,,0,0,,32,,,,,,,,,,,
Franco Umeh-Chibueze,IRL,MF,19,0,,,,,0,,0,0,,8,,,,,,,,,,,
Squad Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,268,148,18.0,192,1.39,51.0,51.0,0.0,0.0,,60.4,49.1,11.3,0.3,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,259,156,20.0,186,1.24,51.0,51.0,0.0,0.0,,49.1,60.4,-11.3,-0.3,
