player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Emiliano Martínez,ARG,GK,31,37,3194.0,86.0,93.4,35.5,37,86.0,34,0,,0,1.7,56.0,45.0,11.0,0.31,1.9,53.5,44.7,8.9,0.25,1.42
Morgan Rogers,ENG,"FW,MF",22,37,3114.0,84.0,91.1,34.6,37,84.0,19,0,,0,1.7,52.0,40.0,12.0,0.35,1.82,51.3,43.5,7.8,0.23,0.78
Youri Tielemans,BEL,MF,27,36,3026.0,84.0,88.5,33.6,35,86.0,27,1,29.0,0,1.67,53.0,46.0,7.0,0.21,0.21,51.2,43.6,7.5,0.22,0.59
Ezri Konsa,ENG,DF,26,34,2936.0,86.0,85.8,32.6,33,88.0,32,1,45.0,1,1.76,48.0,45.0,3.0,0.09,-0.65,46.5,43.4,3.1,0.1,-0.43
Ollie Watkins,ENG,FW,28,38,2598.0,68.0,76.0,28.9,31,78.0,11,7,25.0,0,1.74,49.0,40.0,9.0,0.31,0.53,43.8,38.7,5.1,0.18,0.08
Lucas Digne,FRA,DF,31,32,2351.0,73.0,68.7,26.1,28,80.0,13,4,30.0,6,1.59,34.0,36.0,-2.0,-0.08,-0.83,32.7,34.7,-2.0,-0.08,-0.75
John McGinn,SCO,"MF,FW",29,34,2223.0,65.0,65.0,24.7,27,77.0,11,7,21.0,0,1.76,33.0,34.0,-1.0,-0.04,-0.64,35.8,34.8,1.0,0.04,-0.33
Matty Cash,POL,DF,26,27,2070.0,77.0,60.5,23.0,24,82.0,16,3,38.0,2,1.78,35.0,22.0,13.0,0.57,0.97,31.5,28.4,3.1,0.13,-0.06
Pau Torres,ESP,DF,27,24,2020.0,84.0,59.1,22.4,23,87.0,22,1,21.0,4,1.58,30.0,33.0,-3.0,-0.13,-0.78,30.7,29.5,1.3,0.06,-0.24
Boubacar Kamara,FRA,MF,24,26,1726.0,66.0,50.5,19.2,20,81.0,12,6,16.0,1,1.69,28.0,22.0,6.0,0.31,0.26,25.3,22.9,2.5,0.13,-0.06
Amadou Onana,BEL,MF,22,26,1617.0,62.0,47.3,18.0,20,74.0,7,6,24.0,2,1.77,25.0,23.0,2.0,0.11,-0.14,24.1,23.4,0.8,0.04,-0.21
Jacob Ramsey,ENG,"FW,MF",23,29,1623.0,56.0,47.5,18.0,19,68.0,2,10,34.0,0,1.79,25.0,26.0,-1.0,-0.06,-0.46,24.7,23.9,0.8,0.04,-0.22
Leon Bailey,JAM,"FW,MF",26,24,1139.0,47.0,33.3,12.7,14,65.0,2,10,23.0,5,1.54,22.0,19.0,3.0,0.24,0.08,20.3,13.7,6.7,0.53,0.55
Tyrone Mings,ENG,DF,31,14,1120.0,80.0,32.7,12.4,12,81.0,9,2,73.0,13,2.29,26.0,11.0,15.0,1.21,1.52,23.5,13.1,10.5,0.84,1.02
Ian Maatsen,NED,DF,22,29,1139.0,39.0,33.3,12.7,10,78.0,6,19,19.0,8,1.76,24.0,16.0,8.0,0.63,0.67,24.0,17.2,6.8,0.53,0.57
Marco Asensio,ESP,MF,28,13,743.0,57.0,21.7,8.3,9,72.0,3,4,23.0,0,2.0,18.0,8.0,10.0,1.21,1.31,14.1,11.1,3.0,0.36,0.26
Diego Carlos,BRA,DF,31,10,830.0,83.0,24.3,9.2,8,90.0,8,2,55.0,7,1.3,14.0,15.0,-1.0,-0.11,-0.39,13.8,11.8,2.0,0.22,0.08
Axel Disasi,FRA,DF,26,7,490.0,70.0,14.3,5.4,5,90.0,5,2,20.0,4,1.57,8.0,9.0,-1.0,-0.18,-0.43,8.2,10.4,-2.2,-0.41,-0.66
Lamare Bogarde,NED,"DF,MF",20,8,476.0,60.0,13.9,5.3,5,77.0,2,3,30.0,14,1.5,10.0,11.0,-1.0,-0.19,-0.43,7.5,9.3,-1.8,-0.34,-0.58
Andrés García,ESP,"DF,MF",21,7,318.0,45.0,9.3,3.5,5,58.0,1,2,14.0,9,1.57,7.0,5.0,2.0,0.57,0.42,5.8,6.6,-0.7,-0.21,-0.41
Jáder Durán,COL,FW,20,20,638.0,32.0,18.7,7.1,4,60.0,0,16,25.0,1,1.5,12.0,12.0,0.0,0.0,-0.23,9.2,9.7,-0.5,-0.07,-0.28
Marcus Rashford,ENG,FW,26,10,444.0,44.0,13.0,4.9,4,68.0,0,6,29.0,0,2.0,7.0,6.0,1.0,0.2,0.02,8.9,6.9,2.0,0.41,0.29
Ross Barkley,ENG,MF,30,20,581.0,29.0,17.0,6.5,3,85.0,2,17,19.0,4,1.75,10.0,10.0,0.0,0.0,-0.22,11.7,6.2,5.5,0.85,0.84
Jaden Philogene Bidace,ENG,"FW,MF",22,11,332.0,30.0,9.7,3.7,2,78.0,1,9,20.0,3,1.64,2.0,5.0,-3.0,-0.81,-1.1,4.7,4.7,0.0,-0.01,-0.18
Donyell Malen,NED,FW,25,14,305.0,22.0,8.9,3.4,2,62.0,0,12,15.0,3,1.93,7.0,6.0,1.0,0.3,0.12,7.0,4.7,2.3,0.67,0.57
Robin Olsen,SWE,GK,34,4,226.0,57.0,6.6,2.5,1,90.0,1,3,45.0,26,0.75,2.0,6.0,-4.0,-1.59,-1.9,2.5,5.5,-2.9,-1.17,-1.42
Kosta Nedeljković,SRB,DF,18,5,126.0,25.0,3.7,1.4,0,,0,5,25.0,11,1.2,0.0,4.0,-4.0,-2.86,-3.16,1.9,2.1,-0.2,-0.13,-0.3
Emi Buendía,ARG,"MF,FW",27,12,98.0,8.0,2.9,1.1,0,,0,12,8.0,11,2.0,1.0,2.0,-1.0,-0.92,-1.14,1.9,2.0,-0.1,-0.08,-0.24
Benjamin Broggio,ENG,FW,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Joe Gauci,AUS,GK,24,0,,,,,0,,0,0,,10,,,,,,,,,,,
Jamaldeen Jimoh,ENG,MF,17,0,,,,,0,,0,0,,7,,,,,,,,,,,
Sil Swinkels,NED,DF,20,0,,,,,0,,0,0,,5,,,,,,,,,,,
Kadan Young,ENG,MF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Oliwier Zych,POL,GK,20,0,,,,,0,,0,0,,9,,,,,,,,,,,
Squad Total,,,27,38,3420.0,90.0,100.0,38.0,418,80.0,246,170,23.0,170,1.74,58.0,51.0,7.0,0.18,,56.1,50.1,5.9,0.16,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,80.0,263,157,18.0,185,1.03,51.0,58.0,-7.0,-0.18,,50.1,56.1,-5.9,-0.16,
