player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Nathan Collins,IRL,DF,23,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.47,66.0,57.0,9.0,0.24,,59.0,55.4,3.6,0.09,
Bryan Mbeumo,CMR,FW,24,38,3414.0,90.0,99.8,37.9,38,90.0,35,0,,0,1.47,66.0,55.0,11.0,0.29,30.29,58.5,54.6,3.9,0.1,4.39
Mark Flekken,NED,GK,31,37,3275.0,89.0,95.8,36.4,37,89.0,36,0,,0,1.51,66.0,55.0,11.0,0.3,1.54,55.9,54.0,1.9,0.05,-0.97
Keane Lewis-Potter,ENG,"DF,FW",23,38,3093.0,81.0,90.4,34.4,36,85.0,26,2,17.0,0,1.47,58.0,49.0,9.0,0.26,0.26,53.3,50.0,3.3,0.1,0.02
Yoane Wissa,COD,FW,27,35,2919.0,83.0,85.4,32.4,34,85.0,23,1,25.0,0,1.49,56.0,45.0,11.0,0.34,0.7,50.4,44.5,6.0,0.18,0.62
Mikkel Damsgaard,DEN,"MF,FW",24,38,2911.0,77.0,85.1,32.3,34,83.0,11,4,23.0,0,1.47,58.0,41.0,17.0,0.53,1.94,52.8,45.0,7.8,0.24,0.99
Christian Nørgaard,DEN,MF,30,34,2819.0,83.0,82.4,31.3,34,83.0,22,0,,0,1.59,55.0,45.0,10.0,0.32,0.47,50.3,43.7,6.6,0.21,0.66
Sepp van den Berg,NED,DF,22,31,2586.0,83.0,75.6,28.7,29,88.0,25,2,18.0,1,1.55,54.0,49.0,5.0,0.17,-0.26,47.8,43.8,4.0,0.14,0.18
Vitaly Janelt,GER,MF,26,32,2254.0,70.0,65.9,25.0,27,79.0,10,5,25.0,0,1.34,38.0,38.0,0.0,0.0,-0.69,35.5,36.9,-1.4,-0.05,-0.43
Kevin Schade,GER,FW,22,38,2293.0,60.0,67.0,25.5,26,79.0,6,12,21.0,0,1.47,45.0,34.0,11.0,0.43,0.59,41.8,30.3,11.5,0.45,1.09
Ethan Pinnock,JAM,DF,31,22,1913.0,87.0,55.9,21.3,21,90.0,20,1,31.0,9,1.5,40.0,35.0,5.0,0.24,0.0,31.4,33.9,-2.4,-0.11,-0.47
Kristoffer Ajer,NOR,DF,26,24,1438.0,60.0,42.0,16.0,17,79.0,5,7,14.0,2,1.33,20.0,25.0,-5.0,-0.31,-0.95,20.8,21.5,-0.7,-0.04,-0.23
Yehor Yarmoliuk,UKR,MF,20,31,1450.0,47.0,42.4,16.1,15,79.0,6,16,16.0,7,1.52,27.0,25.0,2.0,0.12,-0.2,22.8,26.1,-3.3,-0.21,-0.52
Mads Roerslev,DEN,DF,25,19,1101.0,58.0,32.2,12.2,11,88.0,9,8,16.0,4,1.21,19.0,20.0,-1.0,-0.08,-0.47,20.1,21.1,-1.0,-0.08,-0.26
Mathias Jensen,DEN,MF,28,24,862.0,36.0,25.2,9.6,8,73.0,2,16,17.0,0,1.71,20.0,17.0,3.0,0.31,0.1,17.3,16.0,1.3,0.14,0.06
Michael Kayode,ITA,DF,20,12,528.0,44.0,15.4,5.9,6,78.0,1,6,11.0,1,1.83,15.0,5.0,10.0,1.7,1.74,11.6,6.5,5.1,0.88,0.92
Fabio Carvalho,POR,"FW,MF",21,19,455.0,24.0,13.3,5.1,3,81.0,0,16,13.0,6,1.47,9.0,14.0,-5.0,-0.99,-1.41,6.5,11.2,-4.7,-0.92,-1.17
Ben Mee,ENG,DF,34,7,183.0,26.0,5.4,2.0,2,84.0,1,5,3.0,28,1.86,1.0,4.0,-3.0,-1.48,-1.81,2.9,2.7,0.2,0.1,0.0
Thiago,BRA,"FW,MF",23,8,175.0,22.0,5.1,1.9,1,72.0,0,7,15.0,0,1.75,3.0,4.0,-1.0,-0.51,-0.79,1.4,3.5,-2.1,-1.1,-1.26
Hákon Rafn Valdimarsson,ISL,GK,22,2,145.0,73.0,4.2,1.6,1,90.0,1,1,55.0,36,0.5,0.0,2.0,-2.0,-1.24,-1.54,3.1,1.5,1.7,1.03,0.97
Edmond-Paris Maghoma,ENG,"MF,FW",23,8,119.0,15.0,3.5,1.3,0,,0,8,15.0,15,1.25,3.0,1.0,2.0,1.51,1.32,2.2,1.8,0.4,0.28,0.19
Rico Henry,ENG,DF,27,5,99.0,20.0,2.9,1.1,0,,0,5,20.0,5,2.0,4.0,3.0,1.0,0.91,0.69,2.2,2.0,0.3,0.24,0.15
Yunus Emre Konak,TUR,"FW,MF",18,10,42.0,4.0,1.2,0.5,0,,0,10,4.0,26,2.2,2.0,2.0,0.0,0.0,-0.24,1.0,1.7,-0.7,-1.56,-1.68
Kim Jisoo,KOR,DF,19,3,30.0,10.0,0.9,0.3,0,,0,3,10.0,12,0.33,0.0,0.0,0.0,0.0,-0.24,0.0,0.3,-0.3,-0.76,-0.86
Frank Onyeka,NGA,MF,26,2,25.0,13.0,0.7,0.3,0,,0,2,13.0,0,1.5,0.0,0.0,0.0,0.0,-0.24,0.0,0.7,-0.7,-2.48,-2.59
Gustavo Nunes,BRA,"FW,MF",18,3,12.0,4.0,0.4,0.1,0,,0,3,4.0,4,2.33,0.0,2.0,-2.0,-15.0,-15.29,0.1,0.3,-0.2,-1.86,-1.96
Jayden Meghoma,ENG,DF,18,1,5.0,5.0,0.1,0.1,0,,0,1,5.0,13,0.0,1.0,0.0,1.0,18.0,17.79,0.2,0.1,0.1,1.56,1.47
Ryan Trevitt,ENG,MF,21,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,11,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,-0.09
Benjamin Arthur,ENG,DF,18,0,,,,,0,,0,0,,4,,,,,,,,,,,
Julian Eyestone,USA,GK,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Benjamin Fredrick,NGA,DF,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
Aaron Hickey,SCO,"DF,MF",22,0,,,,,0,,0,0,,1,,,,,,,,,,,
Iwan Morgan,WAL,FW,18,0,,,,,0,,0,0,,5,,,,,,,,,,,
Myles Peart-Harris,ENG,MF,21,0,,,,,0,,0,0,,1,,,,,,,,,,,
Tony Yogane,ENG,MF,18,0,,,,,0,,0,0,,6,,,,,,,,,,,
Squad Total,,,25,38,3420.0,90.0,100.0,38.0,418,85.0,277,142,15.0,200,1.47,66.0,57.0,9.0,0.24,,59.0,55.4,3.6,0.09,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,85.0,251,165,20.0,177,1.32,57.0,66.0,-9.0,-0.24,,55.4,59.0,-3.6,-0.09,
