player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Rayan Aït-Nouri,ALG,DF,23,37,3109.0,84.0,90.9,34.5,37,84.0,18,0,,0,1.05,46.0,67.0,-21.0,-0.61,-2.34,38.7,52.6,-13.9,-0.4,-0.25
João Gomes,BRA,MF,23,36,2974.0,83.0,87.0,33.0,35,84.0,18,1,45.0,0,1.08,45.0,58.0,-13.0,-0.39,0.01,36.2,49.4,-13.2,-0.4,-0.15
Nélson Semedo,POR,DF,30,34,2886.0,85.0,84.4,32.1,32,88.0,21,2,34.0,0,1.24,49.0,49.0,0.0,0.0,2.53,36.6,47.2,-10.6,-0.33,0.32
André,BRA,MF,23,33,2472.0,75.0,72.3,27.5,31,80.0,14,2,3.0,2,1.15,39.0,46.0,-7.0,-0.25,0.5,29.9,40.5,-10.6,-0.39,-0.02
Toti Gomes,POR,DF,25,31,2614.0,84.0,76.4,29.0,30,87.0,27,1,14.0,1,1.32,44.0,45.0,-1.0,-0.03,1.53,33.6,41.4,-7.7,-0.27,0.48
Jørgen Strand Larsen,NOR,FW,24,35,2587.0,74.0,75.6,28.7,30,80.0,11,5,35.0,0,1.11,43.0,52.0,-9.0,-0.31,0.34,32.3,43.2,-10.9,-0.38,0.0
José Sá,POR,GK,31,29,2609.0,90.0,76.3,29.0,29,90.0,28,0,,4,1.31,42.0,48.0,-6.0,-0.21,0.79,35.2,42.0,-6.8,-0.23,0.62
Matheus Cunha,BRA,"MF,FW",25,33,2597.0,79.0,75.9,28.9,29,85.0,19,4,31.0,0,0.97,41.0,54.0,-13.0,-0.45,-0.23,32.6,44.5,-11.9,-0.41,-0.14
Matt Doherty,IRL,DF,32,30,2109.0,70.0,61.7,23.4,25,83.0,16,5,9.0,8,1.33,27.0,38.0,-11.0,-0.47,-0.19,27.9,32.8,-5.0,-0.21,0.44
Jean-Ricner Bellegarde,FRA,"MF,FW",26,35,1677.0,48.0,49.0,18.6,20,69.0,1,15,20.0,2,1.09,29.0,31.0,-2.0,-0.11,0.56,22.8,26.3,-3.5,-0.19,0.37
Santiago Bueno,URU,DF,25,29,1687.0,58.0,49.3,18.7,18,87.0,14,11,12.0,8,1.31,26.0,34.0,-8.0,-0.43,-0.06,22.5,29.2,-6.6,-0.35,0.05
Emmanuel Agbadou,CIV,DF,27,16,1410.0,88.0,41.2,15.7,16,88.0,15,0,,0,1.44,20.0,22.0,-2.0,-0.13,0.45,19.1,22.8,-3.6,-0.23,0.25
Mario Lemina,GAB,"MF,DF",30,17,1364.0,80.0,39.9,15.2,15,87.0,13,2,30.0,0,0.53,22.0,39.0,-17.0,-1.12,-1.21,15.3,27.2,-11.9,-0.78,-0.67
Marshall Munetsi,ZIM,"MF,FW",28,14,1078.0,77.0,31.5,12.0,12,84.0,9,2,35.0,0,1.64,18.0,11.0,7.0,0.58,1.43,16.1,14.6,1.5,0.13,0.74
Gonçalo Guedes,POR,"MF,FW",27,29,995.0,34.0,29.1,11.1,10,67.0,1,19,17.0,4,0.93,16.0,25.0,-9.0,-0.81,-0.59,13.2,18.9,-5.7,-0.51,-0.19
Craig Dawson,ENG,DF,34,15,971.0,65.0,28.4,10.8,10,89.0,9,5,17.0,6,0.87,16.0,25.0,-9.0,-0.83,-0.61,10.6,18.7,-8.1,-0.75,-0.51
Pablo Sarabia,ESP,"MF,FW",32,23,814.0,35.0,23.8,9.0,7,63.0,0,16,23.0,7,1.25,14.0,19.0,-5.0,-0.55,-0.21,11.9,15.7,-3.7,-0.41,-0.04
Rodrigo Gomes,POR,"DF,FW",21,25,810.0,32.0,23.7,9.0,7,76.0,1,18,16.0,9,1.2,18.0,20.0,-2.0,-0.22,0.23,10.6,16.1,-5.5,-0.61,-0.3
Sam Johnstone,ENG,GK,31,7,630.0,90.0,18.4,7.0,7,90.0,7,0,,16,0.14,9.0,17.0,-8.0,-1.14,-0.92,6.9,13.1,-6.2,-0.89,-0.62
Hwang Hee-chan,KOR,"MF,FW",28,21,661.0,31.0,19.3,7.3,5,69.0,1,16,20.0,8,0.86,8.0,19.0,-11.0,-1.5,-1.37,8.5,12.7,-4.2,-0.57,-0.24
Yerson Mosquera,COL,DF,23,5,441.0,88.0,12.9,4.9,5,88.0,4,0,,0,0.2,5.0,12.0,-7.0,-1.43,-1.19,4.9,6.0,-1.1,-0.22,0.18
