player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Dara O'Shea,IRL,DF,25,35,3122.0,89.0,91.3,34.7,35,89.0,34,0,,1,0.6,34.0,75.0,-41.0,-1.18,0.33,32.6,65.3,-32.7,-0.94,0.76
Leif Davis,ENG,DF,24,33,2743.0,83.0,80.2,30.5,32,85.0,27,1,10.0,0,0.52,29.0,69.0,-40.0,-1.31,-0.51,29.2,59.4,-30.2,-0.99,0.1
Liam Delap,ENG,FW,21,37,2593.0,70.0,75.8,28.8,32,78.0,3,5,18.0,0,0.59,25.0,58.0,-33.0,-1.15,0.27,25.7,52.1,-26.5,-0.92,0.37
Sam Morsy,EGY,MF,32,33,2751.0,83.0,80.4,30.6,31,88.0,23,2,16.0,2,0.64,28.0,67.0,-39.0,-1.28,-0.33,28.3,56.5,-28.2,-0.92,0.44
Omari Hutchinson,ENG,"MF,FW",20,31,2583.0,83.0,75.5,28.7,30,85.0,18,1,24.0,1,0.55,25.0,61.0,-36.0,-1.25,-0.18,25.8,50.0,-24.2,-0.84,0.67
Jacob Greaves,ENG,DF,23,25,2205.0,88.0,64.5,24.5,25,88.0,24,0,,2,0.4,19.0,53.0,-34.0,-1.39,-0.5,20.1,44.2,-24.1,-0.98,0.07
Jens Cajuste,SWE,MF,24,30,1959.0,65.0,57.3,21.8,25,76.0,3,5,14.0,3,0.67,24.0,46.0,-22.0,-1.01,0.47,23.3,43.1,-19.8,-0.91,0.24
Axel Tuanzebe,COD,DF,26,22,1710.0,78.0,50.0,19.0,20,84.0,12,2,14.0,0,0.64,17.0,37.0,-20.0,-1.05,0.32,17.0,31.3,-14.3,-0.75,0.51
Arijanet Muric,KVX,GK,25,18,1620.0,90.0,47.4,18.0,18,90.0,18,0,,8,0.67,17.0,33.0,-16.0,-0.89,0.61,17.5,35.2,-17.7,-0.98,0.05
Cameron Burgess,AUS,DF,28,18,1541.0,86.0,45.1,17.1,16,90.0,16,2,51.0,5,0.72,19.0,37.0,-18.0,-1.05,0.29,16.2,33.9,-17.7,-1.03,-0.05
Ben Johnson,ENG,"DF,FW",24,23,1354.0,59.0,39.6,15.0,14,85.0,10,9,19.0,9,0.74,17.0,36.0,-19.0,-1.26,-0.09,12.8,36.7,-23.9,-1.59,-0.96
Kalvin Phillips,ENG,MF,28,19,1237.0,65.0,36.2,13.7,14,82.0,6,5,19.0,6,0.68,12.0,29.0,-17.0,-1.24,-0.04,9.8,26.7,-16.8,-1.23,-0.34
Alex Palmer,ENG,GK,27,13,1170.0,90.0,34.2,13.0,13,90.0,13,0,,0,0.46,13.0,30.0,-17.0,-1.31,-0.15,11.3,23.7,-12.4,-0.95,0.09
Sammie Szmodics,IRL,"FW,MF",28,20,992.0,50.0,29.0,11.0,13,70.0,0,7,12.0,2,0.65,11.0,18.0,-7.0,-0.64,0.81,11.4,22.8,-11.4,-1.03,-0.03
Luke Woolfenden,ENG,DF,25,15,1187.0,79.0,34.7,13.2,12,90.0,11,3,36.0,13,0.47,12.0,28.0,-16.0,-1.21,0.0,9.2,25.7,-16.5,-1.25,-0.37
Jack Clarke,ENG,"FW,MF",23,32,1181.0,37.0,34.5,13.1,12,66.0,1,20,19.0,3,0.59,14.0,31.0,-17.0,-1.3,-0.13,13.0,26.5,-13.5,-1.03,-0.04
Wes Burns,WAL,"FW,DF",29,18,926.0,51.0,27.1,10.3,12,67.0,0,6,20.0,3,0.67,7.0,23.0,-16.0,-1.56,-0.47,9.6,23.2,-13.6,-1.32,-0.43
