player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Bernd Leno,GER,GK,32,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.42,54.0,54.0,0.0,0.0,,49.0,47.2,1.8,0.05,
Antonee Robinson,USA,DF,26,36,3167.0,88.0,92.6,35.2,35,90.0,34,1,19.0,0,1.42,49.0,49.0,0.0,0.0,0.0,44.8,44.3,0.4,0.01,-0.48
Alex Iwobi,NGA,"FW,MF",28,38,2981.0,78.0,87.2,33.1,35,83.0,14,3,26.0,0,1.42,40.0,45.0,-5.0,-0.15,-1.18,39.3,37.5,1.8,0.05,0.04
Calvin Bassey,NGA,DF,24,35,3074.0,88.0,89.9,34.2,34,90.0,34,1,14.0,2,1.51,49.0,47.0,2.0,0.06,0.58,44.5,38.9,5.7,0.17,1.16
Raúl Jiménez,MEX,FW,33,38,2494.0,66.0,72.9,27.7,30,78.0,9,8,18.0,0,1.42,31.0,37.0,-6.0,-0.22,-0.8,34.4,33.0,1.4,0.05,0.01
Joachim Andersen,DEN,DF,28,29,2583.0,89.0,75.5,28.7,29,89.0,28,0,,2,1.45,43.0,42.0,1.0,0.03,0.14,39.5,35.8,3.7,0.13,0.33
Saša Lukić,SRB,MF,27,30,2344.0,78.0,68.5,26.0,28,82.0,10,2,31.0,0,1.37,37.0,37.0,0.0,0.0,0.0,32.5,32.5,0.0,0.0,-0.15
Sander Berge,NOR,MF,26,31,2224.0,72.0,65.0,24.7,26,81.0,16,5,23.0,0,1.48,33.0,35.0,-2.0,-0.08,-0.23,29.9,30.2,-0.3,-0.01,-0.18
Emile Smith Rowe,ENG,MF,24,34,2043.0,60.0,59.7,22.7,25,73.0,0,9,24.0,0,1.38,29.0,28.0,1.0,0.04,0.11,29.5,25.0,4.5,0.2,0.38
Andreas Pereira,BRA,MF,28,33,2013.0,61.0,58.9,22.4,25,74.0,3,8,22.0,2,1.39,31.0,32.0,-1.0,-0.04,-0.11,29.3,27.1,2.2,0.1,0.13
Kenny Tete,NED,DF,28,22,1774.0,81.0,51.9,19.7,21,84.0,15,1,9.0,2,1.36,24.0,26.0,-2.0,-0.1,-0.21,25.7,25.1,0.6,0.03,-0.04
Adama Traoré,ESP,"FW,MF",28,36,1772.0,49.0,51.8,19.7,18,76.0,4,18,23.0,1,1.47,32.0,28.0,4.0,0.2,0.42,27.9,24.6,3.3,0.17,0.25
Timothy Castagne,BEL,DF,28,24,1649.0,69.0,48.2,18.3,17,89.0,16,7,19.0,9,1.33,30.0,28.0,2.0,0.11,0.21,23.4,22.2,1.2,0.06,0.03
Issa Diop,FRA,DF,27,21,1339.0,64.0,39.2,14.9,15,86.0,13,6,8.0,9,1.52,19.0,19.0,0.0,0.0,0.0,16.1,19.6,-3.5,-0.23,-0.46
Harry Wilson,WAL,"FW,MF",27,25,1162.0,46.0,34.0,12.9,12,77.0,1,13,18.0,3,1.28,23.0,21.0,2.0,0.15,0.23,16.6,16.7,-0.1,-0.01,-0.09
Rodrigo Muniz,BRA,FW,23,31,964.0,31.0,28.2,10.7,8,72.0,0,23,17.0,1,1.55,25.0,17.0,8.0,0.75,1.04,16.9,15.2,1.6,0.15,0.15
Ryan Sessegnon,ENG,"FW,DF",24,16,580.0,36.0,17.0,6.4,7,73.0,1,9,7.0,16,1.56,13.0,10.0,3.0,0.47,0.56,9.3,8.1,1.3,0.19,0.18
Reiss Nelson,ENG,FW,24,11,487.0,44.0,14.2,5.4,5,73.0,0,6,21.0,0,1.64,5.0,9.0,-4.0,-0.74,-0.86,7.6,6.2,1.4,0.26,0.25
Jorge Cuenca,ESP,DF,24,8,351.0,44.0,10.3,3.9,4,87.0,3,4,1.0,18,1.5,5.0,8.0,-3.0,-0.77,-0.86,4.6,8.8,-4.2,-1.08,-1.26
Tom Cairney,SCO,MF,33,25,628.0,25.0,18.4,7.0,3,70.0,0,22,19.0,10,1.2,15.0,12.0,3.0,0.43,0.53,10.3,9.7,0.6,0.09,0.05
Willian,BRA,"FW,MF",35,10,257.0,26.0,7.5,2.9,2,76.0,0,8,13.0,4,1.2,2.0,3.0,-1.0,-0.35,-0.38,3.8,4.2,-0.4,-0.16,-0.22
Joshua King,ENG,MF,17,8,130.0,16.0,3.8,1.4,1,61.0,0,7,10.0,15,1.38,3.0,0.0,3.0,2.08,2.16,1.8,0.7,1.0,0.72,0.69
Harrison Reed,ENG,MF,29,12,108.0,9.0,3.2,1.2,0,,0,12,9.0,14,1.75,1.0,3.0,-2.0,-1.67,-1.72,1.3,4.6,-3.3,-2.96,-3.1
Martial Godo,ENG,"FW,DF",21,2,24.0,12.0,0.7,0.3,0,,0,2,12.0,7,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.48,0.44
Carlos Vinícius,BRA,"MF,FW",29,3,16.0,5.0,0.5,0.2,0,,0,3,5.0,8,1.33,1.0,1.0,0.0,0.0,0.0,0.7,0.1,0.6,3.37,3.34
Jay Stansfield,ENG,MF,21,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.7,-59.86,-59.93
Samuel Amissah,ENG,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
Steven Benda,GER,GK,25,0,,,,,0,,0,0,,38,,,,,,,,,,,
Squad Total,,,28,38,3420.0,90.0,100.0,38.0,418,83.0,239,179,17.0,163,1.42,54.0,54.0,0.0,0.0,,49.0,47.2,1.8,0.05,
Opponent Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,258,160,18.0,181,1.34,54.0,54.0,0.0,0.0,,47.2,49.0,-1.8,-0.05,
