player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Bruno Guimarães,BRA,MF,26,38,3271.0,86.0,95.6,36.3,38,86.0,21,0,,0,1.74,68.0,44.0,24.0,0.66,2.47,61.4,42.8,18.6,0.51,0.7
Dan Burn,ENG,DF,32,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.78,68.0,45.0,23.0,0.62,2.62,62.1,44.7,17.5,0.47,-0.3
Alexander Isak,SWE,FW,24,34,2756.0,81.0,80.6,30.6,34,81.0,15,0,,0,1.88,62.0,41.0,21.0,0.69,0.69,55.0,36.3,18.7,0.61,0.67
Fabian Schär,SUI,DF,32,34,2934.0,86.0,85.8,32.6,33,88.0,29,1,45.0,0,1.65,58.0,42.0,16.0,0.49,-0.44,55.0,36.9,18.1,0.56,0.53
Valentino Livramento,ENG,DF,21,37,2840.0,77.0,83.0,31.6,32,85.0,25,5,26.0,0,1.7,58.0,40.0,18.0,0.57,0.1,52.1,37.3,14.8,0.47,-0.07
Jacob Murphy,ENG,FW,29,35,2360.0,67.0,69.0,26.2,31,72.0,6,4,30.0,2,1.69,54.0,31.0,23.0,0.88,1.05,48.9,27.7,21.2,0.81,1.06
Joelinton,BRA,"MF,FW",27,29,2393.0,83.0,70.0,26.6,29,83.0,18,0,,0,1.83,51.0,32.0,19.0,0.71,0.54,46.4,31.5,14.9,0.56,0.27
Sandro Tonali,ITA,MF,24,36,2630.0,73.0,76.9,29.2,28,86.0,22,8,27.0,0,1.72,55.0,34.0,21.0,0.72,0.72,50.7,32.8,17.9,0.61,0.56
Nick Pope,ENG,GK,32,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,3,1.61,45.0,35.0,10.0,0.36,-0.74,43.6,34.7,8.9,0.32,-0.62
Anthony Gordon,ENG,"FW,MF",23,34,2434.0,72.0,71.2,27.0,28,81.0,9,6,26.0,0,1.68,43.0,33.0,10.0,0.37,-0.63,45.7,31.8,13.8,0.51,0.11
Lewis Hall,ENG,DF,19,27,2189.0,81.0,64.0,24.3,24,87.0,18,3,30.0,0,1.63,45.0,31.0,14.0,0.58,0.06,42.5,28.8,13.7,0.56,0.23
Harvey Barnes,ENG,FW,26,33,1755.0,53.0,51.3,19.5,17,80.0,6,16,25.0,1,1.82,34.0,23.0,11.0,0.56,0.02,31.0,24.1,6.9,0.35,-0.27
Kieran Trippier,ENG,DF,33,25,1309.0,52.0,38.3,14.5,14,77.0,2,11,21.0,6,1.6,29.0,18.0,11.0,0.76,0.33,26.8,17.2,9.6,0.66,0.29
Joe Willock,ENG,"MF,FW",24,32,1086.0,34.0,31.8,12.1,11,62.0,0,21,19.0,1,1.59,19.0,16.0,3.0,0.25,-0.45,18.9,14.7,4.2,0.35,-0.19
Martin Dúbravka,SVK,GK,35,10,900.0,90.0,26.3,10.0,10,90.0,10,0,,24,2.1,23.0,12.0,11.0,1.1,0.74,20.2,10.8,9.4,0.94,0.62
Sean Longstaff,ENG,MF,26,25,798.0,32.0,23.3,8.9,8,72.0,3,17,13.0,13,1.88,9.0,11.0,-2.0,-0.23,-1.02,8.8,11.6,-2.8,-0.31,-1.03
Sven Botman,NED,DF,24,8,412.0,52.0,12.0,4.6,6,67.0,1,2,5.0,2,1.63,7.0,4.0,3.0,0.66,0.12,8.0,4.8,3.2,0.71,0.26
Lloyd Kelly,ENG,DF,25,10,303.0,30.0,8.9,3.4,4,68.0,1,6,6.0,14,1.6,1.0,6.0,-5.0,-1.49,-2.24,4.1,5.8,-1.7,-0.51,-1.09
Callum Wilson,ENG,FW,32,18,370.0,21.0,10.8,4.1,2,66.0,0,16,15.0,0,1.5,4.0,7.0,-3.0,-0.73,-1.44,4.9,6.0,-1.1,-0.26,-0.83
Emil Krafth,SWE,DF,29,12,342.0,29.0,10.0,3.8,2,90.0,2,10,16.0,14,1.92,5.0,2.0,3.0,0.79,0.26,4.9,6.5,-1.5,-0.4,-0.98
