player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Matz Sels,BEL,GK,32,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.71,58.0,46.0,12.0,0.32,,45.5,48.9,-3.4,-0.09,
Nikola Milenković,SRB,DF,26,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.73,57.0,45.0,12.0,0.32,0.32,44.2,47.7,-3.5,-0.09,-0.19
Murillo,BRA,DF,22,36,3188.0,89.0,93.2,35.4,36,89.0,33,0,,0,1.69,50.0,44.0,6.0,0.17,-2.16,41.2,46.3,-5.1,-0.14,-0.79
Ola Aina,NGA,DF,27,35,2995.0,86.0,87.6,33.3,35,86.0,28,0,,0,1.77,55.0,39.0,16.0,0.48,1.33,41.2,39.4,1.9,0.06,1.18
Chris Wood,NZL,FW,32,36,2959.0,82.0,86.5,32.9,35,84.0,14,1,28.0,0,1.72,52.0,37.0,15.0,0.46,1.04,39.0,39.5,-0.5,-0.01,0.56
Morgan Gibbs-White,ENG,MF,24,34,2803.0,82.0,82.0,31.1,34,82.0,13,0,,0,1.74,49.0,34.0,15.0,0.48,0.92,36.9,40.1,-3.2,-0.1,-0.07
Elliot Anderson,ENG,MF,21,37,2728.0,74.0,79.8,30.3,33,79.0,13,4,27.0,0,1.76,49.0,37.0,12.0,0.4,0.4,35.2,39.3,-4.1,-0.13,-0.22
Anthony Elanga,SWE,"FW,MF",22,38,2501.0,66.0,73.1,27.8,31,76.0,12,7,22.0,0,1.71,45.0,35.0,10.0,0.36,0.16,33.9,37.6,-3.6,-0.13,-0.15
Neco Williams,WAL,DF,23,35,2594.0,74.0,75.8,28.8,28,88.0,23,7,17.0,3,1.77,47.0,31.0,16.0,0.56,0.99,35.1,37.5,-2.4,-0.08,0.03
Callum Hudson-Odoi,ENG,"FW,MF",23,31,2194.0,71.0,64.2,24.4,25,81.0,8,6,28.0,1,1.74,38.0,23.0,15.0,0.62,0.84,28.7,26.9,1.8,0.07,0.45
Nicolás Domínguez,ARG,"MF,FW",26,34,1963.0,58.0,57.4,21.8,23,73.0,5,11,26.0,3,1.76,31.0,27.0,4.0,0.18,-0.31,25.4,31.1,-5.6,-0.26,-0.4
Ryan Yates,ENG,MF,26,35,1915.0,55.0,56.0,21.3,18,83.0,13,17,25.0,2,1.69,25.0,27.0,-2.0,-0.09,-0.93,24.2,27.2,-3.0,-0.14,-0.11
Álex Moreno,ESP,"DF,MF",31,15,955.0,64.0,27.9,10.6,11,79.0,3,4,23.0,12,1.4,11.0,16.0,-5.0,-0.47,-1.09,10.8,13.6,-2.9,-0.27,-0.25
Ibrahim Sangaré,CIV,MF,26,13,590.0,45.0,17.3,6.6,7,72.0,1,6,14.0,5,1.46,11.0,6.0,5.0,0.76,0.54,9.5,8.2,1.3,0.2,0.36
Morato,BRA,DF,23,26,907.0,35.0,26.5,10.1,6,84.0,4,20,20.0,8,2.15,19.0,14.0,5.0,0.5,0.25,13.4,14.0,-0.6,-0.06,0.05
Jota Silva,POR,"FW,MF",24,31,854.0,28.0,25.0,9.5,5,68.0,0,26,20.0,6,1.71,16.0,16.0,0.0,0.0,-0.42,14.9,12.6,2.4,0.25,0.45
James Ward-Prowse,ENG,MF,29,9,400.0,44.0,11.7,4.4,5,75.0,2,4,6.0,9,1.56,4.0,7.0,-3.0,-0.68,-1.12,4.4,5.3,-0.9,-0.21,-0.13
Danilo,BRA,"MF,FW",23,8,275.0,34.0,8.0,3.1,5,47.0,0,3,13.0,6,2.13,8.0,4.0,4.0,1.31,1.08,3.2,4.8,-1.6,-0.54,-0.48
Taiwo Awoniyi,NGA,FW,26,26,416.0,16.0,12.2,4.6,3,64.0,0,23,10.0,7,1.92,5.0,10.0,-5.0,-1.08,-1.59,5.7,6.5,-0.8,-0.18,-0.1
Ramón Sosa,PAR,"FW,MF",24,19,295.0,16.0,8.6,3.3,1,67.0,0,18,13.0,13,1.58,3.0,5.0,-2.0,-0.61,-1.01,3.5,4.6,-1.0,-0.31,-0.24
Willy Boly,CIV,DF,33,6,150.0,25.0,4.4,1.7,1,90.0,1,5,12.0,23,2.17,3.0,1.0,2.0,1.2,0.92,2.6,2.7,0.0,-0.03,0.07
Harry Toffolo,ENG,DF,28,4,137.0,34.0,4.0,1.5,1,90.0,1,3,16.0,20,2.5,2.0,2.0,0.0,0.0,-0.33,1.3,2.9,-1.6,-1.05,-1.0
Eric da Silva Moreira,GER,"MF,DF",18,2,30.0,15.0,0.9,0.3,0,,0,2,15.0,7,1.5,0.0,0.0,0.0,0.0,-0.32,0.1,0.3,-0.2,-0.53,-0.45
Zach Abbott,ENG,DF,18,0,,,,,0,,0,0,,7,,,,,,,,,,,
Wayne Hennessey,WAL,GK,37,0,,,,,0,,0,0,,5,,,,,,,,,,,
Carlos Miguel,BRA,GK,25,0,,,,,0,,0,0,,33,,,,,,,,,,,
Andrew Omobamidele,IRL,DF,22,0,,,,,0,,0,0,,4,,,,,,,,,,,
Squad Total,,,26,38,3420.0,90.0,100.0,38.0,418,83.0,249,167,18.0,174,1.71,58.0,46.0,12.0,0.32,,45.5,48.9,-3.4,-0.09,
