player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Pedro Porro,ESP,DF,25,32,2520,79,77.8,28.0,27,88,23,5,26,4,1.16,53,43,+10,+0.36,+1.11,46.6,47.9,-1.4,-0.05,+0.21
Dejan Kulusevski,SWE,"MF,FW",25,32,2389,75,73.7,26.5,27,84,22,5,24,0,1.06,50,41,+9,+0.34,+0.87,44.9,43.1,+1.8,+0.07,+0.63
Dominic Solanke,ENG,FW,27,25,2119,85,65.4,23.5,24,87,18,1,24,1,0.96,44,41,+3,+0.13,+0.05,38.3,39.3,-0.9,-0.04,+0.17
Brennan Johnson,WAL,FW,23,31,2083,67,64.3,23.1,23,79,13,8,34,2,1.10,39,34,+5,+0.22,+0.29,37.5,36.6,+1.0,+0.04,+0.39
Guglielmo Vicario,ITA,GK,28,23,2070,90,63.9,23.0,23,90,23,0,,1,1.30,42,33,+9,+0.39,+0.78,39.7,31.0,+8.8,+0.38,+1.32
Son Heung-min,KOR,FW,32,29,2037,70,62.9,22.6,23,79,11,6,35,0,1.17,44,33,+11,+0.49,+1.01,35.6,37.7,-2.1,-0.09,+0.01
Destiny Udogie,ITA,DF,22,24,1834,76,56.6,20.4,23,80,13,1,4,5,1.17,35,31,+4,+0.20,+0.20,32.4,31.0,+1.4,+0.07,+0.38
James Maddison,ENG,MF,28,31,1809,58,55.8,20.1,21,75,1,10,24,1,1.10,37,32,+5,+0.25,+0.31,31.5,33.0,-1.5,-0.08,+0.05
Pape Matar Sarr,SEN,MF,22,34,1816,53,56.0,20.2,20,72,6,14,27,2,1.03,33,38,-5,-0.25,-0.82,29.0,35.8,-6.7,-0.33,-0.54
Rodrigo Bentancur,URU,MF,27,24,1563,65,48.2,17.4,20,75,7,4,15,1,1.13,25,24,+1,+0.06,-0.10,28.0,25.0,+3.0,+0.18,+0.53
Djed Spence,ENG,DF,24,23,1694,74,52.3,18.8,18,89,16,5,18,8,1.17,33,35,-2,-0.11,-0.46,27.7,33.1,-5.5,-0.29,-0.41
Cristian Romero,ARG,DF,27,18,1416,79,43.7,15.7,18,79,13,0,,3,1.11,27,22,+5,+0.32,+0.37,27.0,19.1,+7.9,+0.50,+1.07
Archie Gray,ENG,"DF,MF",19,26,1571,60,48.5,17.5,17,87,15,9,10,10,1.19,29,35,-6,-0.34,-0.88,22.6,34.6,-12.0,-0.69,-1.14
Yves Bissouma,MLI,MF,28,26,1345,52,41.5,14.9,16,72,4,10,19,6,1.19,28,24,+4,+0.27,+0.27,22.0,25.9,-4.0,-0.27,-0.29
Radu Drăgușin,ROU,DF,23,16,1252,78,38.6,13.9,14,83,11,2,43,7,0.88,25,29,-4,-0.29,-0.65,21.8,29.7,-7.9,-0.57,-0.77
Ben Davies,WAL,DF,32,15,1216,81,37.5,13.5,13,88,12,2,38,7,1.13,22,22,0,0.00,-0.18,18.4,23.2,-4.8,-0.35,-0.41
Lucas Bergvall,SWE,MF,19,27,1212,45,37.4,13.5,11,81,6,16,20,7,1.11,29,25,+4,+0.30,+0.30,20.9,24.4,-3.5,-0.26,-0.25
Micky van de Ven,NED,DF,24,12,950,79,29.3,10.6,11,84,7,1,30,6,1.17,21,15,+6,+0.57,+0.65,20.2,11.7,+8.5,+0.81,+1.28
Mathys Tel,FRA,FW,20,11,739,67,22.8,8.2,9,81,5,2,4,1,0.91,9,16,-7,-0.85,-1.25,12.0,14.4,-2.4,-0.29,-0.25
Wilson Odobert,FRA,FW,20,14,719,51,22.2,8.0,8,76,3,6,19,0,1.00,9,14,-5,-0.63,-0.95,9.7,13.1,-3.4,-0.43,-0.42
Kevin Danso,AUT,DF,26,8,662,83,20.4,7.4,7,88,6,1,45,0,1.00,10,12,-2,-0.27,-0.48,9.1,13.4,-4.3,-0.59,-0.62
Fraser Forster,ENG,GK,37,7,630,90,19.4,7.0,7,90,7,0,,11,0.71,14,15,-1,-0.14,-0.32,11.1,16.0,-4.9,-0.70,-0.75
Antonín Kinský,CZE,GK,22,5,450,90,13.9,5.0,5,90,5,0,,11,0.60,6,9,-3,-0.60,-0.83,4.5,10.2,-5.8,-1.15,-1.23
Timo Werner,GER,"FW,MF",29,18,516,29,15.9,5.7,4,71,0,14,17,3,0.83,10,12,-2,-0.35,-0.55,11.3,11.5,-0.2,-0.04,+0.07
Richarlison,BRA,FW,28,13,475,37,14.7,5.3,4,72,1,9,21,2,1.08,11,7,+4,+0.76,+0.76,8.4,6.3,+2.0,+0.39,+0.57
