player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Milos Kerkez,HUN,DF,20,38,3336,88,97.5,37.1,38,88,32,0,,0,1.47,52,45,+7,+0.19,-5.17,59.3,48.0,+11.3,+0.30,-4.23
Antoine Semenyo,GHA,FW,24,37,3203,87,93.7,35.6,36,88,28,1,26,0,1.43,53,41,+12,+0.34,+0.34,57.8,43.8,+14.0,+0.39,-0.25
Illia Zabarnyi,UKR,DF,21,36,3109,86,90.9,34.5,35,88,30,1,45,0,1.53,53,41,+12,+0.35,+0.35,57.2,42.0,+15.2,+0.44,+0.35
Lewis Cook,ENG,"MF,DF",27,36,2978,83,87.1,33.1,32,89,30,4,31,0,1.39,47,43,+4,+0.12,-1.51,55.1,44.5,+10.6,+0.32,-0.68
Kepa Arrizabalaga,ESP,GK,29,31,2790,90,81.6,31.0,31,90,31,0,,1,1.48,50,39,+11,+0.35,+0.21,53.6,38.3,+15.3,+0.49,+0.46
Justin Kluivert,NED,MF,25,34,2340,69,68.4,26.0,29,74,5,5,40,0,1.50,38,29,+9,+0.35,+0.10,43.0,32.5,+10.5,+0.41,-0.01
Evanilson,BRA,FW,24,31,2319,75,67.8,25.8,28,80,7,3,23,1,1.45,34,29,+5,+0.19,-0.38,44.1,26.6,+17.5,+0.68,+0.84
Ryan Christie,SCO,MF,29,29,2117,73,61.9,23.5,27,76,10,2,28,0,1.52,40,28,+12,+0.51,+0.51,40.8,29.9,+10.9,+0.46,+0.14
Dean Huijsen,ESP,DF,19,32,2427,76,71.0,27.0,26,90,26,6,15,6,1.50,42,31,+11,+0.41,+0.32,44.6,37.1,+7.6,+0.28,-0.44
Dango Ouattara,BFA,FW,22,32,2005,63,58.6,22.3,21,81,7,11,27,0,1.56,36,23,+13,+0.58,+0.65,35.9,31.2,+4.7,+0.21,-0.48
Tyler Adams,USA,MF,25,28,1965,70,57.5,21.8,21,85,15,7,26,1,1.46,41,30,+11,+0.50,+0.44,35.5,28.9,+6.6,+0.30,-0.25
Marcus Tavernier,ENG,"FW,MF",25,29,1939,67,56.7,21.5,20,85,11,9,26,0,1.45,29,29,0,0.00,-0.73,36.1,25.3,+10.8,+0.50,+0.22
Adam Smith,ENG,DF,33,25,1590,64,46.5,17.7,19,75,7,6,28,1,1.48,25,18,+7,+0.40,+0.15,29.7,18.9,+10.8,+0.61,+0.38
Marcos Senesi,ARG,DF,27,17,1106,65,32.3,12.3,13,80,7,4,17,4,1.47,19,17,+2,+0.16,-0.23,23.3,14.4,+8.9,+0.72,+0.46
David Brooks,WAL,"FW,MF",27,29,960,33,28.1,10.7,9,67,0,20,18,7,1.41,23,12,+11,+1.03,+0.99,20.7,14.7,+5.9,+0.56,+0.21
Alex Scott,ENG,MF,20,20,755,38,22.1,8.4,8,59,0,12,24,1,1.35,10,8,+2,+0.24,-0.10,12.0,10.0,+1.9,+0.23,-0.23
Julian Araujo,MEX,DF,22,12,497,41,14.5,5.5,7,62,0,5,12,7,1.08,2,10,-8,-1.45,-2.06,6.8,9.4,-2.6,-0.47,-1.02
James Hill,ENG,DF,22,10,448,45,13.1,5.0,6,68,1,4,11,21,1.30,7,9,-2,-0.40,-0.83,10.5,8.5,+1.9,+0.39,-0.02
Mark Travers,IRL,GK,25,5,450,90,13.2,5.0,5,90,5,0,,18,1.60,6,5,+1,+0.20,-0.13,7.0,7.3,-0.2,-0.05,-0.53
Enes Ünal,TUR,"FW,MF",27,17,345,20,10.1,3.8,2,62,0,15,15,0,1.65,6,3,+3,+0.78,+0.52,7.8,6.3,+1.5,+0.38,-0.03
Neto,BRA,GK,35,2,180,90,5.3,2.0,2,90,2,0,,0,1.00,2,2,0,0.00,-0.33,3.5,2.9,+0.5,+0.25,-0.16
Luis Sinisterra,COL,"FW,MF",25,12,236,20,6.9,2.6,1,62,0,11,16,1,1.25,5,4,+1,+0.38,+0.07,6.5,3.9,+2.6,+0.98,+0.62
Philip Billing,DEN,MF,28,10,184,18,5.4,2.0,1,72,0,9,12,3,1.90,5,4,+1,+0.49,+0.18,5.4,3.3,+2.2,+1.05,+0.68
Max Aarons,ENG,DF,24,3,86,29,2.5,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.82,2.3,0.3,+2.0,+2.12,+1.75
Daniel Jebbison,ENG,FW,20,16,119,7,3.5,1.3,0,,0,16,7,4,1.25,7,2,+5,+3.78,+3.59,3.5,2.0,+1.5,+1.12,+0.74
Ben Winterburn,ENG,"MF,FW",19,4,24,6,0.7,0.3,0,,0,4,6,16,2.00,2,0,+2,+7.50,+7.23,1.3,0.2,+1.1,+4.13,+3.75
Julio Soler,ARG,"DF,FW",19,3,11,4,0.3,0.1,0,,0,3,4,10,2.00,1,1,0,0.00,-0.32,0.3,0.1,+0.2,+2.03,+1.62
Remy Rees-Dottin,ENG,FW,18,1,1,1,0.0,0.0,0,,0,1,1,6,3.00,0,0,0,0.00,-0.32,0.0,0.0,0.0,0.00,-0.41
