player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Bart Verbruggen,NED,GK,21,36,3240,90,94.7,36.0,36,90,36,0,,0,1.53,61,58,+3,+0.08,-1.92,55.2,52.7,+2.5,+0.07,-0.75
Jan Paul van Hecke,NED,DF,24,34,2958,87,86.5,32.9,33,89,30,1,9,0,1.59,55,47,+8,+0.24,+0.44,49.7,44.3,+5.4,+0.17,+0.42
Carlos Baleba,CMR,MF,20,34,2661,78,77.8,29.6,31,83,15,3,27,2,1.68,55,39,+16,+0.54,+1.61,47.0,39.6,+7.4,+0.25,+0.64
Kaoru Mitoma,JPN,"FW,MF",27,36,2603,72,76.1,28.9,28,85,14,8,29,0,1.64,53,40,+13,+0.45,+1.11,44.1,37.1,+6.9,+0.24,+0.55
Pervis Estupiñán,ECU,DF,26,30,2402,80,70.2,26.7,26,88,22,4,27,1,1.57,47,44,+3,+0.11,-0.24,42.6,39.6,+3.0,+0.11,+0.01
Danny Welbeck,ENG,FW,33,30,2115,71,61.8,23.5,24,84,11,6,17,0,1.70,41,37,+4,+0.17,-0.04,34.9,36.8,-1.8,-0.08,-0.49
Lewis Dunk,ENG,DF,32,25,2083,83,60.9,23.1,23,89,21,2,24,2,1.24,33,42,-9,-0.39,-1.47,32.1,35.4,-3.3,-0.14,-0.65
João Pedro,BRA,"FW,MF",22,27,1948,72,57.0,21.6,23,81,12,4,23,0,1.48,33,27,+6,+0.28,+0.22,36.3,25.7,+10.6,+0.49,+0.88
Yasin Ayari,SWE,MF,20,34,1965,58,57.5,21.8,22,78,8,12,22,2,1.68,31,28,+3,+0.14,-0.11,32.5,29.6,+2.9,+0.13,+0.05
Jack Hinshelwood,ENG,"MF,DF",19,26,1842,71,53.9,20.5,22,82,12,4,11,0,1.73,39,30,+9,+0.44,+0.55,31.9,29.7,+2.1,+0.10,-0.01
Yankuba Minteh,GAM,"FW,MF",20,32,1838,57,53.7,20.4,20,78,3,12,24,1,1.59,37,33,+4,+0.20,+0.03,34.5,27.6,+6.9,+0.34,+0.49
Joël Veltman,NED,DF,32,21,1697,81,49.6,18.9,19,86,14,2,27,3,1.81,32,24,+8,+0.42,+0.48,26.5,24.3,+2.2,+0.11,+0.01
Georginio Rutter,FRA,"MF,FW",22,28,1656,59,48.4,18.4,19,76,3,9,24,0,1.57,32,29,+3,+0.16,-0.04,27.1,27.3,-0.3,-0.01,-0.24
Simon Adingra,CIV,"FW,MF",22,29,1097,38,32.1,12.2,12,66,1,17,18,6,1.59,18,23,-5,-0.41,-0.88,18.2,19.0,-0.9,-0.07,-0.27
Matt O'Riley,DEN,MF,23,21,938,45,27.4,10.4,11,68,0,10,19,3,1.48,17,20,-3,-0.29,-0.65,17.2,14.3,+2.8,+0.27,+0.23
